Gene = Use1
index = 1587
Annotated 5SS: [430 881]
Annotated 3SS: [ 523 1279]
SMsplice 5SS: [430 881]
SMsplice 3SS: [ 523 1279]
top_k =  100
Partition function (log Z): -0.3420456180451552

Sorted 5' Splice Sites (High to Low Probability):
Position 881: 0.9696652448647769
Position 430: 0.9353622196522927
Position 456: 0.055067198128912115
Position 1209: 0.01875148665893553
Position 630: 0.006725010752287144
Position 25: 0.00482881852436192
Position 451: 0.003654397790817125
Position 238: 0.003653009305233738
Position 605: 0.00132425071712688
Position 739: 0.00129082337879519
Position 862: 0.0009767159743498026
Position 1280: 0.0009275335279546191
Position 231: 0.0007828121718257508
Position 891: 0.00022516636307967711
Position 14: 0.00020689233076362983
Position 96: 0.0001233063158281108
Position 339: 5.881803036379653e-05
Position 1170: 5.5741094711472254e-05
Position 834: 3.8107583068332304e-05
Position 1177: 3.471987680367248e-05
Position 304: 2.871832372800292e-05
Position 904: 2.447794405677175e-05
Position 170: 2.1722705444365083e-05
Position 45: 1.5043653171972343e-05
Position 229: 1.0410667371421904e-05
Position 297: 9.410257155557344e-06
Position 179: 1.6219094099553088e-06
Position 52: 3.1598308880795453e-07
Position 489: 3.758453748124116e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 523: 0.9860389485731548
Position 1279: 0.9524154332975054
Position 1224: 0.0183969330924245
Position 495: 0.009716815728215155
Position 1021: 0.005791755358800199
Position 976: 0.004839466807553739
Position 1066: 0.0044160505236727305
Position 693: 0.004225432520531843
Position 1299: 0.0034503713174019227
Position 336: 0.002936088601533123
Position 699: 0.002590574130351055
Position 294: 0.0015963161988575894
Position 1342: 0.0014571208732776077
Position 89: 0.001160263518548714
Position 1077: 0.0011442396821353855
Position 572: 0.0010341831567308086
Position 787: 0.000587256363230335
Position 1387: 0.0003636798916171665
Position 317: 0.0003067734832061797
Position 1365: 0.0002593543946257812
Position 654: 0.00019405150275220937
Position 542: 0.00010239485555128308
Position 648: 0.0001018917830406863
Position 1092: 8.115599745336607e-05
Position 1157: 7.950707984965099e-05
Position 1429: 7.493778463665623e-05
Position 1352: 6.795572303786219e-05
Position 1170: 6.10779669473654e-05
Position 1185: 5.533452148023987e-05
Position 793: 4.332158969219624e-05
Position 266: 4.3069940405330326e-05
Position 1403: 3.9557978279481824e-05
Position 1311: 3.814398092775637e-05
Position 227: 3.314119368616121e-05
Position 1369: 2.7734452886004444e-05
Position 149: 2.4609719109168894e-05
Position 1451: 1.915913087669888e-05
Position 1426: 1.1929195091714297e-05
Position 594: 1.0148751466357118e-05
Position 651: 9.428226482064186e-06
Position 705: 8.496086454505482e-06
Position 142: 3.897604451266755e-06
Position 209: 3.627274622321771e-06
Position 369: 1.0566613215266588e-06
Position 170: 6.152762328001201e-07
Position 167: 3.073595014185601e-07
Position 343: 3.046105121447913e-07
Position 621: 7.752000337893782e-08
Position 376: 2.5206721139874877e-09
Position 179: 1.6319279730035764e-09
Position 380: 1.436842930783435e-09
Position 391: 1.3745997126763188e-09
