Gene = stwl
index = 1900
Annotated 5SS: [325]
Annotated 3SS: [3101]
SMsplice 5SS: [325]
SMsplice 3SS: [3101]
top_k =  100
Partition function (log Z): -10.708547872525765

Sorted 5' Splice Sites (High to Low Probability):
Position 325: 0.9145768112533427
Position 3382: 0.2839979490287725
Position 1194: 0.08936056436985929
Position 2193: 0.0473858932353125
Position 332: 0.04142838597754405
Position 1767: 0.025690293935745012
Position 2600: 0.008954688338205962
Position 215: 0.007287035225718619
Position 465: 0.005894847402046887
Position 588: 0.005311272948910482
Position 1527: 0.005032340217600989
Position 629: 0.004971541283761616
Position 1722: 0.0029008787650678944
Position 1523: 0.0023201477296489643
Position 280: 0.002263094966587891
Position 1003: 0.0014738365613402396
Position 974: 0.0013924297503884223
Position 1669: 0.001303826302753957
Position 195: 0.000951293262918462
Position 1511: 0.0003965547304877446
Position 68: 2.858499504019307e-06
Position 166: 1.110445479024554e-06
Position 98: 9.55988581232987e-07
Position 75: 4.056811235465317e-07
Position 81: 3.9610208773053257e-07
Position 83: 3.7964828279122073e-07
Position 33: 3.414187755582589e-07
Position 219: 3.029576065534149e-07
Position 72: 2.903260381166922e-07
Position 92: 1.6952693185268173e-07
Position 206: 1.1683457731184663e-07
Position 37: 5.849183458785158e-08
Position 102: 4.8705733230507434e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3101: 0.7241275321341482
Position 6520: 0.19012921689934462
Position 6286: 0.16699803962742282
Position 4934: 0.08347716375106468
Position 5911: 0.07821551391961137
Position 1631: 0.06582680423005728
Position 869: 0.035399802756819886
Position 945: 0.024482178513028672
Position 764: 0.016853323014590155
Position 1824: 0.014962668394598196
Position 4291: 0.012315547670038021
Position 2030: 0.008382410852300027
Position 3568: 0.006607269227662128
Position 3771: 0.0061282643032741745
Position 2074: 0.0048539095074412114
Position 767: 0.0034098172868352048
Position 1391: 0.00230489558024992
Position 3069: 0.001716249075698146
Position 966: 0.0017085895448165358
Position 265: 0.0012525462141572677
Position 388: 0.0010101401703479793
Position 795: 0.0009581125480141669
Position 1083: 0.0007453683425431983
Position 378: 0.0006245076529411845
Position 408: 0.00018040502463666352
Position 1456: 0.0001414536038582439
Position 828: 8.826187140161291e-05
Position 440: 6.036165135255023e-07
Position 1109: 5.245791558448099e-07
