Gene = mu2
index = 1806
Annotated 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
Annotated 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
SMsplice 5SS: [ 137  396  937 1828 2039 2212 2366 3599 3696 3861 4223]
SMsplice 3SS: [ 194  455  990 1883 2093 2269 2422 3653 3752 3919 4278]
top_k =  100
Partition function (log Z): 30.30643461729481

Sorted 5' Splice Sites (High to Low Probability):
Position 2366: 0.9994873062008129
Position 3599: 0.9907140431240602
Position 3696: 0.9905968209326227
Position 3861: 0.9896434053360004
Position 396: 0.9814660044856327
Position 2039: 0.9797635407999383
Position 1828: 0.9763039551510355
Position 137: 0.966351816643172
Position 2212: 0.9625196530730961
Position 937: 0.9575009077833958
Position 4164: 0.06613574926274997
Position 2813: 0.0357238726198836
Position 1542: 0.03445475191629861
Position 910: 0.03071855072066864
Position 3328: 0.028556049229790787
Position 1967: 0.016757277008758023
Position 336: 0.014716343794324774
Position 754: 0.013058425492437511
Position 2216: 0.012910889646832947
Position 4125: 0.012122274550385025
Position 4107: 0.009048348845593222
Position 4496: 0.008396675349855656
Position 1770: 0.0072311676225285
Position 4346: 0.0028242676581704475
Position 4407: 0.0027583805809956526
Position 3865: 0.001993387144525863
Position 4141: 0.0017295436340190313
Position 729: 0.001722300046401543
Position 858: 0.00128902309007027
Position 35: 0.0009969192943410144
Position 4198: 0.0009378060921489749
Position 4003: 0.000786670180423986
Position 609: 0.0007260721693798729
Position 2005: 0.0006347287743586077
Position 738: 0.0006022415298285561
Position 374: 0.0005799472824687164
Position 3226: 0.0004591204760611418
Position 3993: 0.0004240270342305175
Position 4092: 0.0004178538269405435
Position 1396: 0.00039167088017427087
Position 2124: 0.00024108171909165192
Position 3558: 0.00022280187584700585
Position 1137: 0.00022042119937574803
Position 1066: 0.0002065990357867075
Position 3277: 0.00020604452680944726
Position 941: 0.0001907733818920655
Position 1133: 0.00016561397463360576
Position 357: 0.0001114772781583615
Position 2954: 9.909722088561655e-05
Position 806: 8.513998658857174e-05
Position 3167: 4.9689014940327965e-05
Position 1911: 4.5109049862728554e-05
Position 2944: 4.0635879027473044e-05
Position 2579: 3.42426169600146e-05
Position 2626: 3.1103746894916436e-05
Position 3669: 2.6577420949548476e-05
Position 2623: 2.1159007305392902e-05
Position 3803: 1.7989270358831507e-05
Position 2761: 1.7296280710347736e-05
Position 3463: 1.4880600541133218e-05
Position 2552: 1.4010606772921451e-05
Position 54: 1.2263579379329175e-05
Position 3850: 1.0975350633461657e-05
Position 2530: 7.362177859123424e-06
Position 3763: 5.744997203924582e-06
Position 3964: 4.158566490487711e-06
Position 3767: 3.7948524306276738e-06
Position 2611: 3.0827916182838444e-06
Position 3951: 1.810296035603569e-06
Position 741: 1.6347837596440958e-06
Position 2533: 1.3702050827804708e-06
Position 611: 1.3642703715317796e-06
Position 238: 1.345159662625883e-06
Position 2318: 1.0163383198887177e-06
Position 261: 8.912286582732049e-07
Position 716: 7.672592172851794e-07
Position 2519: 7.612431023324969e-07
Position 4051: 3.5869529550430794e-07
Position 243: 1.6746591257908408e-07
Position 3887: 8.572992772377818e-08
Position 1227: 5.1252612513216897e-08
Position 1287: 4.37617256690372e-08
Position 1333: 4.3281929714201125e-08
Position 297: 1.0356943486523901e-08
Position 1812: 5.115092987807017e-09
Position 2009: 4.068107353636023e-09
Position 2007: 3.217805502648591e-09
Position 2347: 7.666072316091495e-10
Position 300: 6.861155099172008e-10
Position 43: 5.247398209624048e-10
Position 3: 2.2721370766059906e-10
Position 3704: 9.352452117578006e-11
Position 2276: 8.239928480285498e-11
Position 240: 4.7204008009942546e-11
Position 3842: 2.2580401054928654e-12
Position 2170: 4.2070595782822745e-16
Position 2181: 4.1761774597072804e-16
Position 194: 2.1304408349782428e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 3653: 0.9976634973630117
Position 3752: 0.9903381790851538
Position 2093: 0.9846427661327577
Position 455: 0.984563763667101
Position 2269: 0.9731503533979357
Position 2422: 0.9666534307685468
Position 194: 0.9648709383647148
Position 990: 0.9590314905462061
Position 1883: 0.7521485081242876
Position 3919: 0.7504520260508958
Position 4278: 0.2922244812020303
Position 1946: 0.15027113265231934
Position 1901: 0.07962134418762608
Position 1617: 0.03313063419266082
Position 2873: 0.028329067822168628
Position 2470: 0.021710048383525977
Position 3951: 0.019502275908643615
Position 3424: 0.014901514364103743
Position 815: 0.014217706502792013
Position 4546: 0.013836703678514039
Position 4291: 0.012280020555245939
Position 2102: 0.01195466925077036
Position 2433: 0.008656222417445967
Position 1596: 0.0075761786273584545
Position 857: 0.0061584622625393695
Position 3472: 0.005687047639780662
Position 3437: 0.005607945523167406
Position 1140: 0.005501417255382185
Position 1671: 0.005102097778459534
Position 1566: 0.0049228755072556075
Position 1724: 0.004885597569768556
Position 4024: 0.0037422412343309014
Position 4254: 0.0034734330579321375
Position 741: 0.0032772409790710584
Position 3377: 0.0032454497992195253
Position 2280: 0.002719015076073105
Position 423: 0.0023472255217555876
Position 1587: 0.002301335275592577
Position 2473: 0.002101725382305524
Position 520: 0.0010386859356306905
Position 4406: 0.0009898015661753794
Position 1458: 0.0009693150965275994
Position 219: 0.0009411304144045108
Position 3039: 0.0009095139546649867
Position 2134: 0.0007605238852578624
Position 4003: 0.000757252260512412
Position 680: 0.000745663949713521
Position 1629: 0.000677394161761337
Position 1192: 0.0006645388296521973
Position 1919: 0.00047289372718582615
Position 2017: 0.000396458667916047
Position 287: 0.00037504599341164907
Position 788: 0.00033361680245254144
Position 203: 0.00029376605332476826
Position 237: 0.0002713481472217112
Position 2285: 0.00022370616408319967
Position 3802: 0.0002055864552371091
