Gene = DIP2
index = 1125
Annotated 5SS: [ 402  825 1306 1741 2141 2792 3258 4641 5120 5261 5416 5843 6565 7078
 7284]
Annotated 3SS: [ 752  897 1360 2049 2238 2916 3317 4958 5178 5310 5472 5903 6628 7134
 7340]
SMsplice 5SS: [ 402  825 1306 1741 2141 2792 3258 3468 4641 5120 5261 5416 5843 6565
 7078 7284]
SMsplice 3SS: [ 752  897 1360 2049 2238 2842 3317 3910 4958 5178 5310 5490 5903 6628
 7134 7340]
top_k =  100
Partition function (log Z): 12.232559939757008

Sorted 5' Splice Sites (High to Low Probability):
Position 5416: 1.0000000000000024
Position 3258: 0.9966304356049129
Position 7284: 0.9953597151101956
Position 2792: 0.9471817829503013
Position 4641: 0.9465681142314792
Position 402: 0.9375373573154808
Position 5261: 0.9012298786876547
Position 2141: 0.8867373957156989
Position 7078: 0.8649289519528613
Position 1741: 0.8200531212285288
Position 6565: 0.7643793073349866
Position 825: 0.7572724763257799
Position 1306: 0.6203267533259067
Position 5120: 0.5541493354550662
Position 5843: 0.48855403243355394
Position 3468: 0.43978247903242473
Position 1984: 0.2140620388317555
Position 3401: 0.1859919537604185
Position 2170: 0.07549531281202529
Position 3636: 0.0599761863446432
Position 7441: 0.04231533931136377
Position 7612: 0.03658517870868182
Position 6479: 0.03445242650954793
Position 3866: 0.016086375243240664
Position 3831: 0.011619118734729856
Position 623: 0.00608937998649934
Position 3407: 0.00545684880346768
Position 1275: 0.00524449927241427
Position 5195: 0.004705363272397139
Position 2145: 0.004484038604872621
Position 3423: 0.0044297646703892095
Position 7561: 0.004144213128477511
Position 6142: 0.003480182652536048
Position 237: 0.0025337565881229005
Position 1745: 0.0024373008501411423
Position 6140: 0.0016998400474983679
Position 1187: 0.0008567910133417042
Position 625: 0.0007394483101596364
Position 140: 0.0007062078996978588
Position 627: 0.00043796148749219
Position 40: 0.0003790264883484017
Position 913: 0.0002976477174716179
Position 394: 0.0002774610185522096
Position 596: 0.0001664402884153928
Position 1029: 0.00015971660145442266
Position 265: 0.00015210557665225078
Position 1020: 9.529691052331143e-05
Position 247: 7.645073129993958e-05
Position 148: 7.314978148750287e-05
Position 1015: 7.080397205069485e-05
Position 241: 6.777164476413097e-05
Position 215: 6.306495652906206e-05
Position 23: 4.8340289344665836e-05
Position 223: 4.356299194154617e-05
Position 450: 4.067461650829542e-05
