Gene = Blos4
index = 52
Annotated 5SS: [229]
Annotated 3SS: [282]
SMsplice 5SS: [229]
SMsplice 3SS: [282]
top_k =  100
Partition function (log Z): -4.262988873150226

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.997648298291194
Position 751: 0.2166683071317164
Position 618: 0.0019236780144008014
Position 737: 0.0016191098291541575
Position 391: 0.0010625913307332569
Position 510: 0.0009855153825945972
Position 400: 0.0003833175511969151
Position 25: 0.00037297489145814736
Position 248: 0.00031546846094567086
Position 874: 0.0002624187789961136
Position 219: 0.0001988901965568256
Position 233: 0.00010846221963847179
Position 283: 0.00010554364217251178
Position 44: 9.419618977215776e-05
Position 637: 9.307093847569382e-05
Position 18: 5.100573708407892e-05
Position 1029: 4.16539339559765e-05
Position 967: 3.366078757924046e-05
Position 37: 1.9725807602507308e-05
Position 377: 1.377393733427766e-05
Position 9: 6.241483874924595e-06
Position 389: 4.675169734915254e-06
Position 717: 6.309354357655694e-08
Position 168: 9.856451177031486e-09
Position 106: 5.682370878026101e-09
Position 236: 3.5107246676271095e-10
Position 267: 3.1683247569074787e-10
Position 252: 3.3888312505336093e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 282: 0.9947947657552184
Position 805: 0.1950434176026762
Position 922: 0.011338087891985735
Position 935: 0.0073202060841459846
Position 888: 0.002951852779826763
Position 334: 0.002529298966614575
Position 869: 0.0022384422531719775
Position 849: 0.0013852589050993348
Position 1027: 0.000767853680359329
Position 343: 0.0006190415416511541
Position 671: 0.0005337011211625013
Position 1076: 0.0004615976868425982
Position 1087: 0.0004422612774150443
Position 442: 0.00037109360484673614
Position 682: 0.00022494647542874657
Position 135: 0.0002218408094054361
Position 126: 0.00018377049670725138
Position 347: 0.00016123407846446792
Position 987: 0.0001441330525984391
Position 939: 9.651123633949516e-05
Position 61: 4.763023802516684e-05
Position 495: 4.200809783436828e-05
Position 1047: 3.0869414665754335e-05
Position 1044: 3.0045797602045653e-05
Position 692: 1.1942230904118639e-05
Position 702: 9.954424032146882e-06
Position 567: 8.975278764501759e-06
Position 102: 1.7440769479469708e-06
Position 153: 1.2665421931466447e-07
Position 150: 2.8842788785483537e-08
Position 137: 9.02552630874941e-09
Position 197: 3.8965353700360904e-09
Position 156: 3.136832505995499e-09
Position 183: 2.5921427450293337e-09
