Gene = ImpL2
index = 1231
Annotated 5SS: [  245 11221]
Annotated 3SS: [10440 11295]
SMsplice 5SS: [  245 11221 11537]
SMsplice 3SS: [10440 11295 11657]
top_k =  100
Partition function (log Z): -3.4965563952386605

Sorted 5' Splice Sites (High to Low Probability):
Position 11221: 0.9982241714067289
Position 245: 0.9928951594971034
Position 11537: 0.6210887267745308
Position 9902: 0.2015794985710783
Position 11698: 0.08901491665362196
Position 12005: 0.06912511655472266
Position 10704: 0.06238065417668131
Position 11370: 0.05575743867448
Position 10711: 0.041890671161973855
Position 9574: 0.013338802328231234
Position 752: 0.012638377658407335
Position 3738: 0.006139524738767308
Position 11136: 0.0005214859363904037
Position 275: 0.0003402350971482591
Position 1455: 0.0003211331692030371
Position 11374: 0.00015936325273381823
Position 11547: 5.466047543709864e-05
Position 11478: 5.417615601668458e-05
Position 10845: 3.1864147088269047e-05
Position 83: 8.971072845135847e-06
Position 11498: 6.423097274615511e-06
Position 212: 4.801765671587817e-06
Position 495: 4.2287627399334495e-06
Position 1090: 1.794338653037431e-06
Position 194: 1.5805811816186629e-06
Position 174: 1.5744158436430442e-06
Position 118: 1.5643929969781261e-06
Position 257: 1.5464260296981536e-06
Position 625: 1.5358247511555191e-06
Position 756: 1.0832796096391502e-06
Position 1061: 9.39396798297394e-07
Position 765: 7.693320506064236e-07
Position 218: 6.897387062501126e-07
Position 142: 6.035226459325491e-07
Position 273: 5.503460481792225e-07
Position 188: 4.7382579118142057e-07
Position 398: 3.2818621602159205e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 11295: 0.9996200190435307
Position 10440: 0.9880626221856428
Position 11657: 0.393859315386704
Position 11601: 0.21363164567379855
Position 9674: 0.2015794985710783
Position 11774: 0.11265917441070045
Position 10758: 0.1034153747189433
Position 12065: 0.06865215263996183
Position 11611: 0.014228822129133699
Position 7839: 0.013338802328231234
Position 10468: 0.011911757755432014
Position 11428: 0.010266144744433093
Position 12040: 0.006140693051047351
Position 11627: 0.005314105267503384
Position 11508: 0.004664627331043031
Position 11705: 0.0028978886403964546
Position 498: 0.002836849733255788
Position 3461: 0.0018412708384943342
Position 12089: 0.001643711533811312
Position 3421: 0.0015258615471203632
Position 3575: 0.001504022143909793
Position 3405: 0.0012683702092428184
Position 450: 0.0010317592083631789
Position 584: 0.0008762435989910521
Position 11663: 0.0007971502724902365
Position 587: 0.0005886926244904341
Position 525: 0.0005732628765590802
Position 11477: 0.0003311926103034187
Position 1383: 0.00032113485857816776
Position 12105: 0.00018758380919046104
Position 11339: 2.5684993817693237e-05
