Gene = exex
index = 1697
Annotated 5SS: [1100 2236]
Annotated 3SS: [1964 2370]
SMsplice 5SS: [1100 2236]
SMsplice 3SS: [1964 2370]
top_k =  100
Partition function (log Z): 6.3589520480745705

Sorted 5' Splice Sites (High to Low Probability):
Position 2236: 0.9985615429669584
Position 1100: 0.9953764527967682
Position 1778: 0.18448378117031444
Position 1843: 0.12052405188362386
Position 1899: 0.09088467550537493
Position 883: 0.022082134254776068
Position 1774: 0.018047580294085055
Position 3177: 0.014948663915510522
Position 2993: 0.011006494336365562
Position 1873: 0.0071471167609145
Position 1613: 0.006970639292849187
Position 1796: 0.003392223463095659
Position 2995: 0.003056581675978925
Position 2042: 0.0027929096345101654
Position 68: 0.0025209054461042147
Position 72: 0.0022929534993310664
Position 2769: 0.0015008847366979711
Position 1268: 0.0010927439673229494
Position 2240: 0.0009726319331861818
Position 2626: 0.0009659870519197009
Position 104: 0.0009505198704134935
Position 1262: 0.0009378094939125256
Position 1104: 0.0007616338532503085
Position 80: 0.0006219430697641052
Position 94: 0.0005081109788920538
Position 511: 0.0004976946005403961
Position 145: 0.0004841039029773732
Position 106: 0.0004699073771196555
Position 3141: 0.00043280997696914093
Position 2094: 0.00042974781313514246
Position 1428: 0.0003742953872464376
Position 562: 0.00035481739690643247
Position 3105: 0.0003493778083816954
Position 2982: 0.0003431297097943606
Position 2565: 0.000340431372436509
Position 2186: 0.00029241562594299066
Position 1700: 0.0002441061146161448
Position 1067: 0.00022139318087016643
Position 709: 0.00018590529247684539
Position 2272: 0.00017139095426997012
Position 613: 0.0001664199643105566
Position 447: 0.00016213589545043263
Position 633: 0.00014575324669214418
Position 481: 0.00011338144570520566
Position 1152: 0.00010422420797881102
Position 552: 6.465913467268681e-05
Position 96: 4.600607514453448e-05
Position 2999: 1.89872564078568e-05
Position 2281: 2.0162098320335115e-06
Position 606: 1.6735665308389917e-06
Position 478: 1.4710941185931139e-06
Position 508: 9.98227247798432e-07
Position 56: 1.0574154130007234e-07
Position 2346: 1.966834647086069e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1964: 0.9930504189219254
Position 2370: 0.9719615700233687
Position 1511: 0.17666681501288503
Position 1306: 0.11951273741188208
Position 1541: 0.11604856876437197
Position 2403: 0.019217664114778474
Position 3233: 0.018149766621002483
Position 944: 0.017517251821447626
Position 3049: 0.0156919681512688
Position 1421: 0.009428905911267025
Position 2306: 0.007760212632512973
Position 1394: 0.00557133565103949
Position 708: 0.00444403429324155
Position 2120: 0.004069464610448994
Position 990: 0.0036868793666449524
Position 1631: 0.0028971554049061236
Position 1409: 0.002318302753130813
Position 2155: 0.0019550435195974255
Position 206: 0.0014294866666326185
Position 150: 0.0013742980710463588
Position 1733: 0.0013368878845874813
Position 143: 0.001125158637698472
Position 1637: 0.0007966647695619271
Position 187: 0.0006031080345353857
Position 1261: 0.0006011440185771215
Position 178: 0.00027135333752334
Position 1969: 0.00014481649766776345
Position 823: 0.0001360476922340401
Position 379: 0.00013451311099778361
Position 1213: 0.00010992793878165043
Position 1997: 0.00010126561657319552
Position 3329: 9.425815295702631e-05
Position 2625: 8.791011140730099e-05
Position 2158: 8.482108295736463e-05
Position 268: 2.1225800884324876e-05
Position 1146: 1.3515672732651404e-05
Position 1166: 4.074224498660702e-06
Position 1178: 1.760090495202302e-06
