Gene = rols
index = 1860
Annotated 5SS: [  298  3879 36164 37838 51929 52432 55981]
Annotated 3SS: [ 2949 35980 37697 51450 52128 52627 56043]
SMsplice 5SS: [  298  3879 36164 37838 51929 55981]
SMsplice 3SS: [ 2949 35980 37697 51450 55845 56043]
top_k =  100
Partition function (log Z): -5.624353641341297

Sorted 5' Splice Sites (High to Low Probability):
Position 36164: 0.9999999999999973
Position 3879: 0.9999999999999967
Position 37838: 0.9995744222677289
Position 51929: 0.9573852986173149
Position 298: 0.8259583824873196
Position 94: 0.11991161954043357
Position 52242: 0.03311315746027791
Position 1216: 0.017633756220773438
Position 100: 0.01614265660704773
Position 36483: 0.008968506517101885
Position 39668: 0.007885220414284562
Position 45970: 0.007088346102038866
Position 45364: 0.005791791528838982
Position 86: 0.003629667107233226
Position 1135: 0.003084623645305645
Position 1302: 0.0029297259579057155
Position 3: 0.0024995845187596997
Position 148: 0.0024047546896256303
Position 1830: 0.0021608898963166342
Position 1220: 0.0012594766516357478
Position 302: 0.0012161791091673407
Position 1609: 0.001168683568473053
Position 37760: 3.060062519998589e-05
Position 37842: 2.1621075664546967e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 35980: 0.9999999999999973
Position 37697: 0.9946557971082737
Position 2949: 0.925189807671594
Position 51450: 0.9041100566096231
Position 56043: 0.8244727983376318
Position 56062: 0.08793565374752255
Position 2965: 0.07351566985674424
Position 51453: 0.0525383208548801
Position 52627: 0.04448927940992944
Position 52113: 0.02360343830683053
Position 52128: 0.01850286654630893
Position 36232: 0.00998867120049767
Position 45309: 0.008984247643419544
Position 39035: 0.007885222234405201
Position 54371: 0.006556068776950166
Position 53773: 0.004815495966140107
Position 56630: 0.004734921612537077
Position 50339: 0.0042775266308226955
Position 52163: 0.003955635275707586
Position 45558: 0.0038958899874582966
Position 52099: 0.002967603156657289
Position 54173: 0.002813015201520881
Position 37427: 0.0026016914523187104
Position 37389: 0.001348990736111932
Position 1902: 0.0012945224716587867
Position 53920: 0.0012463350245116476
Position 52142: 0.0010034872377416
Position 51995: 0.000647183358223074
Position 52075: 0.0005333873870242451
Position 52631: 0.0003303658420756123
Position 52405: 0.00023794478186719054
Position 52070: 0.00020364499675684718
Position 52169: 0.00019488402346189645
Position 52544: 0.00019184819408010905
Position 51983: 0.00013450052386647604
Position 47972: 1.212808777392534e-06
Position 47899: 6.755836040443128e-07
Position 47085: 2.9013146616975444e-07
Position 44396: 6.653897067282456e-09
Position 43376: 5.3990976542663476e-09
Position 42736: 1.2276860405188348e-09
Position 40380: 9.586175846633851e-11
Position 40713: 7.598745015899452e-11
Position 39834: 7.528987872807326e-11
Position 39067: 5.594000692527504e-11
Position 40319: 4.829847411679405e-11
Position 39721: 4.256742110659186e-11
Position 39816: 3.528490926071015e-11
Position 38446: 3.191409961815566e-11
Position 38854: 3.083196189466259e-11
Position 37882: 2.6165394892263567e-11
Position 38924: 2.2136073996049934e-11
Position 38839: 1.8669326567015596e-11
Position 38834: 1.8624657941429596e-11
Position 38097: 1.705000197237885e-11
Position 38412: 9.528279288420601e-12
Position 38134: 7.27867314856038e-12
Position 38033: 7.1893521529544766e-12
Position 38056: 6.600509443383621e-12
Position 38443: 4.771988325003185e-12
Position 38284: 3.253579565556223e-12
Position 37982: 2.920135843569355e-12
Position 37902: 2.5945194638231754e-12
Position 36239: 7.364095699494555e-15
Position 5563: 1.0924694891799214e-29
Position 5341: 4.891599505997203e-30
Position 4745: 2.3202426406079105e-30
Position 4630: 1.8476323090306712e-30
Position 4226: 1.7812375482897192e-30
Position 4255: 1.494297884913579e-30
Position 4198: 1.2776963049760006e-30
Position 362: 3.9867226645903233e-32
Position 2409: 1.1953745571780826e-32
Position 2582: 4.891096563353852e-33
Position 2116: 2.9986650405334975e-33
