Gene = PDCD-5
index = 1353
Annotated 5SS: [199 565]
Annotated 3SS: [449 621]
SMsplice 5SS: [199 565]
SMsplice 3SS: [449 621]
top_k =  100
Partition function (log Z): -0.14637929142187034

Sorted 5' Splice Sites (High to Low Probability):
Position 199: 0.9926719354140873
Position 565: 0.9800905984587772
Position 702: 0.1291104072794011
Position 332: 0.002527465310862718
Position 56: 0.0015520701240047952
Position 203: 0.0008100422768020544
Position 15: 0.0005543394094180524
Position 341: 0.000349232952040863
Position 569: 0.0002605050319589767
Position 879: 9.904550028982808e-05
Position 216: 7.149469418597444e-05
Position 395: 5.3264983905324195e-05
Position 537: 4.727320202602262e-05
Position 311: 4.168955086719702e-05
Position 260: 2.8981246359490766e-05
Position 146: 2.6727345796788075e-05
Position 23: 1.7896266148534302e-05
Position 697: 1.6785580962384506e-05
Position 728: 9.504332743569669e-06
Position 370: 5.237645206874125e-06
Position 189: 1.446731152841969e-06
Position 177: 8.901163034661873e-07
Position 138: 7.653820359348164e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 449: 0.986764978588733
Position 621: 0.9516239826169054
Position 761: 0.0830448037904946
Position 770: 0.046101658371329554
Position 636: 0.024036704767686563
Position 354: 0.005188812043624003
Position 640: 0.003375243766273835
Position 406: 0.003019395850839374
Position 345: 0.0017046713885496474
Position 127: 0.0008263382230610738
Position 951: 0.0003615068069164733
Position 260: 0.0003517917491972954
Position 692: 0.00031031578776219003
Position 701: 0.0002885770503525458
Position 748: 0.0002530619664519957
Position 72: 0.00023213656776221843
Position 75: 0.00015719013418578057
Position 644: 0.0001517773949761945
Position 326: 0.00013540057567426405
Position 728: 0.00013179177886241168
Position 316: 0.00011855407975416768
Position 494: 2.8836911965694435e-05
Position 134: 2.7279700817890154e-05
Position 939: 2.316487688599555e-05
Position 879: 2.2995321467310886e-05
Position 488: 1.4349815049777083e-05
Position 817: 1.4262094493799373e-05
Position 171: 1.3428425913009856e-05
Position 491: 4.287025285498005e-06
Position 244: 4.134412851328156e-06
Position 595: 2.6697629517097664e-06
Position 146: 2.568957030581349e-06
Position 287: 1.8496135071576835e-06
Position 84: 1.722513402469673e-06
Position 370: 1.3442945836698562e-06
Position 279: 1.2972064199733532e-06
Position 485: 1.2304073539220201e-06
Position 473: 1.195443783965449e-06
Position 653: 7.864178014939574e-07
Position 537: 6.164555278299105e-07
Position 189: 5.513671813781477e-07
Position 480: 3.3451143323102623e-07
Position 121: 2.3867155952506343e-13
