Gene = Dysb
index = 1142
Annotated 5SS: [875]
Annotated 3SS: [932]
SMsplice 5SS: [875]
SMsplice 3SS: [932]
top_k =  100
Partition function (log Z): -3.138233532529535

Sorted 5' Splice Sites (High to Low Probability):
Position 875: 0.999066030893468
Position 506: 0.02790907968136531
Position 1096: 0.008381899700532143
Position 596: 0.007358619037663193
Position 199: 0.0027250773337225043
Position 647: 0.002018106416745112
Position 275: 0.0015658772529772835
Position 1102: 0.0009019812426039834
Position 1272: 0.00087582260834138
Position 233: 0.0005647626494013742
Position 518: 0.00023254748275122584
Position 1082: 0.00020330615518195853
Position 571: 0.00015571807322021212
Position 879: 0.00014247282687740052
Position 849: 0.00014130839290616115
Position 1042: 6.547278056547592e-05
Position 1354: 4.385442378132985e-05
Position 1072: 2.9917426268699058e-05
Position 1094: 1.8824089429931283e-05
Position 1348: 1.740727364026465e-05
Position 992: 7.572503509572908e-06
Position 221: 4.999979409989783e-07
Position 203: 3.7513814832004813e-07
Position 296: 3.015997354661571e-07
Position 160: 2.6991715714417124e-07
Position 337: 2.1882388280101928e-07
Position 197: 2.9392387869029788e-08
Position 140: 2.902042585110846e-08
Position 365: 1.219486666618656e-08
Position 355: 1.0620621762432355e-08
Position 540: 7.612254125017372e-09
Position 645: 5.960439180604693e-09
Position 660: 3.950594786656154e-09
Position 678: 1.992101575791538e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 932: 0.9952199625895582
Position 563: 0.01946365083128885
Position 768: 0.016708723116838464
Position 1194: 0.006643782027989947
Position 948: 0.004577697926012385
Position 1365: 0.002384559446753839
Position 324: 0.0015163704440320802
Position 570: 0.00090117763393537
Position 675: 0.0007626388744708292
Position 774: 0.0006950399945207453
Position 1311: 0.000517789026706984
Position 726: 0.0005116049326411848
Position 1377: 0.000505237102167174
Position 1272: 0.00027263208658039414
Position 1425: 0.00022620315312211098
Position 609: 0.0002085575196681657
Position 547: 0.00019619172778358347
Position 777: 0.00012362006316562693
Position 588: 0.00012098906418065854
Position 1248: 0.00011792050900472236
Position 371: 9.283452454493044e-05
Position 405: 8.471056929453192e-05
Position 344: 8.224250971929415e-05
Position 402: 8.05853708158673e-05
Position 290: 6.291693143943528e-05
Position 275: 5.767006422210825e-05
Position 287: 5.16324326365045e-05
Position 361: 4.940031225571149e-05
Position 311: 4.901171028113567e-05
Position 798: 4.3672718106134674e-05
Position 1342: 3.68241514838063e-05
Position 293: 3.071132570687229e-05
Position 1327: 2.2652905566574834e-05
Position 1348: 7.875518655265805e-06
Position 426: 1.877644489418303e-07
Position 447: 1.4559580085798635e-07
