Gene = l(2)SH0834
index = 1746
Annotated 5SS: [201]
Annotated 3SS: [314]
SMsplice 5SS: [201]
SMsplice 3SS: [314]
top_k =  100
Partition function (log Z): -3.9223943725665915

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.7700654334622429
Position 245: 0.10508366617151554
Position 220: 0.08441318838585167
Position 234: 0.019569123842199134
Position 651: 0.01086573495941728
Position 259: 0.010742554509767969
Position 181: 0.00906488842549852
Position 681: 0.005315267145524908
Position 418: 0.003970543344280135
Position 790: 0.0034973687140873073
Position 698: 0.0031127235109694256
Position 353: 0.0019021017299451675
Position 643: 0.0014846615332515462
Position 598: 0.0013580091044256147
Position 446: 0.0012668958822544428
Position 676: 0.0010631993996817472
Position 761: 0.0008712336220990725
Position 921: 0.0005148205104407347
Position 232: 0.00048567663089303095
Position 707: 0.0004584292447390688
Position 926: 0.00037376815719266813
Position 175: 0.00031040781837754353
Position 955: 0.0002198225227861116
Position 607: 0.0001727920541872176
Position 48: 0.00016470710164409084
Position 20: 0.0001418901873991869
Position 8: 0.00011800110919707523
Position 136: 0.00010417596833482224
Position 378: 8.538421684473761e-05
Position 670: 8.406298059811856e-05
Position 29: 7.290738093822055e-06
Position 31: 5.807799065977625e-06
Position 271: 1.106079737042951e-06
Position 318: 9.342512021829312e-07
Position 530: 2.918584746960312e-07
Position 711: 1.7039755315690812e-07
Position 269: 1.4411132733279039e-07
Position 88: 7.715731424715929e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 314: 0.9908530794802558
Position 539: 0.014451135852911714
Position 741: 0.012356541742851683
Position 852: 0.009204084614438673
Position 787: 0.004311978342484584
Position 716: 0.0024387226266499086
Position 670: 0.0008693706099069209
Position 988: 0.0008129843969183893
Position 858: 0.0004983345385660255
Position 556: 0.00030494646597643073
Position 1015: 0.00029542679350112435
Position 826: 0.0001410177697643733
Position 88: 0.00012384280813139097
Position 902: 7.89095332973207e-05
Position 68: 7.503694772139854e-05
Position 65: 6.064998803388963e-05
Position 59: 1.1516886612559845e-05
Position 117: 8.534857233692998e-06
Position 121: 6.710868783236911e-08
Position 187: 4.947703284674396e-08
Position 165: 1.4567772575554057e-08
Position 168: 1.3278367021739744e-08
Position 142: 1.2357022886527446e-08
Position 134: 7.208535295589038e-09
