Gene = ppk10
index = 1842
Annotated 5SS: [ 326  490  636  945 1202 1385 1602 1720 1906 2091]
Annotated 3SS: [ 383  543  691 1000 1265 1446 1656 1798 1975 2146]
SMsplice 5SS: [ 326  636  945 1202 1385 1602 1720 1906 2091]
SMsplice 3SS: [ 383  691 1000 1281 1446 1656 1798 1975 2146]
top_k =  100
Partition function (log Z): 16.88599090691567

Sorted 5' Splice Sites (High to Low Probability):
Position 326: 0.9903696811793546
Position 1385: 0.9877649511531348
Position 1906: 0.9780479520642018
Position 1602: 0.9682178329091825
Position 1202: 0.9264030433571656
Position 1720: 0.9107903806776602
Position 636: 0.7176335610511142
Position 945: 0.6856348365909364
Position 2091: 0.5292294849162756
Position 490: 0.08737506519656235
Position 1735: 0.07681187627659096
Position 823: 0.04227287147900723
Position 1910: 0.021326318461989156
Position 1084: 0.013887690917814312
Position 653: 0.00828210620823151
Position 919: 0.007445616081623762
Position 910: 0.007123612769685941
Position 2063: 0.0070840011982913256
Position 1136: 0.006555856366369905
Position 1102: 0.005024266805747296
Position 93: 0.004205015962950484
Position 333: 0.002127583563319539
Position 1220: 0.0019538059319841984
Position 632: 0.0014523782997179116
Position 1065: 0.0013467934750883862
Position 1724: 0.0013389267253277367
Position 586: 0.0011518249863755603
Position 215: 0.0010001667190800356
Position 643: 0.0009386658795293993
Position 1093: 0.0005337248358081377
Position 455: 0.0005079520602648005
Position 1606: 0.0004243583424499096
Position 691: 0.0003897447846190111
Position 237: 0.000277564121217574
Position 107: 0.00023296953870789762
Position 1396: 0.00023153422397216675
Position 1575: 0.00016135941410521862
Position 317: 0.00015823168236592936
Position 11: 0.0001520952583303373
Position 1330: 0.00013074771682704598
Position 226: 7.671962302382559e-05
Position 1885: 7.062597236303964e-05
Position 2027: 6.587116859795737e-05
Position 1882: 5.587461060233769e-05
Position 330: 4.586479350697727e-05
Position 761: 2.5463082614716666e-05
Position 2046: 2.1481200633131846e-05
Position 1896: 2.088718428739197e-05
Position 2106: 1.7262787303912956e-05
Position 158: 9.116573354167972e-06
Position 198: 8.219407994128857e-06
Position 104: 7.2395855903763585e-06
Position 433: 5.933154569554203e-06
Position 257: 5.607153446034408e-06
Position 52: 1.0566827887430957e-06
Position 127: 4.997010284433305e-07
Position 271: 6.558973449603796e-08
Position 252: 2.743821922007366e-08
Position 357: 3.870118807911596e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1975: 0.9994935729908867
Position 1446: 0.9903651682220215
Position 1798: 0.9801380002532594
Position 1656: 0.9626227652811142
Position 383: 0.9616919240090552
Position 1000: 0.9007633546273962
Position 1281: 0.603705953398262
Position 2146: 0.5226686145575663
Position 1265: 0.32620784001959874
Position 691: 0.3180260116974135
Position 776: 0.19627840480523184
Position 543: 0.10165168053420498
Position 1135: 0.03686966277904887
Position 874: 0.024399995140919027
Position 788: 0.021477922032370943
Position 1812: 0.012397936071339707
Position 2164: 0.00722243829389923
Position 707: 0.005945856095453776
Position 1156: 0.005223076396445634
Position 2186: 0.004540055052151808
Position 1670: 0.0036743654936071644
Position 158: 0.0027730709695228026
Position 2228: 0.0015434472904866806
Position 944: 0.001506396356391358
Position 1448: 0.0012305449389226452
Position 586: 0.0009901098638442278
Position 172: 0.0007854071056643264
Position 182: 0.0005597543867888866
Position 964: 0.0005554181467403934
Position 2206: 0.0002111463083664378
Position 2114: 0.0001995372805671522
Position 1534: 0.00012245395962303003
Position 2233: 0.00011798604527811347
Position 1696: 0.00011374089437103827
Position 1602: 9.336060335962641e-05
Position 127: 7.389754532098284e-05
Position 470: 6.343775950711983e-05
Position 1674: 3.9322887962948546e-05
Position 83: 3.924111935555052e-05
Position 1866: 1.6182816671346307e-05
Position 357: 1.3051832334725966e-05
Position 490: 8.482116924104753e-06
Position 136: 6.62587516183913e-06
Position 206: 3.033630535690847e-06
Position 220: 1.7378185477025204e-06
Position 323: 1.3909757387085496e-06
Position 63: 7.725150986408011e-07
Position 215: 1.1996842756887468e-07
