Gene = NijB
index = 1319
Annotated 5SS: [256 513]
Annotated 3SS: [357 565]
SMsplice 5SS: [256]
SMsplice 3SS: [357]
top_k =  100
Partition function (log Z): -2.048190219929685

Sorted 5' Splice Sites (High to Low Probability):
Position 256: 0.9861967231586175
Position 513: 0.34162897092330985
Position 517: 0.3199167580551239
Position 700: 0.10538042207005681
Position 264: 0.008937279746493781
Position 728: 0.006833577033937165
Position 459: 0.0045150057367297144
Position 693: 0.003928069571141036
Position 114: 0.00214937709550221
Position 437: 0.0019729724636170834
Position 287: 0.0014295039033403332
Position 474: 0.0013142923835242242
Position 246: 0.0007424098932381553
Position 302: 0.0006673845431355802
Position 644: 0.0006122057214019475
Position 521: 0.00033135914378571633
Position 620: 0.0003158465488360047
Position 489: 0.00013622847814938693
Position 15: 9.898614926207325e-05
Position 594: 3.685193201638039e-05
Position 163: 3.112945568812116e-05
Position 55: 2.3717363020206587e-05
Position 64: 6.2787725155171715e-06
Position 88: 4.332614135864826e-06
Position 199: 3.18511798320769e-06
Position 82: 9.579276111709027e-07
Position 327: 5.531001102869826e-07
Position 143: 7.995361994330196e-08
Position 73: 2.6691931029780662e-08
Position 398: 1.6840705403817373e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 357: 0.990822889027625
Position 565: 0.5648072660702124
Position 789: 0.2058679819101291
Position 585: 0.018300412487073172
Position 594: 0.002604421146262242
Position 577: 0.002168844533558302
Position 163: 0.0006760648567101792
Position 513: 0.0003346514911659905
Position 398: 0.0003208309808007708
Position 372: 0.00022186261315606696
Position 644: 0.00022042446882086536
Position 309: 0.00020149131747403137
Position 448: 0.0001911613370322304
Position 194: 8.848759593791277e-05
Position 800: 8.430969203483452e-05
Position 205: 6.771427422601682e-05
Position 302: 4.099477096707427e-05
Position 219: 3.50862603169984e-05
Position 861: 3.394718040608798e-05
Position 428: 2.6124694481348147e-05
Position 113: 2.1155193777354185e-05
Position 73: 1.7014970667600517e-05
Position 97: 1.3781181007714645e-05
Position 482: 1.3684261403335689e-05
Position 174: 1.1751908118619553e-05
Position 154: 1.1191143566156593e-05
Position 64: 6.190908051240458e-06
Position 226: 2.3893609174676786e-06
Position 249: 1.0225277826119747e-06
Position 135: 8.805480742618894e-07
Position 143: 4.486862993363933e-07
Position 124: 2.4990482983793102e-08
