Gene = DCX-EMAP
index = 1122
Annotated 5SS: [ 1176 28115 35323 35992 36202 36491 36648 37111 37613 38099]
Annotated 3SS: [27919 35205 35602 36051 36318 36551 36711 37194 37701 38219]
SMsplice 5SS: [ 1176 35323 36202 36491 36648 37111 37613 38099]
SMsplice 3SS: [35205 35602 36318 36551 36711 37194 37701 38219]
top_k =  100
Partition function (log Z): 25.53389171543837

Sorted 5' Splice Sites (High to Low Probability):
Position 1176: 1.0
Position 36202: 0.9999999999999964
Position 37111: 0.9993661099528027
Position 36648: 0.9980256916373645
Position 38099: 0.9979445897751352
Position 36491: 0.9972787598723073
Position 37613: 0.9161819929421384
Position 37573: 0.06017412222922779
Position 38840: 0.027045352386841953
Position 37634: 0.015350091330314057
Position 37857: 0.012179714113184371
Position 38585: 0.010840633922057953
Position 38506: 0.010487021703747271
Position 38409: 0.0069905929283393745
Position 38477: 0.0048475270858425
Position 38350: 0.004098693498260559
Position 37640: 0.0035895860219203727
Position 37324: 0.0026611896066041714
Position 37626: 0.0026501911467538422
Position 38154: 0.002120546301013428
Position 39002: 0.001941827890079921
Position 38496: 0.0017148593789860916
Position 37785: 0.0009285378041849711
Position 38578: 0.0006985769562589024
Position 37327: 0.0006353475419312233
Position 36464: 0.0004769046539251921
Position 38767: 0.00044153902644085717
Position 37464: 0.00043505866621714904
Position 38731: 0.00036765813806038933
Position 38352: 0.00029079867373161503
Position 36447: 0.0002589122208022898
Position 38420: 0.00023239842779826104
Position 36652: 0.00022609889082043463
Position 38323: 0.00018831068226290645
Position 38485: 0.000182904218090311
Position 37457: 0.00018156699512256348
Position 38805: 0.00017392654321719253
Position 36898: 0.0001515284137029479
Position 37848: 0.000146130016957356
Position 36459: 0.00012953550634630826
Position 37350: 0.00012616651553692002
Position 38947: 9.932260030028342e-05
Position 37150: 4.2169826916141615e-05
Position 36495: 3.8150637992423417e-05
Position 36642: 2.9765909489807753e-05
Position 37735: 2.873668173162719e-05
Position 36921: 2.2701468843141405e-05
Position 37121: 2.1471030679691096e-05
Position 37974: 2.1089811377224862e-05
Position 37520: 2.0405567811990394e-05
Position 36725: 1.6031277749701588e-05
Position 36559: 1.5540604752721405e-05
Position 37267: 1.3503842321419983e-05
Position 36940: 9.789963347054191e-06
Position 36473: 9.71469337037375e-06
Position 36872: 3.940006439002336e-06
Position 38103: 3.921741146009572e-06
Position 36841: 3.215115157838914e-06
Position 38068: 3.048175207228929e-06
Position 36857: 2.2353371032507366e-06
Position 38093: 1.8251632537617659e-06
Position 36602: 1.5654036270253741e-06
Position 36625: 1.2090413086185855e-06
Position 38298: 9.887236701927039e-07
Position 38455: 9.595541469944296e-07
Position 37216: 8.691419744453959e-07
Position 37137: 2.6915408344785796e-07
Position 37581: 7.88972093946614e-08
Position 37597: 3.3617889010352785e-08
Position 37940: 2.4510965976457205e-08
Position 36852: 8.188691250384731e-09
Position 37962: 6.981612859122552e-09
Position 36874: 1.3097232842370952e-09
Position 36975: 9.323399928095622e-10
Position 36606: 7.916343245439588e-11
Position 37343: 1.3722410559005634e-11
Position 37411: 1.0359095536957569e-11
Position 36614: 1.429567197236119e-12
Position 36782: 4.3633033045490234e-14
Position 36964: 1.7363422321356592e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 35602: 1.0
Position 36551: 0.9971022351447839
Position 36711: 0.9966510596208421
Position 37701: 0.9949138168189657
Position 38219: 0.9870760623040508
Position 36318: 0.9704730831437495
Position 37194: 0.9401241386357052
Position 38898: 0.05834222816565228
Position 37236: 0.05467683030599631
Position 36339: 0.025287831714758208
Position 37915: 0.011571171698016972
Position 38656: 0.008778542744614376
Position 38187: 0.00552271644160068
Position 37738: 0.003504655895234367
Position 38591: 0.003262379162803197
Position 38930: 0.00310086991221962
Position 39057: 0.0030351136843198784
Position 37456: 0.0027068355396931655
Position 37396: 0.002303079591701299
Position 36361: 0.001915600551313908
Position 36289: 0.0017479394043780196
Position 36720: 0.0016939232776282957
Position 37159: 0.0015691772334827246
Position 37931: 0.000936044333001698
Position 37910: 0.0009062615293176649
Position 38691: 0.0008713894551857875
Position 36270: 0.000571575061881729
Position 38477: 0.0005369995032043469
Position 37161: 0.00037828387447636836
Position 36524: 0.0003196126723275377
Position 37784: 0.00029827055357342544
Position 36583: 0.0002975960846901567
Position 37853: 0.00024769282092637753
Position 37308: 0.00020712358845888156
Position 37323: 0.00015253282879606307
Position 38145: 0.00014697472760575217
Position 38035: 0.00014069238160947567
Position 37363: 0.00012450006597627202
Position 36993: 0.0001225316725558669
Position 36614: 0.00010363990671070214
Position 36981: 8.52740865013763e-05
Position 36562: 6.684844427137542e-05
Position 37716: 5.217353652758072e-05
Position 38148: 4.9593105466466836e-05
Position 36723: 4.5610547854125054e-05
Position 36507: 4.382714004434441e-05
Position 36558: 3.865768860851956e-05
Position 37781: 1.8192054533931053e-05
Position 37083: 1.5207237097485878e-05
Position 37203: 1.4499063160449055e-05
Position 36872: 1.2460790179875729e-05
Position 36849: 7.868428360450728e-06
Position 36975: 2.3644568816887934e-06
