Gene = DOR
index = 1128
Annotated 5SS: [  442 11552 12320 12721]
Annotated 3SS: [10876 11838 12485 12796]
SMsplice 5SS: [   78 11552 12320 12721]
SMsplice 3SS: [10876 11838 12485 12796]
top_k =  100
Partition function (log Z): 11.51125261085668

Sorted 5' Splice Sites (High to Low Probability):
Position 12721: 0.996998981289963
Position 11552: 0.9960919093570917
Position 78: 0.6800970188146643
Position 12320: 0.5122975349560868
Position 12230: 0.4655422135550312
Position 442: 0.31589628495583666
Position 13044: 0.10143470460654751
Position 11731: 0.03389068256363865
Position 2469: 0.022874566330753725
Position 692: 0.020204049842287384
Position 2765: 0.018952644450674107
Position 11774: 0.01184641131919395
Position 11943: 0.011580711658931365
Position 2945: 0.010184248304250815
Position 11733: 0.006897176611113512
Position 11706: 0.005808903620771599
Position 11532: 0.003904557671427243
Position 12425: 0.003885405791767602
Position 12747: 0.0024149766228842955
Position 12152: 0.0019446899977007064
Position 12234: 0.0008813125060867355
Position 13509: 0.0006329705130351566
Position 12202: 0.0004394801309294082
Position 12713: 0.0004341827816014838
Position 304: 0.00028867536280076345
Position 12920: 0.00028850548962482646
Position 12184: 0.0002762946763365183
Position 12324: 0.0002570761795662368
Position 12857: 0.00021863351570086778
Position 11917: 0.00014226621128561896
Position 995: 0.00012484684458997962
Position 971: 0.0001199220561307233
Position 11898: 5.9582268322374275e-05
Position 82: 4.692692936426468e-05
Position 11949: 4.6323256735017526e-05
Position 283: 3.1938012102890865e-05
Position 214: 3.13829411336146e-05
Position 119: 2.0018640938292732e-05
Position 185: 1.762727192124982e-05
Position 11966: 1.6434601788504915e-05
Position 287: 1.5821587979242416e-05
Position 177: 1.3131821461874025e-05
Position 11892: 1.1140962466176495e-05
Position 12707: 2.854830288312741e-06
Position 12753: 1.8726226194298282e-06
Position 12679: 6.223878871896446e-07
Position 12684: 3.7333865416116424e-07
Position 13221: 1.277680371638411e-07
Position 12336: 8.879576060671592e-08
Position 11889: 2.6176934229107386e-08
Position 1688: 1.9746262809850237e-08
Position 1751: 1.3417519257032333e-08
Position 1373: 2.2937111722119512e-10
Position 12013: 1.7063643871411858e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10876: 0.999598555553268
Position 11838: 0.9959878096211895
Position 12796: 0.9633387584038624
Position 12485: 0.8040217135890441
Position 13109: 0.09849456776868913
Position 12366: 0.09532247986250537
Position 11619: 0.051803689231148684
Position 12509: 0.03832555018363927
Position 12770: 0.03638896237230752
Position 2743: 0.02243777314297613
Position 12503: 0.0177661190930588
Position 12402: 0.015220118954477066
Position 12013: 0.011442084571698308
Position 2328: 0.009060622500522475
Position 2103: 0.008603852942002261
Position 1048: 0.00715540228168666
Position 12336: 0.006418014212414258
Position 12519: 0.006044824647583901
Position 11685: 0.0055143259013174925
Position 390: 0.005288690745280708
Position 192: 0.003507188474852338
Position 11802: 0.003462808902057726
Position 287: 0.0032129540662590218
Position 218: 0.0018347058147720014
Position 254: 0.0017979476079878532
Position 1887: 0.0016674084083435187
Position 2014: 0.0015735752973487704
Position 1929: 0.0015128379965152524
Position 13276: 0.0014444779541382942
Position 366: 0.0012661583720621928
Position 11601: 0.0012529706474405152
Position 12349: 0.0011761116905394987
Position 12533: 0.0009217586203800926
Position 13617: 0.0006324743172463129
Position 13451: 0.0006190227553904187
Position 13172: 0.0005538381639263186
Position 9698: 0.00039791147525086474
Position 12579: 0.00037105339205272333
Position 11866: 0.0003649826756107092
Position 13646: 0.0002524463541923685
Position 12802: 0.0002451174381161617
Position 13596: 0.00021964529023374256
Position 13169: 0.00019660676379345274
Position 13571: 0.00016186252533528342
Position 12319: 0.00014060553213603627
Position 12425: 0.00012050491645462425
Position 12834: 9.888404159608696e-06
Position 12871: 9.623091105444463e-06
Position 12798: 7.650290447965801e-06
Position 11785: 9.364023307678666e-08
Position 2553: 1.613237880342665e-08
Position 1070: 2.072725769199496e-09
Position 1280: 1.7043321771897964e-09
