Gene = kto
index = 1741
Annotated 5SS: [ 675 3404 5192 5619 5993 6376 6887]
Annotated 3SS: [ 735 3477 5249 5677 6063 6579 6950]
SMsplice 5SS: [ 675 3404 5192 5619 5993 6376 6887]
SMsplice 3SS: [ 735 3477 5249 5677 6063 6579 6950]
top_k =  100
Partition function (log Z): 23.394336502263023

Sorted 5' Splice Sites (High to Low Probability):
Position 6887: 0.9992118997433929
Position 5993: 0.9982001956740394
Position 675: 0.9978677045570624
Position 5619: 0.9974029541675766
Position 5192: 0.9953675388909754
Position 3404: 0.9860690175933803
Position 6376: 0.9802663731116065
Position 219: 0.1706441209113768
Position 8269: 0.0880771068504352
Position 1023: 0.07002449179063125
Position 414: 0.06088115783791532
Position 381: 0.051747327590556065
Position 4028: 0.046172660310371046
Position 847: 0.029761852645605477
Position 3911: 0.020487598153395622
Position 1118: 0.02008899736644901
Position 3879: 0.0156778472337325
Position 790: 0.009963419293551738
Position 1944: 0.00891156775254282
Position 3875: 0.008726579589385051
Position 254: 0.0070987861272576915
Position 3750: 0.006409914403165415
Position 372: 0.005516009569219727
Position 6488: 0.0050729206437287
Position 5328: 0.0038124964802375306
Position 8242: 0.0031327155069958202
Position 1003: 0.002274511305517493
Position 6480: 0.0021380646657933756
Position 867: 0.0019917087149715247
Position 6516: 0.0014256809590154848
Position 205: 0.0013576286167939983
Position 4106: 0.0012337416490036258
Position 6477: 0.0012331576896831857
Position 679: 0.0012281106185206266
Position 379: 0.0010542805404834502
Position 173: 0.0008323953844559097
Position 386: 0.0008314196038919433
Position 397: 0.0008220965756962884
Position 8227: 0.000606528402357116
Position 7388: 0.0004829745599201356
Position 6400: 0.00047085473975866734
Position 6393: 0.0003964248259520017
Position 500: 0.00039036262455633005
Position 6006: 0.0003679558883452858
Position 661: 0.0003436124854271944
Position 6202: 0.0003235998671848793
Position 6891: 0.00026353760032760354
Position 6785: 0.0002185729664932785
Position 6140: 0.00020393736429362083
Position 6199: 0.0001419700260440871
Position 3244: 9.979151092131008e-05
Position 5577: 9.821779456293484e-05
Position 239: 7.319280213050759e-05
Position 8055: 7.213382619335097e-05
Position 7574: 6.614035576828424e-05
Position 5623: 6.28698298276331e-05
Position 5922: 6.221594677785952e-05
Position 5418: 5.802572096742413e-05
Position 5893: 3.888548954499236e-05
Position 6898: 3.848440046455792e-05
Position 7059: 2.24718536743099e-05
Position 5925: 2.194174410925737e-05
Position 5825: 9.19112714636051e-06
Position 853: 6.999240615876164e-06
Position 5912: 6.683610192382476e-06
Position 5997: 4.6394568693783615e-06
Position 2190: 3.5701733618635445e-06
Position 111: 2.274704443173722e-06
Position 628: 3.0742776489030017e-07
Position 87: 2.710978259992832e-07
Position 523: 9.688080573318473e-08
Position 6846: 1.2788740286700919e-08
Position 6885: 1.2696121743806282e-08
Position 565: 1.1843842243061978e-08
Position 6710: 1.0378143272200254e-08
Position 105: 9.310972933060367e-09
Position 362: 6.936781978826763e-09
Position 31: 3.754501286745487e-09
Position 487: 3.1015865782070735e-09
Position 5437: 2.1932688312800597e-09
Position 67: 1.2029117405675245e-09
Position 796: 3.486672429502569e-10
Position 5835: 3.1855466307632965e-10
Position 6703: 1.2543905593760192e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 735: 0.9999999674451688
Position 5249: 0.9997452756785626
Position 6950: 0.9987734291648672
Position 5677: 0.9918305683775963
Position 6579: 0.988560091868632
Position 3477: 0.897816723099794
Position 6063: 0.5955273826271273
Position 6066: 0.4009314299061555
Position 270: 0.1402224131908636
Position 3514: 0.10218327690021241
Position 4139: 0.09389519270653536
Position 8326: 0.08835767719393293
Position 432: 0.07186276360405482
Position 499: 0.06457329307713315
Position 1181: 0.03723104783377691
Position 2633: 0.030251323456216485
Position 913: 0.02815723303474379
Position 466: 0.01953322001468631
Position 1864: 0.01831181533021933
Position 2234: 0.015125604882464885
Position 5767: 0.005240559554347959
Position 8299: 0.0038489182676654044
Position 5411: 0.0032463427640738386
Position 437: 0.0024244635606567
Position 6648: 0.0015091852032237106
Position 6591: 0.0011404095923203202
Position 6645: 0.0009972567651500305
Position 6994: 0.0007592126870881367
Position 493: 0.0007008268790322434
Position 555: 0.0006981922188656156
Position 6624: 0.0004899654214307525
Position 5376: 0.0004799421471290411
Position 3947: 0.00043541175096369566
Position 6427: 0.0003583724455253716
Position 6627: 0.00028474970760798473
Position 7729: 0.0002810692439751597
Position 6594: 0.00021866438863140796
Position 5840: 0.00020684868347031705
Position 6105: 0.0002001189964211534
Position 6496: 0.00019022836442024655
Position 469: 0.00016847660984645866
Position 463: 0.0001561986681328966
Position 6078: 0.00015062709337041632
Position 249: 0.00013123960598996278
Position 286: 0.00012530588233119767
Position 850: 0.0001022871042554311
Position 7036: 9.810168764928066e-05
Position 289: 9.084116309987179e-05
Position 5735: 7.87026368136122e-05
Position 5907: 6.944215016976774e-05
Position 5713: 6.477474089485035e-05
Position 7078: 3.9523381342971084e-05
Position 7033: 3.625658243049109e-05
Position 6450: 2.2292057768013273e-05
Position 6436: 1.9717782277875992e-05
Position 883: 9.078575580862643e-06
Position 853: 7.565888468922129e-06
Position 292: 3.1588454379676666e-06
Position 295: 3.4721294706895737e-07
Position 331: 3.217799859462785e-07
Position 133: 1.3199183088223778e-07
Position 746: 1.9872023496763704e-09
