Gene = Utx
index = 1589
Annotated 5SS: [ 163  562  998 2420 2828 3115 3363 3685 3878 4647 4846 5349 5615 5816]
Annotated 3SS: [ 214  885 2243 2698 2888 3181 3423 3744 3942 4705 4928 5404 5688 5904]
SMsplice 5SS: [ 163  562  998 2420 2828 3115 3363 3685 3878 4647 4846 5349 5615 5816]
SMsplice 3SS: [ 214  885 2243 2698 2888 3181 3426 3744 3942 4705 4928 5404 5688 5904]
top_k =  100
Partition function (log Z): 43.944462210004616

Sorted 5' Splice Sites (High to Low Probability):
Position 2828: 0.9998418386168855
Position 3878: 0.9995497587269453
Position 5615: 0.9969372211430567
Position 3363: 0.9913947862339519
Position 3685: 0.9838009748985371
Position 4846: 0.9818978551588134
Position 5349: 0.9804196422828123
Position 2420: 0.977938972738526
Position 3115: 0.940939014280514
Position 998: 0.9332416247815392
Position 5816: 0.9218326655098306
Position 163: 0.8591721568904791
Position 4647: 0.833704275199995
Position 562: 0.77313011236076
Position 4552: 0.2940608701598379
Position 1417: 0.09294043315498712
Position 2650: 0.09273389002159238
Position 5825: 0.056122720807494864
Position 4661: 0.0405013251211042
Position 391: 0.0317784428277703
Position 1274: 0.026302924456939568
Position 2091: 0.025429023631771575
Position 321: 0.024450753482971918
Position 1715: 0.019145501540378227
Position 4652: 0.01864434823671993
Position 1640: 0.017143699605345678
Position 3081: 0.017120424311916706
Position 5828: 0.016451704399670697
Position 1405: 0.016378070660118118
Position 796: 0.01614184546183802
Position 316: 0.013906582132841613
Position 5338: 0.012179599023706862
Position 4812: 0.011965368709285443
Position 2000: 0.008432043785104837
Position 4197: 0.008271617247315717
Position 6048: 0.007616215483437547
Position 4500: 0.007288143194197241
Position 6124: 0.006270598354005817
Position 3548: 0.005148410381709691
Position 3661: 0.003940368623206817
Position 5860: 0.0038856273670704335
Position 3679: 0.0038754045591136168
Position 1836: 0.0034603409213410353
Position 707: 0.0020791796468083617
Position 6102: 0.0016875448922001005
Position 4466: 0.00128548851846874
Position 2934: 0.0012830226469959791
Position 4254: 0.0012764766958554773
