Gene = Coq4
index = 1086
Annotated 5SS: [  23 3505 3767 4245]
Annotated 3SS: [3277 3561 4020 4317]
SMsplice 5SS: [ 271 3505 3767 4245]
SMsplice 3SS: [3277 3561 4020 4317]
top_k =  100
Partition function (log Z): 4.620523675572384

Sorted 5' Splice Sites (High to Low Probability):
Position 4245: 0.9975171034326732
Position 3505: 0.9795137722381588
Position 271: 0.6670471353948777
Position 3767: 0.6396975881686716
Position 72: 0.3443556401948038
Position 3788: 0.1528958617118915
Position 48: 0.12456867283742594
Position 3888: 0.10644891184140985
Position 883: 0.08926056424527354
Position 23: 0.06700591712455452
Position 3010: 0.050435465546530105
Position 479: 0.0269482042084464
Position 1198: 0.01812069868435402
Position 3746: 0.012295029983664269
Position 3703: 0.007082083496693687
Position 40: 0.006270470834140944
Position 3800: 0.005906288450187515
Position 3884: 0.004994974236269312
Position 4578: 0.004181171238836252
Position 552: 0.0033639770041308456
Position 3648: 0.0033011300243718953
Position 880: 0.0029750603844763694
Position 609: 0.0022383858538203585
Position 205: 0.0017529823077256296
Position 27: 0.001656845654744836
Position 4167: 0.0014099509955291507
Position 3860: 0.0012903534363032177
Position 4583: 0.0011018304045219873
Position 4457: 0.0009945551457122008
Position 4595: 0.0007548127316866076
Position 189: 0.0006548267149387636
Position 193: 0.00041868243952950576
Position 198: 0.00033211287942810214
Position 4216: 0.00025241097573969624
Position 21: 0.0002389330855341065
Position 4573: 0.0001529138923200943
Position 4249: 0.00012929240285983505
Position 110: 0.00012567200018627432
Position 46: 0.0001123663503647921
Position 4254: 0.0001031673581543965
Position 4263: 6.594305218876061e-05
Position 66: 5.123274387086978e-05
Position 52: 4.533569105250643e-05
Position 132: 2.4131048294817794e-05
Position 116: 1.547469347105886e-05
Position 4552: 1.5351021484307317e-05
Position 4560: 1.3699617521245578e-05
Position 4211: 4.368190135982306e-07
Position 4208: 1.9589427233480645e-07
Position 55: 1.974926875948699e-08
Position 4156: 1.5643738083357608e-08
Position 82: 1.2774219691862677e-08
Position 97: 5.945664308791093e-09
Position 4228: 4.7846266434773744e-09
Position 4200: 3.746800976481838e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4317: 0.9970024784185614
Position 4020: 0.9954662776354577
Position 3277: 0.9936663644625503
Position 3561: 0.9152606237445733
Position 108: 0.16680257004257842
Position 687: 0.084895634852589
Position 2273: 0.05377871179499846
Position 347: 0.037114844934841795
Position 172: 0.02445843945860928
Position 152: 0.020003414001714983
Position 935: 0.00980069886975897
Position 4637: 0.005652332276039968
Position 129: 0.004338193069747542
Position 3635: 0.0036144010831620963
Position 1014: 0.0032745291110827025
Position 193: 0.0030950138014126222
Position 629: 0.0027734641795051636
Position 4321: 0.0016836754555878254
Position 4024: 0.0013762141326842314
Position 4528: 0.0011002188910440207
Position 3953: 0.0006985686194443472
Position 390: 0.0006565457047440237
Position 4681: 0.0006223149976875763
Position 4339: 0.00037162277694831466
Position 4661: 0.00017793289789130368
Position 138: 0.00014939466222059538
Position 71: 0.00010080703360105418
Position 4652: 8.258110520056003e-05
Position 159: 6.339521088640805e-05
Position 116: 5.5075408069741853e-05
Position 197: 9.151145100437097e-07
Position 269: 4.253887268978284e-07
