Gene = Ptth
index = 1393
Annotated 5SS: [383 816]
Annotated 3SS: [491 873]
SMsplice 5SS: [383 816]
SMsplice 3SS: [491 873]
top_k =  100
Partition function (log Z): -6.258441247870649

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.8086478935740392
Position 383: 0.727833313062077
Position 268: 0.04942913600249397
Position 1003: 0.03049680450880536
Position 585: 0.02554109823291843
Position 221: 0.009021563012728023
Position 810: 0.007893664802553754
Position 637: 0.006923092811241363
Position 1116: 0.0034600618307670705
Position 734: 0.0019385914779906962
Position 379: 0.0015308701733845395
Position 4: 0.0009262784424023462
Position 1090: 0.00046784204615357467
Position 178: 0.0004675568722653884
Position 231: 0.00044174906274478475
Position 113: 0.0003141748323992779
Position 1130: 0.00010418338229887623
Position 205: 8.736592145333757e-05
Position 41: 3.1300601669521715e-05
Position 8: 2.977180595175144e-05
Position 308: 1.751660773501834e-05
Position 193: 1.2205966164072052e-05
Position 181: 1.0558801334332728e-05
Position 353: 9.90094030437787e-06
Position 184: 6.857556486635999e-06
Position 198: 4.667879910661962e-06
Position 186: 2.2762291267075176e-06
Position 387: 1.5743996691494872e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 873: 0.9322782336153214
Position 491: 0.40364229507096433
Position 696: 0.0744120780074529
Position 550: 0.055815998396435564
Position 795: 0.04441116188160965
Position 328: 0.030555662254785367
Position 540: 0.024191683508342218
Position 1074: 0.022462902486676564
Position 526: 0.021912100713358536
Position 722: 0.01684828866992804
Position 1170: 0.008189582799340499
Position 267: 0.007729963951087389
Position 986: 0.007369695628388174
Position 436: 0.006070462297058148
Position 554: 0.0058352927356209216
Position 1059: 0.003992134331288579
Position 433: 0.002697281692265864
Position 673: 0.0019662297156746154
Position 220: 0.0014840396498006965
Position 679: 0.001223219692524981
Position 330: 0.0011143875762432826
Position 655: 0.0010648709591784546
Position 308: 0.00018984002130051591
Position 1180: 0.0001041833822988764
Position 93: 2.8636097497250492e-05
Position 363: 1.8092139595940505e-05
Position 336: 1.7292217086951798e-05
Position 105: 7.028848653695291e-06
Position 339: 6.502701053802589e-06
Position 836: 5.9371518002978695e-06
Position 144: 3.4865193146869873e-06
Position 75: 1.4094870079396086e-06
Position 342: 9.113317121899845e-07
Position 102: 6.386638919752885e-07
Position 357: 3.466425082258573e-07
