Gene = Schip1
index = 1473
Annotated 5SS: [  37 1125 1642 1795 1921 2313 2645]
Annotated 3SS: [ 523 1184 1705 1853 1980 2375 2705]
SMsplice 5SS: [  37 1125 1642 1795 1921 2313 2645]
SMsplice 3SS: [ 523 1184 1705 1853 1980 2375 2705]
top_k =  100
Partition function (log Z): 22.970192396230708

Sorted 5' Splice Sites (High to Low Probability):
Position 1921: 0.9994334350822706
Position 1795: 0.9931800378785663
Position 1642: 0.9927751757098057
Position 1125: 0.9912456691674492
Position 37: 0.9282606691728381
Position 2313: 0.9208089358099516
Position 2645: 0.7917721729991251
Position 402: 0.20765091631057755
Position 1376: 0.1512104070641947
Position 712: 0.13929638174496228
Position 2262: 0.03996878879459926
Position 2307: 0.03467178664776325
Position 330: 0.03308221281536383
Position 252: 0.014872859603137098
Position 283: 0.00934222315452244
Position 150: 0.007607943185639371
Position 475: 0.0060973329314592505
Position 1799: 0.004959896545557067
Position 1402: 0.0044518901841902134
Position 2649: 0.003517954444948786
Position 1635: 0.0034553609487549667
Position 1289: 0.003115376020166611
Position 1132: 0.0021583005528175046
Position 2194: 0.0015404470802535296
Position 772: 0.0013997556799806104
Position 1361: 0.0010957647503469705
Position 2062: 0.0007614875066823762
Position 385: 0.0007057264089318625
Position 1545: 0.0006334053790982633
Position 305: 0.000418394077513793
Position 2067: 0.00037868221327916666
Position 271: 0.00036720874288237264
Position 1774: 0.0003072433073262155
Position 2092: 0.00023456775283928628
Position 2496: 0.00021282027328665902
Position 1607: 0.00018068517127083465
Position 2517: 7.103313640049594e-05
Position 41: 6.758137118445332e-05
Position 178: 2.6644620984988045e-05
Position 113: 1.5648448952165795e-05
Position 846: 1.5382841318092845e-05
Position 2210: 1.4921312972706787e-05
Position 91: 1.4479269256829797e-05
Position 101: 1.3908512284226019e-05
Position 376: 1.04648228016093e-05
Position 388: 1.0171017929237034e-05
Position 371: 8.020198435375837e-06
Position 31: 4.796559714911949e-06
Position 1342: 2.7940682989266604e-06
Position 94: 1.2950535839650883e-06
Position 1744: 4.418263492317053e-07
Position 1048: 1.02683416275562e-07
Position 224: 5.941058039483805e-12
Position 1559: 5.019055679761158e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1853: 0.9985566939027523
Position 1705: 0.9963464078685601
Position 1184: 0.9961140862477192
Position 1980: 0.9942986481472721
Position 2375: 0.9927497700104922
Position 523: 0.9324145097724204
Position 2705: 0.7754090913847955
Position 169: 0.09363776838468751
Position 91: 0.09018354731643534
Position 862: 0.08003711908366973
Position 1466: 0.07916305452338515
Position 1450: 0.05243310390180576
Position 239: 0.0507225083306411
Position 1436: 0.023159944736144942
Position 2718: 0.02055279547173128
Position 101: 0.01922906577696905
Position 987: 0.018251629530903132
Position 807: 0.010917175580946108
Position 992: 0.009661193030612199
Position 124: 0.008967468657377178
Position 1489: 0.006268068034346894
Position 804: 0.005845855269143577
Position 926: 0.0055294939285982616
Position 922: 0.0036072654973332823
Position 772: 0.0034064987168252268
Position 2327: 0.0027307112167401833
Position 550: 0.0027039101252419925
Position 2029: 0.002191090798152675
Position 597: 0.002085968570287523
Position 572: 0.0015423530947084412
Position 2141: 0.0015084932675625497
Position 330: 0.001354472327406871
Position 478: 0.001338948553489586
Position 276: 0.0012942814588156285
Position 1991: 0.001229370132756721
Position 1197: 0.0011838070765769777
Position 2259: 0.0009616059553644896
Position 1725: 0.0007816919938855461
Position 1988: 0.0006655797069951781
Position 2202: 0.0006432411800144572
Position 639: 0.0005781298192719668
Position 496: 0.0004222841076713839
Position 2380: 0.00024448117355251183
Position 2531: 0.00015272440404002103
Position 256: 0.00012708850750176606
Position 305: 0.00010525343840941052
Position 2510: 4.9760174397717524e-05
Position 1747: 4.477473343927919e-05
Position 1671: 3.5133459867174353e-05
Position 1773: 1.1557953074001599e-05
Position 134: 1.0955170829731976e-07
Position 150: 1.49806990623036e-08
