Gene = Best2
index = 47
Annotated 5SS: [ 119 3166 4407 4658 5086 5295 6056 8120 8759 8995 9308]
Annotated 3SS: [2801 4295 4470 4716 5165 5947 7879 8448 8901 9064 9458]
SMsplice 5SS: [ 119 3166 4407 4658 5086 5295 6056 8120 8759 8995 9308]
SMsplice 3SS: [2801 4115 4470 4716 5165 5947 7879 8448 8901 9064 9458]
top_k =  100
Partition function (log Z): 36.97453066424434

Sorted 5' Splice Sites (High to Low Probability):
Position 6056: 0.99999914464542
Position 5086: 0.9995460349490213
Position 8995: 0.9986917724004548
Position 8120: 0.9972043267182251
Position 9308: 0.9964280484529181
Position 4407: 0.9892649263546038
Position 5295: 0.9810303657498516
Position 3166: 0.9707700088191267
Position 8759: 0.9474674562022667
Position 4658: 0.9423984350105873
Position 119: 0.9006910012074022
Position 3929: 0.2594404634798947
Position 4218: 0.2560789492357124
Position 5724: 0.15793138899097897
Position 3440: 0.14462635064065021
Position 10018: 0.10344986850574184
Position 9726: 0.10074951857550202
Position 96: 0.06370244825838071
Position 4652: 0.04846543977062006
Position 2308: 0.03746973620288463
Position 8687: 0.03692580265959947
Position 7262: 0.027998429219530496
Position 5690: 0.022898381545286315
Position 9178: 0.021758858219612157
Position 9750: 0.019131571609278523
Position 1212: 0.017616460275080924
Position 7277: 0.01469493546724454
Position 8347: 0.011786134950332702
Position 3584: 0.011709808545794136
Position 5818: 0.011590985492336654
Position 4411: 0.008937836935842085
Position 2690: 0.008426803287515017
Position 5515: 0.007463727406811147
Position 5286: 0.007066451000530644
Position 6818: 0.006715105493443049
Position 3428: 0.005214661152890124
Position 496: 0.0046237445458622494
Position 8720: 0.0043056851220451805
Position 366: 0.004070589799345705
Position 5719: 0.0038900554197827883
Position 3871: 0.0033960897466326105
Position 8709: 0.0026393403213069303
Position 9173: 0.0025411556297002366
Position 2253: 0.0024419413826664437
Position 5663: 0.00236011855193794
Position 9355: 0.0023288888660786366
Position 326: 0.0021955562368045334
Position 8763: 0.0018668021586047783
Position 1049: 0.0016945625716076342
Position 773: 0.001436710559621755
Position 4650: 0.0011419368972398715
Position 9772: 0.0010023607775586586
Position 5433: 0.0009027743002967439
Position 6522: 0.0007002661713364315
Position 4433: 0.00036522202866351243
Position 5059: 0.0003620044311687879
Position 6486: 0.0001212710390995617
Position 8999: 0.00011543065678442833
Position 552: 7.631812959273139e-05
Position 8148: 4.885424892631324e-05
Position 9335: 4.039016962819748e-05
Position 5005: 2.520090752614263e-05
Position 5036: 2.3255548651118383e-05
Position 9126: 2.0312493898124365e-05
Position 8056: 1.683518095403892e-05
Position 5074: 7.528515360867689e-06
Position 335: 4.3793698667933595e-06
Position 115: 4.016470165698535e-06
Position 4804: 2.8991502276032485e-06
Position 269: 2.6985522524783414e-06
Position 9251: 2.410599347001419e-06
