Gene = CTCF
index = 1047
Annotated 5SS: [ 133  647 2672]
Annotated 3SS: [ 253  707 2733]
SMsplice 5SS: [ 647 2372 2672]
SMsplice 3SS: [ 707 2428 2733]
top_k =  100
Partition function (log Z): -3.022468923645137

Sorted 5' Splice Sites (High to Low Probability):
Position 2672: 0.988148313576452
Position 647: 0.9266757155359417
Position 2372: 0.42681551292878184
Position 1139: 0.12975165975031025
Position 2864: 0.08830552642976021
Position 625: 0.07110993204016747
Position 947: 0.06675233614755714
Position 133: 0.022836289374034216
Position 2115: 0.017690488021843958
Position 2906: 0.012857002496172285
Position 974: 0.010232801016353925
Position 2883: 0.009875845661041018
Position 860: 0.008058556538020744
Position 2245: 0.007111474367174222
Position 1412: 0.00704686559304462
Position 2570: 0.002843996099563338
Position 1639: 0.0021755226521110002
Position 1618: 0.0017587660241735492
Position 137: 0.000807178110884415
Position 629: 0.0003287529270328212
Position 64: 0.0003237016424017888
Position 2916: 0.00023917525984707588
Position 217: 0.00021979363276493832
Position 670: 4.7544221158381875e-05
Position 507: 3.928236258524911e-05
Position 129: 3.368148951076658e-05
Position 352: 2.1809580998106715e-05
Position 207: 1.6828866421482393e-05
Position 355: 1.4198253276509063e-05
Position 2588: 9.012398761072903e-06
Position 166: 6.395436649848506e-06
Position 94: 4.088124271451722e-06
Position 46: 2.580656367073874e-06
Position 622: 1.9701434032067895e-06
Position 651: 1.0429319051147192e-06
Position 127: 3.447487578157199e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2733: 0.9907280792033182
Position 707: 0.8751393787319193
Position 2428: 0.7379707615167757
Position 2975: 0.09233783368302763
Position 253: 0.022872207166654775
Position 2953: 0.017384576137756628
Position 2455: 0.015543354206984503
Position 767: 0.014998741019129071
Position 1001: 0.013481553016483416
Position 1714: 0.005191536604387033
Position 1567: 0.005073376022510476
Position 1669: 0.00479314153670315
Position 1689: 0.002102334620723587
Position 2957: 0.0011533988759203058
Position 3092: 0.0009048717509366523
Position 725: 0.000627859099056749
Position 324: 0.000560392329127144
Position 3034: 0.00033087058559788386
Position 2981: 0.0002877905380266305
Position 327: 0.00015854734672150924
Position 380: 8.846758687314904e-05
Position 187: 8.149887559762762e-05
Position 127: 7.731471835718778e-05
Position 266: 4.663484822721906e-05
Position 558: 4.185798717976261e-05
Position 588: 3.712979689549287e-05
Position 543: 3.0825935281620676e-05
Position 300: 2.9314140587232188e-05
Position 372: 2.795347753341781e-05
Position 136: 2.199383267247364e-05
Position 517: 2.0875619988149415e-05
Position 757: 7.880395582498252e-06
Position 263: 7.4031315555310445e-06
Position 276: 3.920427525418621e-06
