Gene = axed
index = 1618
Annotated 5SS: [ 184 7272 7991]
Annotated 3SS: [6572 7341 8442]
SMsplice 5SS: [ 184 7272 7991]
SMsplice 3SS: [6572 7341 8442]
top_k =  100
Partition function (log Z): 4.364352041340999

Sorted 5' Splice Sites (High to Low Probability):
Position 7272: 0.9999462226906716
Position 7991: 0.9967768535859127
Position 585: 0.48887700581007315
Position 8625: 0.48835556862979873
Position 184: 0.4176159979982491
Position 1181: 0.39683385364648016
Position 1924: 0.08523053674824328
Position 20: 0.08410216573332996
Position 2541: 0.020514782115899806
Position 8988: 0.011973529689625796
Position 9067: 0.011214461321751329
Position 8315: 0.006305894227664477
Position 8885: 0.0051809707186804286
Position 1016: 0.00415347082201459
Position 754: 0.003107819684496559
Position 7722: 0.0029739573156078157
Position 8019: 0.0016235345015662278
Position 2080: 0.001106977782167704
Position 774: 0.0007696472982344062
Position 760: 0.0007511825523721313
Position 8014: 0.0005002484411580084
Position 8292: 0.00045111405728144474
Position 7995: 0.0003238735439229176
Position 417: 0.00029033521074659917
Position 750: 0.00024984154054625597
Position 7770: 0.00019190278636649263
Position 748: 0.00018998915964731718
Position 8330: 0.00018606533807621098
Position 746: 0.0001719358215278083
Position 425: 0.0001535869500512527
Position 8008: 5.3039039084135706e-05
Position 7456: 3.339234140888059e-05
Position 386: 2.4230908319886015e-05
Position 7777: 2.0505449775450538e-05
Position 153: 7.863971400713837e-06
Position 48: 3.5767625489664306e-06
Position 204: 2.7802999836690564e-06
Position 455: 1.5981195583877603e-06
Position 8593: 7.501628176716826e-07
Position 6768: 1.145676554003779e-07
Position 6781: 8.459585293688768e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 6572: 0.9999466573941967
Position 8442: 0.9993201355729212
Position 7341: 0.9653432974737298
Position 8678: 0.30083052807044136
Position 891: 0.09821354318275301
Position 643: 0.09159455590718679
Position 1036: 0.08588574989222962
Position 1079: 0.060458366382808375
Position 1491: 0.05817637243819228
Position 9174: 0.05532510214421673
Position 827: 0.04136667242360899
Position 9050: 0.037978368850501334
Position 7373: 0.03174590093111019
Position 8978: 0.031540000695643076
Position 9202: 0.020483290685639154
Position 91: 0.017917657133155365
Position 2259: 0.013429509759147147
Position 8675: 0.010159385328425908
Position 9700: 0.009638807313693029
Position 8690: 0.009434505579130907
Position 9428: 0.008187040480769096
Position 9109: 0.006820902279216688
Position 475: 0.0062475748710915345
Position 329: 0.00580380735540765
Position 8997: 0.005692346615134066
Position 948: 0.005431177222870565
Position 8871: 0.005220262570178443
Position 8181: 0.004239686925059348
Position 7764: 0.003950756225337409
Position 462: 0.003673503119812798
Position 1130: 0.0036724739463115893
Position 9641: 0.0036369637687140802
Position 9254: 0.003242142830793226
Position 8696: 0.0029318828876937564
Position 9612: 0.002618166464135185
Position 1480: 0.0025641332219189412
Position 690: 0.0022449828431364157
Position 2211: 0.0017934116937585063
Position 1985: 0.001572977268326237
Position 9536: 0.0014362752353233592
Position 8037: 0.0013131374007488775
Position 808: 0.0013008825336954044
Position 8202: 0.0010191194270815366
Position 8921: 0.000809804899658516
Position 9630: 0.0007395038233660233
Position 482: 0.0006450468991162108
Position 110: 0.0005829023079120573
Position 7630: 0.0005686120502781454
Position 100: 0.0005613448795218698
Position 7684: 0.0005089294946716663
Position 8471: 0.0005008935946583689
Position 8224: 0.0004480456022885134
Position 281: 0.00024755936519942946
Position 1959: 0.00022789138417165242
Position 7446: 0.00022785594963065873
Position 552: 0.00017350765788583914
Position 7425: 0.00015171107883748077
Position 519: 0.0001444403550437538
Position 1159: 0.00011825409880019826
Position 8474: 8.156404795397318e-05
Position 276: 5.2318539125010595e-05
Position 610: 4.3664462887854505e-05
Position 8280: 1.55435641930563e-05
Position 496: 1.0253447580438757e-05
Position 510: 3.0355240028002022e-06
Position 8394: 2.4599949359097758e-06
Position 8450: 2.4120044783757945e-06
Position 153: 1.6088192343592435e-06
