Gene = eIF3l
index = 1686
Annotated 5SS: [ 142 1326 2353]
Annotated 3SS: [ 846 1379 2411]
SMsplice 5SS: [ 142 1326 2353]
SMsplice 3SS: [ 846 1379 2411]
top_k =  100
Partition function (log Z): 0.04926222446806733

Sorted 5' Splice Sites (High to Low Probability):
Position 2353: 0.9891727174070784
Position 1326: 0.9708287179603096
Position 142: 0.6930715216398278
Position 405: 0.22274790150302903
Position 416: 0.023490446265765533
Position 484: 0.019302813123997266
Position 585: 0.016401040980504357
Position 704: 0.010726066288849598
Position 402: 0.009104564561659883
Position 942: 0.008982576726976181
Position 566: 0.006770459098019959
Position 424: 0.004177702580808312
Position 687: 0.003989065545527716
Position 1529: 0.003797652576208705
Position 284: 0.003681265755622529
Position 1075: 0.0027891205017320734
Position 1290: 0.0025851187911776884
Position 937: 0.001699748238811941
Position 306: 0.0016131189137827415
Position 1657: 0.001430173498164217
Position 1005: 0.0014160393208932438
Position 1553: 0.0013725132463166026
Position 987: 0.0012033512378915577
Position 694: 0.001121905875905996
Position 439: 0.0010237422943090092
Position 631: 0.0009878237774267756
Position 375: 0.0009474462447420877
Position 553: 0.0008708247466111431
Position 111: 0.0007598366925358286
Position 422: 0.0006536079393483305
Position 1278: 0.0005968797598831126
Position 1282: 0.0004942035838481173
Position 1102: 0.00043630045346720533
Position 1296: 0.000408738358770449
Position 288: 0.0003607147346929937
Position 2340: 0.00033399961905909655
Position 2471: 0.0003310366962944131
Position 1087: 0.0002827342424127372
Position 2487: 0.0001998991242506928
Position 1272: 0.00011880007666978372
Position 2134: 0.00010064711791502798
Position 1422: 1.616710692670632e-05
Position 2491: 8.192523707206835e-06
Position 897: 5.446442370518289e-07
Position 1128: 4.6190269503260956e-07
Position 1170: 4.364615449598844e-07
Position 327: 4.0836969837864857e-07
Position 220: 3.814405343627074e-07
Position 146: 3.7762555042624093e-07
Position 77: 3.2590897114292554e-07
Position 116: 1.934121565372544e-07
Position 64: 1.4977194381388035e-07
Position 290: 9.604315062305483e-08
Position 266: 7.369725265543285e-08
Position 378: 3.0145720091191515e-08
Position 1945: 8.435368282539905e-09
Position 1634: 5.41054463539502e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2411: 0.9892432389611672
Position 1379: 0.9862480174285555
Position 846: 0.9498781723416958
Position 523: 0.036390083016290604
Position 480: 0.022586967748187563
Position 1026: 0.007454979708452771
Position 535: 0.002867088370422754
Position 1812: 0.0026988007261604377
Position 1920: 0.0026622175622377704
Position 765: 0.0025629790394302693
Position 284: 0.0022885994551422213
Position 263: 0.0016134171676682938
Position 1581: 0.0011270671169520087
Position 295: 0.0007842894500208681
Position 305: 0.0006597992421937135
Position 2448: 0.00047988476904096007
Position 2531: 0.00036741451108227095
Position 378: 0.0002968387357635692
Position 2547: 0.00015882594296131016
Position 2459: 2.912081746569755e-05
Position 2641: 1.288789020873193e-05
