Gene = da
index = 1663
Annotated 5SS: [423]
Annotated 3SS: [1943]
SMsplice 5SS: [423]
SMsplice 3SS: [1943]
top_k =  100
Partition function (log Z): -9.165606444929777

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9488848957956479
Position 1752: 0.09213803022820184
Position 1783: 0.055783168639453005
Position 2402: 0.03613203304807602
Position 3307: 0.026123602164836807
Position 1585: 0.015207657770059974
Position 852: 0.014556208402342822
Position 463: 0.01007065846931862
Position 1143: 0.008278841639314303
Position 980: 0.006960425132008162
Position 588: 0.005697314254926601
Position 269: 0.004151344581853357
Position 629: 0.002999513483462953
Position 2512: 0.0026501626705353045
Position 1266: 0.002170609716956044
Position 633: 0.0020992602352583045
Position 1745: 0.0020972449170136814
Position 1186: 0.0018396250032888532
Position 533: 0.0016967029343219122
Position 1494: 0.0012919925635429205
Position 835: 0.0010690869913642185
Position 2506: 0.0010610800963062256
Position 732: 0.000963617909451679
Position 174: 0.0007183838619387001
Position 1170: 0.0006660660737750064
Position 1138: 0.0006300179842353083
Position 1353: 0.0006133096470996311
Position 116: 0.0003567703862313916
Position 919: 0.0002238912432353484
Position 926: 0.00021848921473331147
Position 1080: 0.00016446960121227732
Position 310: 0.00015298874066590795
Position 148: 0.00011308697790757654
Position 565: 0.00010224579430049714
Position 159: 3.0697488235435094e-05
Position 82: 3.0507403313754187e-05
Position 103: 1.4018656090293358e-05
Position 126: 1.2089491024309631e-05
Position 146: 8.066575841766215e-06
Position 264: 2.2298270394271966e-06
Position 756: 4.1484781981229614e-07
Position 128: 3.8940826498982575e-07
Position 187: 2.7719861268633715e-07
Position 411: 9.83104578151746e-08
Position 443: 4.645589408797656e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1943: 0.7857234381035157
Position 4718: 0.18380155179581822
Position 1265: 0.17075242330483537
Position 1707: 0.04126702566037137
Position 4919: 0.02940022400531725
Position 475: 0.008079663441617363
Position 1079: 0.005673316358424087
Position 2566: 0.005561354207365817
Position 2544: 0.005024382569665385
Position 1907: 0.004131952520802132
Position 2004: 0.0022922044927359705
Position 2524: 0.0015268534076882086
Position 558: 0.0010427512256089748
Position 229: 0.0009755442017741593
Position 1860: 0.0005642839815052093
Position 732: 0.00042200035376914116
Position 1269: 0.00034962235476701986
Position 1448: 0.00033862170932437105
Position 184: 0.0003087432456867435
Position 1033: 0.00026952017695646866
Position 1231: 0.00023306739145335337
Position 965: 0.00014442030488494683
Position 668: 4.322172097366878e-05
Position 324: 2.9362851232424224e-05
Position 1584: 2.6040639071710768e-05
