Gene = TrissinR
index = 1566
Annotated 5SS: [ 1246 21949 24483 26256 27028 27823 28895 29255 32315]
Annotated 3SS: [21300 24337 26095 26826 27471 28879 28988 32094 32399]
SMsplice 5SS: [  149 21949 24483 26256 27028 28895 29255 32315]
SMsplice 3SS: [21300 24337 26095 26826 27471 28988 32094 32399]
top_k =  100
Partition function (log Z): 4.2268230647887295

Sorted 5' Splice Sites (High to Low Probability):
Position 21949: 0.9999999999999982
Position 24483: 0.9999999999999973
Position 26256: 0.9995905541421177
Position 27028: 0.9985963747876345
Position 32315: 0.9909762960293884
Position 29255: 0.9866907392881351
Position 28895: 0.7391657018052266
Position 27823: 0.6536963982378979
Position 149: 0.5305320179145461
Position 30028: 0.4778405602778921
Position 1246: 0.4694679820854525
Position 27590: 0.11170391465660483
Position 26660: 0.05177002157692823
Position 28650: 0.047571440367895214
Position 29804: 0.03759389864773774
Position 32635: 0.03168230928706633
Position 27986: 0.027950310407207538
Position 31543: 0.027275900777927554
Position 30799: 0.01965053633233659
Position 28610: 0.011777211827088957
Position 27691: 0.005985906836999745
Position 28258: 0.003290621772385283
Position 27200: 0.002841811561460001
Position 27175: 0.002717338453250864
Position 27260: 0.0020570064813595452
Position 28529: 0.0015118550919658497
Position 27685: 0.001084556002665836
Position 27309: 0.0009009654938564447
Position 28271: 0.0004603175503960392
Position 27782: 0.0004069684433903919
Position 26951: 0.0003202770060681382
Position 27710: 0.00028393312168500506
Position 27862: 0.00028178935162856384
Position 27725: 0.00014116957652108577
Position 29225: 0.00012351370217382135
Position 27695: 4.510413042685462e-05
Position 29259: 4.6518285427048945e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 21300: 0.9999999999999986
Position 24337: 0.9999999999999982
Position 28988: 0.9978635106828141
Position 27471: 0.9959572740837457
Position 26095: 0.9665726640052456
Position 32399: 0.9485853112434378
Position 32094: 0.8528741042842282
Position 26826: 0.6458641797264307
Position 29342: 0.4917973920169186
Position 28091: 0.29367788082202095
Position 26888: 0.23112241179883736
Position 32205: 0.08607981997544645
Position 28701: 0.08252751527265118
Position 26502: 0.07816861712116313
Position 31327: 0.07767199759854357
Position 28740: 0.06320238111761568
Position 27645: 0.056916618924689265
Position 28424: 0.037926003521849515
Position 25504: 0.03342733599475213
Position 26916: 0.03270406616510195
Position 32705: 0.03013153242991157
Position 26467: 0.023561370499155142
Position 26860: 0.021954614815889537
Position 32366: 0.021146068679624087
Position 29645: 0.0184907074042227
Position 28630: 0.012987375317543902
Position 26780: 0.012814501435330482
Position 27090: 0.011775695448473603
Position 32378: 0.010821987933725206
Position 28159: 0.01066110583242342
Position 28879: 0.009492833611388921
Position 28037: 0.008952501462258337
Position 28169: 0.008364270869373764
Position 27900: 0.007307498887550846
Position 27946: 0.006954266352853676
Position 31371: 0.005908200639036167
Position 30255: 0.005061027361010973
Position 32444: 0.004718912098988818
Position 32543: 0.004146032343082458
Position 26450: 0.004087465950842088
Position 30707: 0.003415050569639211
Position 30494: 0.0030003380638398427
Position 29944: 0.0028176876171828137
Position 27777: 0.0023624493081222516
Position 27654: 0.0021437366872112847
Position 27679: 0.002103765139041719
Position 32723: 0.0012300067656839978
Position 29020: 0.0011342178789611288
Position 29868: 0.0009155174137473573
Position 32676: 0.0007937667412375164
Position 32569: 0.0007889060556999416
Position 27509: 0.0006542966088070347
Position 27749: 0.0006160726879904743
Position 30838: 0.0006060436347790833
Position 30201: 0.00037659031033599204
Position 32698: 0.0003207700914707853
Position 28953: 0.00015049128342653424
Position 29611: 0.00013108752648106109
Position 27121: 0.00012620037715739538
Position 29671: 2.1145947806692467e-05
Position 27242: 1.416144405487066e-06
Position 28141: 1.346943060197653e-06
Position 29354: 1.2319233901795294e-06
Position 27200: 5.995418880756246e-07
Position 29463: 1.6586431670772238e-07
