Gene = PIG-U
index = 1358
Annotated 5SS: [ 187  872 1206]
Annotated 3SS: [ 246  933 1265]
SMsplice 5SS: [ 187  872 1206]
SMsplice 3SS: [ 246  933 1265]
top_k =  100
Partition function (log Z): 4.333390402218444

Sorted 5' Splice Sites (High to Low Probability):
Position 1206: 0.9968214752089445
Position 872: 0.9912536773734902
Position 187: 0.9865286052377308
Position 476: 0.04964858416406109
Position 303: 0.03793732756883788
Position 603: 0.019936088696299252
Position 1516: 0.008767758326244117
Position 191: 0.004404334489827974
Position 645: 0.0032162182868633463
Position 1449: 0.002013914182555252
Position 540: 0.001373000791012938
Position 573: 0.0012967937966193311
Position 865: 0.0008816994701656678
Position 503: 0.0005778756035844368
Position 1068: 0.00041654645585630036
Position 546: 0.0002627615265519461
Position 344: 0.0002286865965382017
Position 200: 0.00021060843056866106
Position 792: 0.00018275430628440103
Position 1106: 0.00013491016069231717
Position 860: 0.0001250940120209038
Position 756: 0.00010315104746942127
Position 901: 6.75436360624501e-05
Position 976: 6.080332512001237e-05
Position 1210: 5.962539449161973e-05
Position 1197: 5.0772573054647105e-05
Position 1046: 4.79955983225484e-05
Position 1535: 3.681646081743142e-05
Position 766: 2.5522556697162476e-05
Position 1562: 2.5215276702913168e-05
Position 714: 2.3008236568404786e-05
Position 1470: 2.1555948310217786e-05
Position 1508: 1.5329022594626377e-05
Position 223: 1.2237493412739597e-06
Position 150: 1.1156910965790134e-06
Position 155: 7.771823384179532e-07
Position 99: 2.640698972207776e-07
Position 1339: 2.615783430798028e-07
Position 1138: 1.3509298465494602e-07
Position 25: 8.98423224299363e-08
Position 1286: 8.452389707343322e-08
Position 274: 2.7924265065925313e-08
Position 424: 1.5144878100964943e-08
Position 362: 1.1904561024906711e-08
Position 68: 9.322728880358449e-09
Position 234: 7.572479945275525e-09
Position 1186: 4.423947807584882e-09
Position 994: 3.5406726691594605e-09
Position 905: 2.222002445870179e-09
Position 29: 1.2010463568275665e-09
Position 1252: 1.1456421058388713e-09
Position 115: 9.942780404872267e-10
Position 738: 9.413681809335484e-10
Position 1157: 4.3201599291883365e-13
Position 1112: 4.7435243136012945e-14
Position 246: 7.966877915531833e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 1265: 0.9967007093320848
Position 933: 0.9804610800509921
Position 246: 0.8574017341002732
Position 723: 0.13725495035218807
Position 362: 0.03852003137876212
Position 272: 0.03356881966455207
Position 675: 0.024566178502165574
Position 955: 0.013746621206919692
Position 1567: 0.006829771682505321
Position 700: 0.006533405110083158
Position 562: 0.0044917928108187425
Position 1635: 0.0018756736816837776
Position 760: 0.0007840553804270018
Position 1593: 0.0007619617430774858
Position 1134: 0.0006795467236767074
Position 1573: 0.0006553738062064866
Position 1529: 0.0006469035891177046
Position 650: 0.0005711806020431104
Position 1408: 0.0003187692114934602
Position 328: 0.0001952097737354723
Position 1352: 7.467430479808596e-05
Position 1535: 4.876620016517079e-05
Position 1516: 4.409192973102209e-05
Position 1520: 2.5060554023478323e-05
Position 252: 3.5849163608607623e-06
Position 440: 8.59482126112543e-08
Position 234: 4.2229816073511113e-08
Position 254: 1.1318954882861915e-08
Position 214: 4.5629112490893195e-09
Position 223: 1.1617512378213893e-09
