Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  100
Partition function (log Z): -0.3611867532922872

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9948756937722036
Position 680: 0.9545003467568565
Position 211: 0.6980396936117217
Position 197: 0.03704085489392769
Position 1221: 0.016701602253299815
Position 1431: 0.003610790533724421
Position 1428: 0.0032992870143211655
Position 215: 0.001708091973687318
Position 616: 0.0016759076696377987
Position 684: 0.0005061066011058784
Position 1289: 0.00046764055568615395
Position 82: 0.0003038481930489357
Position 1586: 0.00028577415458674757
Position 1358: 0.0001610457306835876
Position 136: 0.00013354541761227207
Position 331: 0.00011300583188509832
Position 571: 0.00010925895535455303
Position 286: 8.21571892637105e-05
Position 24: 5.7559028550560925e-05
Position 141: 3.174521812609393e-05
Position 455: 2.951160168903675e-05
Position 353: 2.068343818270801e-05
Position 339: 1.859369756133749e-05
Position 303: 1.7440935434114563e-05
Position 133: 1.4666301911759563e-05
Position 365: 5.600391854461208e-06
Position 297: 5.4801758996715756e-06
Position 857: 4.49030305658303e-06
Position 517: 2.142615371549738e-06
Position 385: 1.4840424953557051e-06
Position 27: 1.339819333580266e-06
Position 663: 4.426230497519678e-07
Position 110: 3.255713192193619e-09
Position 126: 1.4624688444417703e-09
Position 206: 1.681385628631132e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9981628299748171
Position 740: 0.9406396549098515
Position 267: 0.4543897612281571
Position 338: 0.2179062341391268
Position 303: 0.046773429681509826
Position 1382: 0.018592585408316955
Position 1507: 0.01447793168117534
Position 359: 0.0053558439012971835
Position 286: 0.0027284479130396024
Position 1089: 0.0024591841768095138
Position 283: 0.0023965014734281536
Position 988: 0.001853608627797941
Position 822: 0.0018101378048976198
Position 309: 0.001543399772864632
Position 248: 0.001083606730893052
Position 562: 0.0007847663080146241
Position 385: 0.0006052863145502809
Position 1022: 0.00042182108186798365
Position 959: 0.00040607929212468154
Position 139: 0.0003261120968265682
Position 1637: 0.00021966239297405117
Position 365: 0.00015050213640593955
Position 868: 0.00014426260750071763
Position 635: 0.00013554400710890502
Position 516: 0.0001234295249010794
Position 793: 0.00012308552924871733
Position 368: 0.00010179638912843351
Position 1630: 6.611176161269627e-05
Position 507: 2.262166540182054e-05
Position 107: 1.888725042696136e-05
Position 77: 1.3432824224805102e-06
Position 69: 1.0555963904375136e-06
Position 82: 1.401796089410525e-07
Position 193: 1.0112391919816542e-07
Position 110: 3.431626809851186e-08
Position 162: 2.832703090492128e-08
Position 201: 7.579727191910106e-09
