Gene = FRG1
index = 1161
Annotated 5SS: [130 365 628 887]
Annotated 3SS: [181 428 686 978]
SMsplice 5SS: [130 365 628 887]
SMsplice 3SS: [181 428 686 978]
top_k =  100
Partition function (log Z): 6.640809306530161

Sorted 5' Splice Sites (High to Low Probability):
Position 628: 0.9988098773014351
Position 887: 0.9582020151342611
Position 365: 0.9481546163206244
Position 130: 0.9479055035560151
Position 774: 0.027985770214764775
Position 310: 0.00690237503142479
Position 371: 0.0059761010554142385
Position 134: 0.005927701031917504
Position 928: 0.004532674022903059
Position 274: 0.004516665119384707
Position 14: 0.002917097505728452
Position 891: 0.0014724241438838614
Position 107: 0.0014481051041617787
Position 278: 0.0010259469389294186
Position 326: 0.0003612862976805179
Position 30: 0.00034534594557028363
Position 240: 0.00030530197689124916
Position 1114: 0.00017463373933795608
Position 870: 0.0001692410854457826
Position 517: 0.00015287600172019336
Position 1095: 0.00010004142767529143
Position 619: 9.005469628061003e-05
Position 632: 6.35677627151783e-05
Position 885: 5.548485998443072e-05
Position 778: 4.324277638813839e-05
Position 73: 4.1814294572734684e-05
Position 805: 3.6120279381196244e-05
Position 793: 3.5516290570452204e-05
Position 25: 3.2132021636362444e-05
Position 340: 3.061835253125279e-05
Position 609: 2.3502631862935336e-05
Position 798: 2.052245479747647e-05
Position 27: 1.990132903086783e-05
Position 18: 1.809462832537336e-05
Position 677: 1.6553488766727414e-05
Position 5: 1.5045420272379434e-05
Position 65: 6.829878434172501e-06
Position 178: 8.148584449504562e-09
Position 315: 1.5669822297029405e-09
Position 317: 1.5330397962997265e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 978: 0.9874282580739594
Position 428: 0.9668548081949568
Position 181: 0.9528074566424345
Position 686: 0.9448023293674309
Position 744: 0.049498481111701555
Position 1000: 0.006625630158787676
Position 77: 0.0023991146403217092
Position 994: 0.0017361239252285997
Position 233: 0.0012683730939510962
Position 185: 0.0007247251011632884
Position 516: 0.0006802541763461553
Position 200: 0.0005117530184896448
Position 773: 0.0003698570956674216
Position 845: 0.00028638947193914603
Position 1161: 0.0002859744766052603
Position 817: 0.0002785778041427485
Position 798: 0.0001963838961229693
Position 187: 0.00018094186321142977
Position 203: 0.00017124078990122586
Position 561: 0.00010751317788223783
Position 239: 9.765881972070445e-05
Position 520: 7.794247590314933e-05
Position 916: 6.97002080741058e-05
Position 1089: 5.7939483100178495e-05
Position 1048: 5.6526199154187276e-05
Position 839: 5.4836012446932375e-05
Position 1037: 5.2785236688167645e-05
Position 337: 5.0515263899485076e-05
Position 209: 4.734267090024869e-05
Position 1006: 3.687498986399774e-05
Position 770: 3.63574667158178e-05
Position 472: 3.4472204682113595e-05
Position 1009: 1.6641336361744046e-05
Position 371: 1.3766916724736645e-05
Position 155: 8.153219278676632e-06
Position 100: 5.402093207944636e-06
Position 116: 3.5104253836752997e-06
Position 130: 2.346738941564569e-10
Position 121: 3.230180652808707e-11
