Gene = vls
index = 1928
Annotated 5SS: [ 621 1055]
Annotated 3SS: [ 677 1106]
SMsplice 5SS: [ 621 1055]
SMsplice 3SS: [ 677 1106]
top_k =  100
Partition function (log Z): -4.467147724220451

Sorted 5' Splice Sites (High to Low Probability):
Position 621: 0.9715589422009214
Position 1055: 0.47559352763643487
Position 1040: 0.02959679421720691
Position 925: 0.024842448811078027
Position 483: 0.014046226497278052
Position 705: 0.013044672435191062
Position 1061: 0.005797914023718102
Position 610: 0.005453322602920563
Position 633: 0.004731480743554
Position 1273: 0.0040119970582769785
Position 396: 0.003034661100632963
Position 625: 0.003018801653451568
Position 963: 0.0020191657334854484
Position 1341: 0.0015260389864427812
Position 308: 0.0010696455917489388
Position 405: 0.000940233220782195
Position 1353: 0.00031089862213043863
Position 876: 0.00016535769982227262
Position 743: 7.487652169489924e-05
Position 71: 7.261892766480537e-05
Position 793: 5.17517428169021e-05
Position 167: 4.8916712298184286e-05
Position 532: 2.301795880008617e-05
Position 435: 1.8900937105212505e-05
Position 519: 1.0643999595431848e-05
Position 9: 9.278184146082605e-06
Position 317: 7.452037214173997e-06
Position 23: 6.1197485462106645e-06
Position 564: 5.629215987272453e-06
Position 591: 4.665154071798985e-06
Position 51: 1.6522482582861554e-06
Position 320: 1.4077629030735147e-06
Position 467: 1.213128272000501e-06
Position 120: 9.939557403334081e-07
Position 497: 6.948122444380194e-07
Position 984: 3.640279893072101e-07
Position 644: 3.607522084511016e-07
Position 786: 3.219272675485927e-07
Position 799: 2.866507243176319e-07
Position 892: 2.7097559669468737e-07
Position 774: 1.8975557333744256e-07
Position 54: 1.514365014234386e-07
Position 851: 9.221210961179619e-08
Position 107: 2.2518548577961645e-08
Position 527: 5.68171768027847e-09
Position 357: 4.778559656166663e-09
Position 83: 1.490899196181996e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 677: 0.9926403836135161
Position 1106: 0.5535571678819423
Position 553: 0.003817648403448686
Position 1415: 0.0033996739298456685
Position 461: 0.0022004677052888245
Position 1378: 0.0020965797298466682
Position 768: 0.0016255083957549678
Position 1333: 0.000479617429039263
Position 532: 0.0004481655975881491
Position 482: 0.0003784980690672948
Position 1389: 0.00013767780574381399
Position 1164: 7.443665516106173e-05
Position 497: 6.948113203386063e-05
Position 131: 6.147872148381396e-05
Position 377: 5.610794208002189e-05
Position 572: 3.311910495606333e-05
Position 97: 1.6273477111839855e-05
Position 603: 6.329115235812175e-06
Position 244: 5.399942876540385e-06
Position 632: 1.7947226768768153e-08
