Gene = ics
index = 1732
Annotated 5SS: [ 583 1493 2743]
Annotated 3SS: [1331 2120 2805]
SMsplice 5SS: [ 307 1493 2743]
SMsplice 3SS: [1331 2120 2805]
top_k =  100
Partition function (log Z): 5.025734302030826

Sorted 5' Splice Sites (High to Low Probability):
Position 2743: 0.9991187526442548
Position 1493: 0.9342270883850609
Position 307: 0.6068245112182636
Position 583: 0.4980769265188591
Position 2468: 0.3335500490884302
Position 2394: 0.16289284570663
Position 961: 0.08966190114434178
Position 1561: 0.03680843359926291
Position 2406: 0.01705947828956732
Position 375: 0.01660364970404854
Position 1611: 0.011131494028930305
Position 2978: 0.009580772513196743
Position 2943: 0.008997365916506355
Position 1632: 0.008867510335523679
Position 587: 0.00882713688291834
Position 335: 0.008441394723780658
Position 22: 0.005679760163808523
Position 247: 0.00475960599565072
Position 2952: 0.0037175750080104685
Position 237: 0.002845076032092348
Position 302: 0.0014509647627259888
Position 774: 0.0012504549434923875
Position 272: 0.0012173701955280618
Position 2956: 0.0009585333754090251
Position 1497: 0.0009485614423684105
Position 936: 0.000895900863628784
Position 990: 0.0007867687024615405
Position 921: 0.0007590951527810152
Position 422: 0.0006153061138394122
Position 2896: 0.0005907619664119169
Position 1650: 0.00048323607902271053
Position 873: 0.00046699931819022336
Position 593: 0.0004494304327310953
Position 35: 0.00040704394182923846
Position 596: 0.00039990385012822477
Position 415: 0.0003842401241427455
Position 1776: 0.00038101624009669266
Position 1549: 0.00030350418920220074
Position 410: 0.0002810154263176331
Position 552: 0.0002759834392596666
Position 2994: 0.00025838360726321416
Position 2171: 0.00015563263478200707
Position 1817: 0.00010718621768034372
Position 2972: 9.923116784646017e-05
Position 2959: 9.896669922666542e-05
Position 2941: 9.17784044111959e-05
Position 1763: 8.166506186077731e-05
Position 29: 3.3964563313821695e-06
Position 44: 5.671631631443848e-08
Position 2635: 5.360168627335904e-08
Position 191: 4.132586516941541e-08
Position 2549: 3.3155460156162424e-08
Position 2666: 1.3283925511484937e-08
Position 61: 1.1179546447810355e-09
Position 2472: 5.094159921608034e-10
Position 72: 3.435136493925382e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2805: 0.9988353617594564
Position 2120: 0.9900754524135541
Position 1331: 0.982334453141527
Position 2583: 0.5062903636642684
Position 409: 0.1414137611149097
Position 375: 0.07892351182814443
Position 3040: 0.021205212341492214
Position 895: 0.018916973952641115
Position 2537: 0.005000572568424309
Position 809: 0.004452313274919495
Position 72: 0.004206908868359655
Position 2464: 0.003498295016498105
Position 1260: 0.0032381690614408988
Position 2467: 0.0032207045847738366
Position 3071: 0.0031299528409634504
Position 856: 0.0028482986193885287
Position 350: 0.002259976838243165
Position 328: 0.0021336301073263263
Position 2164: 0.0016344444325457502
Position 2383: 0.0013564733225743847
Position 436: 0.0010969113472846532
Position 744: 0.00109552997685046
Position 2233: 0.0010520780663029648
Position 520: 0.0007668125694294415
Position 2831: 0.0006502561465499869
Position 479: 0.0005606632513658453
Position 1579: 0.00032933757597411223
Position 1149: 0.00029495601646412604
Position 2828: 0.00025799014323606373
Position 311: 0.00025797749176173436
Position 1084: 0.00023745951086608742
Position 1985: 0.00012489507382559142
Position 2994: 9.965595011308456e-05
Position 1630: 3.168481093548108e-05
Position 101: 1.864932181933033e-05
Position 90: 9.072804702335439e-06
Position 525: 5.0386148539415075e-06
Position 108: 4.167071483445797e-06
Position 384: 2.9472363048166294e-06
Position 191: 1.6081142830098274e-06
Position 283: 9.18365336334385e-07
Position 420: 2.2211619566685482e-07
Position 200: 1.538295893828529e-07
Position 262: 4.360526322687601e-08
