Gene = dac
index = 1664
Annotated 5SS: [  562  2191  4474 10724 12799 13229 13871 14143 17004 17506 17946]
Annotated 3SS: [ 1190  4446 10565 12402 12925 13354 14058 16742 17267 17751 18243]
SMsplice 5SS: [   28 10724 12799 13229 13871 14143 17004 17506 17946]
SMsplice 3SS: [10586 12402 12925 13354 14058 16742 17267 17751 18243]
top_k =  100
Partition function (log Z): 26.48848945325177

Sorted 5' Splice Sites (High to Low Probability):
Position 17946: 0.9992184342506258
Position 17506: 0.99814953871405
Position 14143: 0.9980184631735775
Position 13871: 0.9796333834766996
Position 13229: 0.9638887845854375
Position 17004: 0.7985141336507704
Position 16881: 0.42392076996420774
Position 18390: 0.28608183269444404
Position 562: 0.27775189560754543
Position 351: 0.252016810463684
Position 28: 0.244333316036675
Position 14304: 0.16804193400067155
Position 4474: 0.11126765303657597
Position 807: 0.1110064841420825
Position 2191: 0.0877728699896136
Position 15925: 0.051680187914816725
Position 4820: 0.0472071869152884
Position 14914: 0.04519268351466653
Position 13474: 0.04505478203915044
Position 356: 0.0406572888762159
Position 396: 0.0389271125375195
Position 18985: 0.037108564428261784
Position 13286: 0.03573453307130994
Position 93: 0.031679733495150804
Position 89: 0.021203820497662777
Position 407: 0.021096820408000726
Position 15017: 0.02005294212958647
Position 4807: 0.017016672215846004
Position 97: 0.015626371301194476
Position 16340: 0.015006805472990789
Position 15109: 0.013788216773762343
Position 14351: 0.010780802396074549
Position 5768: 0.009651647006855574
Position 14325: 0.00782360379368986
Position 3716: 0.0062019167805422715
Position 14580: 0.004813826760084973
Position 15688: 0.00472065290318769
Position 101: 0.0038462226951067385
Position 18450: 0.001799901408976828
Position 14816: 0.0017744777688851149
Position 17157: 0.0017419358649185125
Position 13999: 0.0013477544389388343
Position 17690: 0.0007194417760302209
Position 14147: 0.0005964677231045895
Position 16923: 0.0005159360515476557
Position 500: 0.0005064738452988183
Position 17883: 0.0004138320480006185
Position 13928: 0.0003723858432603625
Position 105: 0.0003527430721661671
Position 17624: 0.00034054092801148863
Position 111: 0.000340218515698888
Position 13950: 0.0003070380532826015
Position 75: 0.00024640947941497094
Position 17950: 0.0002372701484062415
Position 467: 0.00020109407908816288
Position 347: 0.0001932904481909247
Position 18622: 0.0001685603064839277
Position 13905: 0.00013683575239235743
Position 17575: 0.00012673914359402936
Position 13478: 0.00012179812753168568
Position 13889: 0.00011709474391587039
Position 14131: 8.509917793438965e-05
Position 115: 6.381801634202985e-05
Position 17997: 5.7896297033082344e-05
Position 17549: 5.410965690088112e-05
Position 14329: 4.906648733682051e-05
Position 18092: 3.7717415996924237e-05
Position 85: 3.128535833875064e-05
Position 107: 2.9858827086549457e-05
Position 17596: 2.586707092101638e-05
Position 17986: 1.1733146768171417e-05
Position 14121: 6.5489064903691155e-06
Position 65: 4.4348873198422505e-06
Position 109: 2.066341502418286e-06
Position 137: 1.97279383456488e-07
Position 13724: 4.0817295127590863e-10
Position 13819: 3.779184660180502e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 12925: 0.9999999999999972
Position 18243: 0.9995559295492549
Position 16742: 0.9991706671497754
Position 17751: 0.9990819974400359
Position 13354: 0.9904463490595243
Position 17267: 0.9669447161944681
Position 14058: 0.804750754477542
Position 14236: 0.23636650926625488
Position 16962: 0.22365819969054387
Position 14017: 0.18440255454245671
Position 4446: 0.1811959245413381
Position 19261: 0.1738666619060443
Position 14247: 0.07752386948016503
Position 868: 0.035620030702730336
Position 13594: 0.02552229909617646
Position 18888: 0.02392719949331768
Position 19273: 0.023686254919183004
Position 18708: 0.02343097656217493
Position 630: 0.021542071232180618
Position 166: 0.01872398742613605
Position 14206: 0.018144769762169513
Position 19094: 0.016629337500366784
Position 17124: 0.014500704525932846
Position 481: 0.01244448969616408
Position 549: 0.011789229030735345
Position 19350: 0.011271787381650064
Position 465: 0.010267853393007198
Position 3512: 0.010149151413769628
Position 18934: 0.010139924845588798
Position 14212: 0.009857476492266771
Position 19049: 0.009749314878240505
Position 1190: 0.00964219555943869
Position 396: 0.009331606198129906
Position 18603: 0.00909004182761538
Position 16968: 0.008275589750747851
Position 13985: 0.007943358640203464
Position 17156: 0.007188605864478582
Position 1329: 0.006059010245256232
Position 18969: 0.005751230277410667
Position 13396: 0.0050093906338585514
Position 18489: 0.00460973484533302
Position 18851: 0.004486040242377183
Position 969: 0.004348573932863992
Position 18786: 0.0038285184966765874
Position 1004: 0.00367895551415819
Position 1387: 0.003281446020437652
Position 18547: 0.0028890618687883937
Position 13683: 0.002550400410271481
Position 13361: 0.0025050597396378727
Position 14383: 0.002071655739103601
Position 16971: 0.0018783035295643388
Position 19301: 0.0017580032347828014
Position 13540: 0.0012126533166437795
Position 17595: 0.0010767928253653696
Position 17152: 0.0009777957516050346
Position 17760: 0.00045837220912135177
Position 16756: 0.00035398075467274573
Position 13600: 0.000324616873481202
Position 18212: 0.0003192510353061841
Position 682: 0.00031393538014052853
Position 17664: 0.0002778107576061268
Position 608: 0.00026943030985524544
Position 561: 0.00025699247142599573
Position 13470: 0.00023338645759633325
Position 13274: 0.00019060806540333446
Position 194: 0.00016849796909870513
Position 13928: 0.00016229745746381295
Position 634: 0.00014960532758565427
Position 18257: 0.0001247516758468111
Position 13999: 7.298066952563077e-05
Position 14083: 6.319481244691437e-05
Position 18760: 4.477055861652565e-05
Position 14069: 3.007933830184706e-05
Position 14291: 3.275610319492579e-06
Position 131: 2.7257909430120025e-06
Position 13408: 9.863085845239555e-07
Position 18157: 6.773959025713646e-08
Position 17787: 3.249338229201081e-09
