Gene = bbg
index = 1624
Annotated 5SS: [   238   2716  25373  28663 121510 121707 122197 122702]
Annotated 3SS: [  2553  23005  26356 119080 121577 121781 122560 122765]
SMsplice 5SS: [   795   2716  16179  16388 121510 121707 122197 122702]
SMsplice 3SS: [  1596  15609  16249 119080 121577 121781 122560 122765]
top_k =  100
Partition function (log Z): -142.41191335932834

Sorted 5' Splice Sites (High to Low Probability):
Position 16179: 0.9948446003053488
Position 2716: 0.7814825014510763
Position 795: 0.7418298309349691
Position 1734: 0.145683916083238
Position 2503: 0.07536878111575653
Position 545: 0.06231350676108494
Position 238: 0.04553574063710859
Position 1019: 0.04145201424715553
Position 2431: 0.03685263158673596
Position 154: 0.029720571956909417
Position 1727: 0.017696293328842167
Position 844: 0.01685782510408221
Position 1824: 0.009703681983011072
Position 437: 0.009481815609608384
Position 1920: 0.009244511667691857
Position 12: 0.008533252183169662
Position 502: 0.007767661979046041
Position 539: 0.00769648272506078
Position 16449: 0.006502067428414615
Position 1419: 0.005833269516364446
Position 747: 0.004446799973032914
Position 1493: 0.004254104625111111
Position 1390: 0.004056277653764413
Position 529: 0.003979741114304748
Position 479: 0.0037463875375514754
Position 883: 0.0029976079392520037
Position 190: 0.0028868443402070053
Position 964: 0.002790174108438337
Position 269: 0.0027673675551009892
Position 147: 0.0023458793886010137
Position 222: 0.0009284842031225017
Position 662: 0.0008001082024583482
Position 340: 0.00043042457428417035
Position 1172: 0.00028019481381889513
Position 40: 0.0002330488050887388
Position 650: 0.000144142916001277

Sorted 3' Splice Sites (High to Low Probability):
Position 15609: 0.9999946763716061
Position 16249: 0.9948446003053684
Position 1596: 0.7495028782399729
Position 1791: 0.17060763740338336
Position 2553: 0.07536878111575653
Position 2493: 0.03685263158673701
Position 1999: 0.018406776888145914
Position 2035: 0.011854805644366823
Position 603: 0.00824404350652076
Position 16547: 0.006502067428414615
Position 725: 0.0037488797735278035
Position 1104: 0.003477610017034774
Position 1240: 0.0029929864494283747
Position 650: 0.002862432419347956
Position 655: 0.001492328475889819
Position 617: 0.0011564328422854356
Position 883: 0.0010265165560409007
Position 926: 0.0010079441048894315
Position 901: 0.000921130473982711
Position 968: 0.00044623101968432275
Position 303: 0.00017183433700000664
Position 10827: 5.16029462164856e-06
Position 5695: 7.791123575017048e-08
Position 5203: 2.432353714258989e-08
Position 5179: 2.2822903130057536e-08
Position 4341: 1.6655941529991087e-08
Position 5537: 7.755950468287959e-09
Position 3008: 3.41855033542832e-09
Position 2924: 2.2362432433227387e-09
Position 4283: 1.686586145946847e-09
Position 2896: 1.4367288940727566e-09
Position 3082: 8.531355425249811e-10
