Gene = MESR6
index = 1266
Annotated 5SS: [651 771]
Annotated 3SS: [728 992]
SMsplice 5SS: [651]
SMsplice 3SS: [992]
top_k =  100
Partition function (log Z): -6.10768720142063

Sorted 5' Splice Sites (High to Low Probability):
Position 651: 0.9985390524966622
Position 899: 0.017621028674252522
Position 906: 0.013277857142470467
Position 1181: 0.009633644145012216
Position 1067: 0.007597144230474928
Position 1528: 0.005098557542602218
Position 247: 0.003914757174970033
Position 443: 0.003411726041086607
Position 84: 0.002140991502003764
Position 814: 0.001990883000245391
Position 1367: 0.0017789395056587575
Position 743: 0.0014963316352631236
Position 28: 0.0011563751016499763
Position 461: 0.0008951868961702914
Position 125: 0.00043721199144550313
Position 771: 0.00039566512856572037
Position 216: 0.0003566684885401067
Position 201: 0.00034309456545102097
Position 836: 0.0001710768908012444
Position 21: 0.00012857629817651357
Position 261: 0.00010738731549900166
Position 353: 8.347160466551732e-05
Position 386: 6.97037666752231e-05
Position 469: 3.0152673263895374e-05
Position 434: 2.847900199812482e-05
Position 251: 2.794418489397714e-05
Position 551: 2.641536028640551e-05
Position 67: 2.1901508397574408e-05
Position 207: 1.9943544864726846e-05
Position 114: 1.7828765650490064e-05
Position 168: 1.5227134684310029e-05
Position 95: 9.745981520646937e-06
Position 601: 3.538459063233829e-06
Position 841: 1.7985064034933034e-06
Position 763: 3.7737833102829587e-07
Position 576: 1.3939602168659057e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 992: 0.6368193176661237
Position 728: 0.19174921727981703
Position 946: 0.1702137141155348
Position 1705: 0.024279371785761863
Position 1278: 0.011988457879125681
Position 511: 0.01144101616891993
Position 872: 0.008837214702816083
Position 802: 0.005177349229398647
Position 814: 0.003969503450813849
Position 1330: 0.0011820826949852808
Position 1021: 0.0009506828695664403
Position 786: 0.0009078911899964854
Position 95: 0.0006738628310417361
Position 1039: 0.0005573195775393428
Position 953: 0.00048379195169505123
Position 734: 0.00040823287826486753
Position 749: 0.00038484406000672346
Position 1754: 0.0003666843690854633
Position 763: 0.00014847905070224552
Position 2078: 8.732386368139061e-05
Position 104: 5.3098720207405614e-05
Position 84: 5.205355769797916e-05
Position 305: 4.359904155396188e-05
Position 615: 3.248638113551622e-05
Position 163: 1.0039845809879727e-05
Position 119: 8.5037836889912e-06
Position 201: 7.709929999057296e-06
Position 298: 4.874576750318721e-06
Position 592: 2.363871447032931e-06
Position 391: 1.8344278580862506e-06
Position 272: 1.445062921118095e-06
Position 313: 1.2199465927741184e-06
Position 125: 7.542257938958585e-07
Position 135: 6.659690295342868e-07
Position 316: 6.537775690285729e-07
Position 424: 4.1810834146218903e-07
Position 576: 3.3872595838266976e-07
Position 67: 1.7204208582832891e-07
Position 111: 9.542234425064111e-08
