Gene = ChLD3
index = 1068
Annotated 5SS: [ 345 2455 3039]
Annotated 3SS: [1721 2515 3096]
SMsplice 5SS: [ 984 2455]
SMsplice 3SS: [1721 2515]
top_k =  100
Partition function (log Z): -6.178581019491672

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.9951874208523586
Position 984: 0.7070211004280348
Position 3039: 0.392022314232421
Position 3277: 0.2275194051950362
Position 345: 0.22338547649410018
Position 999: 0.053653761417618205
Position 2796: 0.03979831968423566
Position 1027: 0.021236996906937426
Position 2616: 0.018265210785574172
Position 2708: 0.017943888683904778
Position 1613: 0.017243691968562472
Position 3377: 0.01595798845529793
Position 3453: 0.015298007764030036
Position 3005: 0.012031315119666984
Position 770: 0.011846935060212574
Position 380: 0.010529110979527235
Position 766: 0.008716888508555766
Position 2987: 0.008152444548275307
Position 1881: 0.007683487707867286
Position 491: 0.006171131919134284
Position 3015: 0.004179289691731267
Position 1070: 0.002963233280023236
Position 803: 0.00290406401315034
Position 501: 0.002569435465674148
Position 1466: 0.0023363753809346566
Position 774: 0.002222339074380941
Position 338: 0.002150240469384001
Position 279: 0.0016548319373312955
Position 1430: 0.0016044787269221346
Position 299: 0.00150017700726994
Position 2924: 0.0010946914311564492
Position 2724: 0.001063691909155091
Position 1040: 0.0003338622870807015
Position 2580: 0.000282695021178232
Position 527: 9.538167293509855e-05
Position 506: 4.409081222212637e-05
Position 2401: 1.0946777249157407e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 2515: 0.9580768592066482
Position 1721: 0.9000839045290316
Position 3096: 0.51432386706984
Position 3534: 0.12731034491189558
Position 3339: 0.052432183157844495
Position 399: 0.05063990334972545
Position 1546: 0.0441372710237181
Position 3400: 0.034119401456598794
Position 3575: 0.025009602707181968
Position 1097: 0.020054705696964537
Position 593: 0.019009917588863594
Position 3070: 0.014216588710613256
Position 3481: 0.012904365713216431
Position 827: 0.00910518003811146
Position 2401: 0.007656023360687307
Position 1936: 0.007258993256258444
Position 1821: 0.006614004828426824
Position 1140: 0.005761363378869868
Position 3496: 0.004815321645313218
Position 1069: 0.004574062125972239
Position 1778: 0.003294875722121048
Position 3153: 0.0028430810216632956
Position 1693: 0.0023068594023577015
Position 3564: 0.00218418182231367
Position 679: 0.0013429782261252484
Position 1507: 0.0012574659744102475
Position 876: 0.0009462776898764377
Position 2529: 0.0009351286700226712
Position 792: 0.0008539725586791685
Position 1148: 0.0008463467817935871
Position 1206: 0.0007714003900090414
Position 461: 0.0005549754242369498
Position 486: 0.00034495680823182917
Position 2678: 5.16226433159077e-05
Position 2818: 1.8941792244241842e-05
Position 688: 1.234666003807149e-05
Position 567: 1.9750827528504063e-06
Position 724: 8.982294809825808e-07
Position 700: 8.926694113964675e-07
Position 443: 8.551939351343781e-07
Position 770: 8.251503293693778e-07
