Gene = MCU
index = 1255
Annotated 5SS: [  132  1212 11681 12102 40098 40262 40423 40680]
Annotated 3SS: [ 1025 11583 11828 39865 40155 40320 40475 40740]
SMsplice 5SS: [ 1212 11681 12102 40098 40250 40423 40680]
SMsplice 3SS: [11583 11828 39865 40155 40320 40475 40740]
top_k =  100
Partition function (log Z): -27.48816550021411

Sorted 5' Splice Sites (High to Low Probability):
Position 12102: 0.9999999853164143
Position 11681: 0.9787042605246685
Position 1212: 0.6778917854931643
Position 529: 0.3221082127323649
Position 11685: 0.01455799318089732
Position 11689: 0.006737746294413812
Position 2129: 5.49361989319058e-09
Position 1429: 1.5243812493542346e-09
Position 883: 7.447758231760812e-11
Position 520: 7.140159929773562e-11
Position 235: 4.4138735763439085e-11
Position 1372: 3.547372704679308e-11
Position 1304: 2.459146254451623e-11
Position 2324: 9.961896385423255e-15
Position 2902: 8.512692612348383e-15
Position 2133: 6.5291529680712535e-15
Position 3975: 3.330633575286148e-15
Position 2107: 4.0017289165807264e-16
Position 823: 5.769076402211254e-18
Position 132: 4.2187220890632295e-18
Position 376: 3.529611726857179e-19
Position 393: 2.500516337180755e-19
Position 592: 2.468196439330339e-19
Position 141: 2.1422519176643797e-19
Position 4: 1.7201081297519485e-19
Position 99: 1.6930398450633488e-19
Position 218: 1.4372619007533807e-19
Position 267: 1.3374238799560327e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 11583: 0.9999999999999784
Position 30737: 0.9309086220566374
Position 11828: 0.60582360330565
Position 11753: 0.3874783699121361
Position 28841: 0.03557007975516037
Position 28306: 0.025352444798686657
Position 26875: 0.00816648006446905
Position 11728: 0.0037100186035555183
Position 11915: 0.0029880038037368253
Position 20116: 1.1135700851753532e-06
Position 19583: 8.030890247528576e-07
Position 19603: 3.3087914001374545e-07
Position 17862: 6.254821981798452e-08
Position 15939: 2.410175618294767e-08
Position 16014: 1.2032757402702741e-08
Position 15482: 6.119545813898489e-09
Position 15540: 4.606601372239501e-09
Position 1547: 3.893177337124593e-09
Position 14542: 1.6359112270015258e-09
Position 12254: 1.1714655825465694e-09
Position 12722: 1.1344269844325314e-09
Position 1512: 8.126575352603846e-10
Position 12661: 7.317216073508012e-10
Position 2050: 5.551490198535651e-10
Position 12362: 3.523400808917869e-10
Position 12551: 2.32724535818597e-10
Position 1501: 2.3264055551146997e-10
Position 12289: 2.2742674542215332e-10
Position 12852: 1.5582470203689324e-10
Position 13243: 1.4754190560202305e-10
Position 12193: 7.33610823086298e-11
Position 12586: 5.715494226549663e-11
Position 12157: 5.342163476214872e-11
Position 12130: 4.9557693297992127e-11
Position 12469: 4.635482745783849e-11
Position 2201: 1.0204938586549127e-14
Position 2984: 7.0500294351552344e-15
Position 2386: 6.129616512352542e-15
Position 2214: 4.586998186089772e-15
Position 2378: 3.5835346714219904e-15
Position 4039: 3.330633575286148e-15
Position 2964: 2.9509188373825158e-15
Position 3660: 2.819552279901767e-15
Position 1853: 3.5329801151166226e-16
Position 302: 8.612959141324487e-17
Position 1048: 6.871329427833683e-17
Position 1025: 3.9377178153585886e-17
Position 1060: 3.906372856719773e-17
Position 693: 2.5889475033417515e-17
Position 1072: 1.4051281437992957e-17
Position 1083: 9.256167957170574e-18
Position 943: 7.474356359895013e-18
Position 478: 4.4604607400819374e-18
Position 1108: 3.813865693595052e-18
Position 854: 2.5137970057131914e-18
Position 458: 1.2375395522291672e-18
Position 192: 1.2267954371096773e-18
Position 660: 7.433755159181923e-19
Position 882: 6.332011954698524e-19
