Gene = RhoGAP71E
index = 1423
Annotated 5SS: [ 1137 11758 12012 12436 16421]
Annotated 3SS: [11555 11827 12372 15975 17798]
SMsplice 5SS: [ 1137 11758 12012 12436]
SMsplice 3SS: [11555 11827 12372 19383]
top_k =  100
Partition function (log Z): 3.0748320017909805

Sorted 5' Splice Sites (High to Low Probability):
Position 11758: 0.9992399900971283
Position 12012: 0.9906962252996598
Position 12436: 0.9754022977419289
Position 1137: 0.8937846649095101
Position 417: 0.30161183027578664
Position 13656: 0.17644183459431617
Position 206: 0.019609984674215535
Position 1884: 0.017774208094634987
Position 435: 0.01712602765185078
Position 10241: 0.016796034607318797
Position 1932: 0.007322140641261464
Position 15258: 0.0069834683586280305
Position 1876: 0.006730031028868878
Position 12078: 0.006057508062143602
Position 826: 0.005401159542425558
Position 6641: 0.004868430245073342
Position 60: 0.0034668360842783795
Position 799: 0.0015951464618373778
Position 291: 0.0013086285345596301
Position 11936: 0.0012085044779786697
Position 12557: 0.000759968627437885
Position 11767: 0.0007168024022412306
Position 14355: 0.0007048777109607371
Position 910: 0.000643969087438967
Position 67: 0.0004785124805684325
Position 12296: 0.00039357166510665693
Position 12559: 0.00035359137740278285
Position 1152: 0.00033699173179884713
Position 12553: 0.0002811478452552235
Position 421: 0.0002651407988187099
Position 739: 0.00022709956127165462
Position 12304: 0.00022448911899046096
Position 742: 0.00020823241829314812
Position 12465: 0.00020737504943587286
Position 12451: 0.00020654527123356578
Position 11989: 0.00019903538771225636
Position 12561: 0.00019611536990718652
Position 462: 0.00013342225960291041
Position 11965: 0.00010781768456787256
Position 12034: 9.093572448252013e-05
Position 12699: 7.54142071972219e-05
Position 1197: 6.416553905702866e-05
Position 12281: 5.9999538490490153e-05
Position 12048: 4.643830890530795e-05
Position 1220: 4.3280016933774985e-05
Position 11751: 4.157118520566405e-05
Position 1540: 3.9148874140283384e-05
Position 12016: 3.560083486006855e-05
Position 11947: 1.3364341007513239e-05
Position 12563: 9.25498402210266e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 11555: 0.9999197844786806
Position 11827: 0.9976748716973548
Position 12372: 0.9413975418730377
Position 19383: 0.5255861273620295
Position 18754: 0.20772689619123488
Position 519: 0.13085030632346953
Position 17798: 0.11663279749106288
Position 12606: 0.08285243858273889
Position 20134: 0.06956863134849386
Position 966: 0.06410169796105987
Position 12774: 0.06291044267125519
Position 12198: 0.04184619871093576
Position 1694: 0.03182637976476532
Position 17823: 0.02396503131512063
Position 15320: 0.017684032704646798
Position 10085: 0.0168746980647179
Position 15141: 0.012936283160415946
Position 498: 0.011647453446742114
Position 476: 0.009212644121183194
Position 16196: 0.007784471493547495
Position 17587: 0.007634326017540496
Position 13804: 0.006426989633320865
Position 933: 0.006258085415953888
Position 462: 0.006253587377301801
Position 12680: 0.005894206934358432
Position 12296: 0.005336820058577909
Position 798: 0.005273889277758608
Position 13163: 0.0050664620224535415
Position 6082: 0.004868430245073343
Position 12301: 0.0036495680657123923
Position 648: 0.0034103700798787497
Position 12125: 0.0029731313519347916
Position 124: 0.0029013641294714982
Position 1016: 0.002634251562010425
Position 16532: 0.002244803933115109
Position 11848: 0.001988750363129366
Position 695: 0.001917693249423537
Position 15440: 0.001851951384216323
Position 13166: 0.0017603855438344434
Position 12817: 0.001427402610705839
Position 12239: 0.0014093109747803953
Position 15144: 0.001257516925806772
Position 13127: 0.001055511130546009
Position 543: 0.0009486497632576934
Position 888: 0.000933209425150628
Position 14416: 0.0007048777109607369
Position 14044: 0.0006811349197415809
Position 11839: 0.00023790743440193273
Position 12254: 0.0001810413200772352
Position 13739: 9.701544817727541e-05
Position 12314: 7.330091197581262e-05
Position 11921: 5.964969226002001e-05
Position 12104: 5.3508901680802767e-05
Position 12202: 3.132490351067339e-05
Position 13265: 2.6878425215232524e-05
Position 12637: 2.289779740908231e-05
Position 11863: 1.686847172402981e-05
Position 12171: 9.131233037013382e-06
Position 12109: 4.085935002666285e-06
Position 12398: 3.3836563414584996e-06
Position 1360: 2.3715106816047038e-07
Position 11935: 2.2545809812259848e-07
Position 1067: 1.5833224160793862e-07
Position 524: 1.410281451105053e-07
Position 1267: 1.1822430806213555e-07
Position 601: 9.339382722299629e-08
Position 635: 9.098551803269033e-08
Position 1311: 7.81519938930472e-08
Position 822: 6.494558338053031e-08
Position 652: 3.4300784655868114e-08
Position 716: 2.2256253806048728e-08
Position 11941: 1.1244241800184485e-09
