Gene = ND-MLRQ
index = 1304
Annotated 5SS: [ 151  355 2277]
Annotated 3SS: [ 207 2130 6516]
SMsplice 5SS: [ 151  355 1742]
SMsplice 3SS: [ 207 1431 2130]
top_k =  100
Partition function (log Z): -8.117043892296316

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9808350601435025
Position 151: 0.8743921877715104
Position 1742: 0.4156517047487693
Position 44: 0.13285224163878234
Position 1961: 0.08801921220764088
Position 2277: 0.07759998000958514
Position 579: 0.02555273714941635
Position 1847: 0.023390990881139377
Position 1863: 0.018634065283650563
Position 39: 0.01513553055689081
Position 2580: 0.01336012253599634
Position 1198: 0.012365672135540361
Position 1521: 0.01097893599550925
Position 791: 0.010101932479066609
Position 2227: 0.0092943228352646
Position 746: 0.008414560668238898
Position 1494: 0.00803366364782444
Position 1954: 0.005041666888384946
Position 608: 0.003598362045334304
Position 2554: 0.0035275390655011814
Position 1578: 0.002941338418372483
Position 34: 0.002555247750951667
Position 706: 0.002421149812426361
Position 1206: 0.0011342586604956386
Position 1189: 0.001013349998064215
Position 131: 0.00010074697257939215
Position 333: 4.6821814385735014e-05
Position 155: 3.546470094700239e-05
Position 116: 3.0249298356811555e-05
Position 9: 1.4138057094300019e-05
Position 60: 9.523411536454847e-06
Position 122: 9.233388264415237e-06
Position 19: 3.252378659705098e-06
Position 100: 1.2597252859980645e-06
Position 62: 1.1086203663916075e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 207: 0.8764414704979666
Position 2130: 0.6710996617967409
Position 1431: 0.5778869027015358
Position 5290: 0.2090041166747139
Position 103: 0.12925805291910644
Position 6516: 0.08048067662765465
Position 454: 0.04080702001298258
Position 4337: 0.034088322995912565
Position 920: 0.016761297114593114
Position 2817: 0.016694312285416277
Position 1846: 0.014989866781505361
Position 2647: 0.013360122535996333
Position 618: 0.011463856489929527
Position 2290: 0.0092943228352646
Position 2323: 0.0090975130640979
Position 666: 0.009026271320688922
Position 1573: 0.0058225666892242805
Position 647: 0.005211808161377567
Position 115: 0.004931868394683092
Position 2612: 0.0035275390655011814
Position 577: 0.0030010597791267028
Position 1478: 0.0028667358374848103
Position 552: 0.0018230568360781
Position 148: 0.00010668868981472638
Position 173: 2.191468913674942e-05
Position 408: 1.5229952678832543e-05
Position 558: 6.087382653500745e-06
Position 413: 3.984967826166028e-06
Position 131: 2.73614588836401e-06
Position 235: 1.5706842562941041e-06
Position 331: 4.898909298104622e-12
Position 333: 2.271192686392087e-12
