Gene = mEFTs
index = 1761
Annotated 5SS: [ 615 1072]
Annotated 3SS: [ 822 1176]
SMsplice 5SS: [ 615 1072]
SMsplice 3SS: [ 822 1176]
top_k =  100
Partition function (log Z): 1.311965892783076

Sorted 5' Splice Sites (High to Low Probability):
Position 1072: 0.9927327345991817
Position 615: 0.9038730732692388
Position 653: 0.050274909522720505
Position 619: 0.03929763130998365
Position 1384: 0.03896398034861585
Position 412: 0.023675311261947746
Position 1392: 0.013534170172004404
Position 1096: 0.0027508446607369405
Position 999: 0.0021002784680824453
Position 606: 0.001226074137989194
Position 304: 0.001121647957037455
Position 730: 0.001067444457314627
Position 648: 0.0008095462062520084
Position 1327: 0.0005817880410014187
Position 1405: 0.00039861610729323465
Position 633: 0.00032523641717072593
Position 1121: 0.0002373058116977722
Position 47: 0.00014896874820182504
Position 30: 0.00013741194200342285
Position 220: 0.00010580202546345514
Position 452: 9.013929221920769e-05
Position 60: 8.319309749328465e-05
Position 622: 3.8172547723442935e-05
Position 256: 2.8635636894187965e-05
Position 905: 8.20353826103906e-06
Position 526: 8.1680620500596e-06
Position 946: 3.6633255196958143e-06
Position 259: 2.3076962423335773e-06
Position 880: 2.1446585638608334e-06
Position 336: 8.149683770282511e-07
Position 130: 7.572608401465827e-07
Position 973: 5.419979526094033e-07
Position 1025: 4.080280038033704e-07
Position 1065: 2.1731873472447414e-07
Position 127: 1.5443656858407069e-07
Position 1012: 8.543260181370308e-08
Position 1023: 6.675507210470868e-08
Position 511: 1.7881872379405233e-09
Position 1003: 5.700405637723584e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 822: 0.9975624248383235
Position 1176: 0.9698803909905229
Position 1464: 0.03988126531872391
Position 485: 0.023106387428896504
Position 1202: 0.018153383249837233
Position 1141: 0.008049330031504655
Position 1452: 0.006500335694965799
Position 1443: 0.002714062254543623
Position 1557: 0.0018940618027398195
Position 1157: 0.0017219768367476931
Position 742: 0.0011778761974599822
Position 1482: 0.0010453758469507234
Position 1383: 0.000371175150042213
Position 1491: 0.0003608112095766533
Position 1748: 0.00030826091092205576
Position 1560: 0.0001724081419422987
Position 1515: 0.00012718687761882822
Position 1602: 0.0001174766078311163
Position 1581: 8.250099039882217e-05
Position 86: 8.03230271298611e-05
Position 127: 7.569716330766049e-05
Position 1819: 4.0814515201402474e-05
Position 247: 3.812328096047895e-05
Position 846: 3.0300366527059583e-05
Position 303: 2.4656559517448187e-05
Position 451: 2.2357883343885583e-05
Position 264: 1.941629018870785e-05
Position 93: 1.0948468694132033e-05
Position 412: 1.0347040768148634e-05
Position 831: 1.033492250214461e-05
Position 352: 1.0180523315564035e-05
Position 297: 9.838572688059362e-06
Position 976: 6.2786002577358225e-06
Position 843: 3.5248172079357715e-06
Position 524: 3.242052484620797e-06
Position 392: 2.3109615526477204e-06
Position 996: 1.609652444488106e-06
Position 204: 1.1451257329875712e-06
Position 672: 1.1232648144883507e-06
Position 1305: 6.631682294812096e-07
Position 1115: 5.236955292391558e-07
Position 98: 8.104100509494321e-10
Position 143: 7.329280558422392e-10
