Gene = jp
index = 1736
Annotated 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
Annotated 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
SMsplice 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
SMsplice 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
top_k =  100
Partition function (log Z): 20.520846376486272

Sorted 5' Splice Sites (High to Low Probability):
Position 11467: 0.9967449405936082
Position 11117: 0.9961973146695858
Position 13163: 0.9947132062870497
Position 16547: 0.9889980118802507
Position 15034: 0.9867493504247069
Position 12751: 0.9365152750101633
Position 12948: 0.9295019435852786
Position 318: 0.44925187052073795
Position 17661: 0.3420981119876989
Position 210: 0.31944523090540866
Position 1747: 0.14678067901894845
Position 17650: 0.14193809488598375
Position 17343: 0.09983199370222258
Position 104: 0.0893012501446371
Position 16272: 0.0872813683350141
Position 15477: 0.06885967884168907
Position 12964: 0.06834888048072493
Position 13706: 0.04213531569757059
Position 17254: 0.04078811373868101
Position 736: 0.033367506349336155
Position 13909: 0.015340719921811602
Position 15339: 0.011070261966850922
Position 15218: 0.010133420906030524
Position 13305: 0.006695968173611677
Position 14063: 0.006327840099197425
Position 12611: 0.005574737659114305
Position 16529: 0.005040145423546481
Position 13102: 0.00463982294086452
Position 13534: 0.004145447285507996
Position 13286: 0.003910025408258883
Position 11136: 0.0035211093165717937
Position 13939: 0.00313335230695819
Position 12118: 0.0028864023901320084
Position 16019: 0.002498804831327535
Position 13514: 0.0018533794752989623
Position 16541: 0.0017947273481038212
Position 11858: 0.0016883987005992444
Position 12962: 0.0013768972579659882
Position 694: 0.001254714136504121
Position 16472: 0.0010076264985131632
Position 11544: 0.0010067355819749343
Position 12772: 0.0009091988035992563
Position 12700: 0.0007286959874392572
Position 11480: 0.0006780481178657951
Position 12402: 0.000539690615312852
Position 12049: 0.0005305722230228172
Position 12713: 0.00044290005120040484
Position 11402: 0.0004278411820027736
Position 609: 0.00033547826292715997
Position 12076: 0.00032099022034295195
Position 12978: 0.0002641404328104762
Position 603: 0.00021537270584202732
Position 10936: 0.0002055744496317016
Position 11952: 0.00020059309212377448
Position 322: 0.00014166024275136284
Position 205: 0.00013611437138445138
Position 16579: 0.0001169971056240398
