Gene = nvd
index = 1826
Annotated 5SS: [  337 23857 41197 76101 76329]
Annotated 3SS: [23462 40892 75988 76154 76388]
SMsplice 5SS: [  337  1059  5579  5766 76101 76329]
SMsplice 3SS: [  401  5438  5642 75831 76154 76388]
top_k =  100
Partition function (log Z): -94.38594543295868

Sorted 5' Splice Sites (High to Low Probability):
Position 337: 0.984848756852631
Position 5766: 0.980735872708971
Position 5579: 0.9593988692868165
Position 1059: 0.5728961231231708
Position 6170: 0.17752266541061879
Position 6016: 0.059941150150540475
Position 651: 0.009700269315675697
Position 409: 0.0014408303088318823
Position 20: 0.001413002319013085
Position 554: 0.0008976198222599883
Position 341: 0.0008000877564961367
Position 353: 0.0007848797891022894
Position 357: 0.0001305755831720086
Position 1099: 8.170773942398173e-05
Position 122: 1.4576358128113448e-06
Position 97: 7.003610951973245e-07
Position 120: 3.626413722292667e-07
Position 141: 2.429129521728689e-07
Position 25: 1.808496399430282e-07
Position 103: 1.3176090412714865e-07
Position 27: 1.2975498234182944e-07
Position 136: 1.2165330806338762e-07
Position 48: 1.0166039223096663e-07
Position 899: 6.780300660437843e-08
Position 149: 1.9613833176223176e-08
Position 370: 9.824039669687219e-09
Position 248: 7.923633318536462e-09
Position 146: 6.024619936735109e-09
Position 381: 5.219362268887033e-09
Position 266: 4.091505009316743e-09
Position 470: 3.5436832529995485e-09
Position 459: 3.0532456568033875e-09
Position 402: 2.8684959626978706e-09
Position 203: 4.740143156752183e-10
Position 259: 3.825642239863332e-10
Position 216: 2.3139847924403504e-10
Position 339: 1.497636075056484e-10
Position 283: 1.1911655393221876e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5642: 0.9586979615150326
Position 5438: 0.7443558507734105
Position 5882: 0.6258638454691197
Position 401: 0.4917661657160978
Position 5298: 0.2549582432981127
Position 6256: 0.18377477275553872
Position 5836: 0.16900277062042451
Position 5839: 0.15784800270627397
Position 937: 0.04981145819546721
Position 6223: 0.025552125776171577
Position 6071: 0.022992193813374074
Position 6090: 0.01990384687430584
Position 5863: 0.013963038026718302
Position 850: 0.009848688803598678
Position 528: 0.00869322376452047
Position 902: 0.006023681130351658
Position 558: 0.003792060858421062
Position 992: 0.0033568056482009166
Position 1182: 0.0002748121359966572
Position 2185: 6.648313140244831e-05
Position 1311: 1.8425613450872918e-05
Position 1834: 1.8262996435030244e-05
Position 174: 6.9033767940983746e-06
Position 1019: 2.635578380271001e-06
Position 771: 2.334660682394621e-06
Position 879: 4.5324113621284614e-07
Position 203: 3.0551695106500713e-07
Position 749: 2.1775659887832267e-07
Position 228: 8.159996506031022e-08
Position 280: 7.623652694976268e-08
Position 248: 7.151256032381592e-08
Position 141: 4.713332716418713e-08
Position 459: 2.9627759388107854e-08
Position 564: 2.729532031717447e-08
Position 325: 2.5491758914448485e-08
Position 429: 2.0119812581438614e-08
Position 413: 1.947653839819064e-08
Position 146: 2.472929162583234e-09
