Gene = nompB
index = 1819
Annotated 5SS: [  197   447  2231  3024  7805 10693 10834]
Annotated 3SS: [  249  2004  2302  7606  9798 10746 10893]
SMsplice 5SS: [  197   447  7807  8084 10693]
SMsplice 3SS: [  249  7606  7868  9785 10893]
top_k =  100
Partition function (log Z): -0.3863478891830885

Sorted 5' Splice Sites (High to Low Probability):
Position 197: 0.9986932675894455
Position 447: 0.965745719401005
Position 10693: 0.965399016004336
Position 7807: 0.8199427666154903
Position 8084: 0.7920469278846375
Position 2231: 0.5163202874440654
Position 3024: 0.26111354324275915
Position 3053: 0.11059475218379093
Position 451: 0.02838965503234133
Position 10968: 0.011680323934121549
Position 442: 0.003847358160458486
Position 366: 0.002017260831048408
Position 2490: 0.0011439031247253715
Position 57: 0.000927608681833323
Position 2193: 0.0005670166492320871
Position 49: 2.8935504149095985e-05
Position 201: 1.906372223662295e-05
Position 134: 1.1835801033793073e-05
Position 52: 7.280370881570786e-07
Position 3638: 2.584216876185554e-07
Position 1669: 1.4130670885148766e-07
Position 2657: 4.577462485106943e-08
Position 1513: 3.2594510198122566e-08
Position 1508: 3.000666762176705e-08
Position 1003: 1.6747819034599745e-08
Position 47: 3.1736545456397497e-09
Position 16: 1.903576770826278e-09
Position 328: 6.423715011192675e-10
Position 941: 7.841376612004023e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 249: 0.9803140182824507
Position 9785: 0.9512294450974079
Position 7606: 0.9210372634311331
Position 10893: 0.8442035277674299
Position 7868: 0.47182575583564734
Position 2004: 0.4687673280123328
Position 2281: 0.34842048478891074
Position 7883: 0.21951877324918914
Position 10746: 0.0604534525451591
Position 10926: 0.05859259051768972
Position 9789: 0.023221286400870626
Position 2030: 0.02042566411995227
Position 269: 0.018870657713315524
Position 10901: 0.015966581913920554
Position 11037: 0.01564816865886911
Position 2749: 0.01113842117983548
Position 10753: 0.007364721204825152
Position 1926: 0.005876494649079547
Position 2984: 0.0042936666171568315
Position 2555: 0.003529476959149875
Position 2066: 0.0033425723661384362
Position 1407: 0.002586132855556611
Position 2752: 0.002540928466688721
Position 1422: 0.0024106154864076616
Position 2349: 0.0023145482792720127
Position 1602: 0.0021805589583097844
Position 2017: 0.0021452497120899865
Position 1240: 0.0021111788588718547
Position 1564: 0.0018290001454862206
Position 1002: 0.0013134604199154644
Position 838: 0.0011854159478122453
Position 1941: 0.0008181195862303637
Position 761: 0.0008024868028039221
Position 1147: 0.0005843896741761922
Position 1362: 0.0005628482823491273
Position 1605: 0.0005620857288805842
Position 266: 0.0003711205051537063
Position 316: 0.00012450315035659348
Position 3120: 4.853779298356815e-06
Position 3173: 1.0259336515359836e-06
Position 295: 8.450186836402089e-07
Position 3693: 2.5842168761855517e-07
Position 3161: 1.831347117633076e-07
Position 319: 1.06636528781509e-07
Position 365: 9.457941308105805e-08
Position 280: 3.7361355343107256e-08
Position 102: 3.191370634623637e-08
Position 390: 2.4272898652702138e-08
Position 3414: 2.106620507744739e-08
Position 2440: 6.2060510231147e-09
Position 283: 5.62152699597378e-09
Position 1472: 4.802473996748186e-09
Position 2421: 3.1858464865548742e-09
Position 850: 2.935273564962843e-09
Position 891: 1.3831240538232376e-09
