Gene = Pfdn6
index = 1377
Annotated 5SS: [224 537]
Annotated 3SS: [310 620]
SMsplice 5SS: [224 537]
SMsplice 3SS: [310 620]
top_k =  100
Partition function (log Z): 1.2232758853672627

Sorted 5' Splice Sites (High to Low Probability):
Position 537: 0.9933238569714712
Position 224: 0.9729174810481973
Position 696: 0.329586657779137
Position 228: 0.010356677120319825
Position 679: 0.003945199324538676
Position 246: 0.0035796251928787554
Position 369: 0.0014179281711101408
Position 541: 0.001156050827567633
Position 558: 0.0011457493136409428
Position 254: 0.0011425079870787803
Position 555: 0.00047221525052590374
Position 489: 0.00012841560263919787
Position 40: 0.00011161712305480406
Position 837: 7.785488807798817e-05
Position 412: 7.26608774282075e-05
Position 285: 5.640562109937209e-05
Position 660: 5.51477054556552e-05
Position 861: 4.947616014463491e-05
Position 171: 4.139678480003121e-05
Position 674: 4.1100184927211595e-05
Position 11: 3.741354427068614e-05
Position 204: 3.286376463450186e-05
Position 201: 1.6073422645630343e-05
Position 755: 6.895112651305837e-06
Position 69: 5.409637381122278e-06
Position 174: 4.820943361522662e-06
Position 89: 3.630484555211507e-06
Position 472: 2.979125489844264e-06
Position 565: 1.7296868959916657e-06
Position 439: 1.0269254372033897e-06
Position 100: 8.783020386193067e-07
Position 137: 6.395354859223075e-08
Position 267: 1.4827606730419326e-09
Position 325: 1.4108867358065754e-09
Position 274: 4.959230408528331e-10
Position 672: 3.8518029662533885e-10
Position 289: 1.7617565158974326e-11
Position 459: 9.854474977270035e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 620: 0.9937548003770389
Position 310: 0.9748069412515831
Position 750: 0.32584881336445104
Position 321: 0.006773645207602084
Position 624: 0.0034784651553475994
Position 971: 0.002909640298640234
Position 333: 0.0024791010893582743
Position 447: 0.002469903150051121
Position 849: 0.002046718125902946
Position 948: 0.0016441596690347025
Position 887: 0.0014212203027015116
Position 894: 0.0004742134346788253
Position 411: 0.0004177310417794299
Position 354: 0.00037970083009069774
Position 995: 0.00023988436325144414
Position 627: 0.00017703350612535937
Position 82: 0.00010237553093445895
Position 914: 9.999873247034855e-05
Position 861: 7.559481810827718e-05
Position 450: 6.96809155579578e-05
Position 330: 3.327600760100453e-05
Position 340: 2.1550307864872222e-05
Position 350: 1.5077953169640474e-05
Position 369: 9.41159168354606e-06
Position 420: 9.212397347222588e-06
Position 94: 8.765122561029942e-06
Position 918: 6.800184885741212e-06
Position 69: 4.622490309251818e-06
Position 162: 3.575060185981047e-06
Position 363: 1.940111914271888e-06
Position 468: 1.4362695076368165e-06
Position 159: 1.2603390549163895e-06
Position 660: 1.2558968036534718e-06
Position 504: 1.0496114079736422e-06
Position 669: 7.646583817812454e-07
Position 58: 7.549588727554096e-07
Position 189: 7.465384416055278e-07
Position 501: 3.084341211546105e-07
Position 169: 2.784795390166099e-07
Position 183: 6.871010382614347e-08
Position 210: 2.7753508043543112e-08
Position 195: 8.597253175492573e-09
