Gene = REPTOR-BP
index = 1399
Annotated 5SS: [140 509 761]
Annotated 3SS: [423 638 821]
SMsplice 5SS: [509 765]
SMsplice 3SS: [638 821]
top_k =  100
Partition function (log Z): 5.901006644917188

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.993152671917544
Position 765: 0.9119444666152356
Position 961: 0.13091206332691743
Position 969: 0.06418810306326342
Position 761: 0.0477398108525568
Position 140: 0.0408902719901819
Position 744: 0.029568673217577703
Position 224: 0.01179815809150284
Position 210: 0.007490460363138093
Position 551: 0.004804506525940507
Position 731: 0.0037812345788066485
Position 137: 0.002697004418242108
Position 258: 0.0013768941463478171
Position 169: 0.000531341900324671
Position 734: 0.00034504113628626
Position 228: 0.0003208782617308543
Position 266: 0.00021193268755224036
Position 878: 0.00020457008888953357
Position 278: 0.00013884236594401706
Position 566: 9.87057676108322e-05
Position 324: 9.624841081768948e-05
Position 58: 8.921525427798999e-05
Position 115: 5.710665695825379e-05
Position 177: 5.307970073788474e-05
Position 166: 4.496898866670939e-05
Position 1010: 3.974370708849861e-05
Position 64: 3.3102722513902754e-05
Position 197: 3.179581909238937e-05
Position 376: 2.6210055544574062e-05
Position 710: 1.9919557572838818e-05
Position 574: 1.9397892248285293e-05
Position 77: 1.6759196275442656e-05
Position 20: 1.088628524222807e-05
Position 842: 8.138544540676425e-06
Position 264: 7.725558417785372e-06
Position 688: 9.459534904333366e-07
Position 786: 7.682173874389972e-07
Position 474: 7.132938342244753e-07
Position 222: 1.681065459707026e-07
Position 694: 8.956831590845278e-08
Position 61: 6.76164577149538e-09
Position 50: 6.72306451860659e-09
Position 10: 2.6469639311645405e-09
Position 3: 2.0547980932756124e-09
Position 654: 9.316637360354212e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 638: 0.9996669676486549
Position 821: 0.9873528203030008
Position 1035: 0.17949380662184836
Position 426: 0.04610855994719082
Position 1059: 0.015895476490845425
Position 423: 0.00991032359165006
Position 842: 0.005542860752835796
Position 210: 0.0048391439991647715
Position 298: 0.0017147481054175513
Position 324: 0.0004962986718191416
Position 358: 0.000448564166822618
Position 316: 0.0003780812992967504
Position 566: 0.0002187219172206271
Position 1098: 0.0001668952142629107
Position 1068: 0.0001613021397329967
Position 933: 0.00010836745681958987
Position 645: 7.085825770407701e-05
Position 1079: 6.110430738776908e-05
Position 246: 3.6468700446061765e-05
Position 463: 1.8927984213121623e-05
Position 369: 1.835322862608813e-05
Position 214: 1.2701032093786065e-05
Position 648: 1.2524756912959804e-05
Position 435: 6.517922390835895e-06
Position 1001: 5.003022811872955e-06
Position 449: 3.169843259044653e-06
Position 574: 2.409018453141937e-06
Position 887: 7.297247164933569e-07
Position 878: 5.418900994264072e-07
Position 682: 3.849760298100191e-07
