Gene = DNApol-alpha50
index = 1126
Annotated 5SS: [ 186 2821]
Annotated 3SS: [2651 2876]
SMsplice 5SS: [ 186 2821]
SMsplice 3SS: [2651 2876]
top_k =  100
Partition function (log Z): -5.172998134833344

Sorted 5' Splice Sites (High to Low Probability):
Position 2821: 0.9938989955103239
Position 186: 0.5073815148029347
Position 944: 0.48485769248235283
Position 774: 0.24919501491775933
Position 770: 0.2430724059103085
Position 3122: 0.09525416729650654
Position 968: 0.05098695799520668
Position 3149: 0.028223207734339836
Position 1108: 0.025448284910043282
Position 210: 0.02159179414893617
Position 3020: 0.014543683449363406
Position 2263: 0.005175424844399848
Position 1079: 0.004292774530581701
Position 1052: 0.0033032961879032392
Position 2157: 0.0031600361282030595
Position 2810: 0.0016371733916173766
Position 3790: 0.0012561139089800916
Position 3191: 0.001217025781997777
Position 559: 0.0010666186435863538
Position 309: 0.0005244513921136243
Position 714: 0.0003970550413731946
Position 121: 0.0002909240454476736
Position 172: 0.00025675210089039354
Position 326: 0.00021715007200120848
Position 314: 0.0001979334864913904
Position 601: 0.00010518205084334085
Position 77: 8.258637570953344e-05
Position 4: 8.162913721418981e-05
Position 2825: 7.060993924103778e-05
Position 75: 6.805611133928019e-05
Position 833: 3.746791455539346e-05
Position 465: 1.2462356046625722e-05
Position 973: 9.543948438544539e-06
Position 675: 2.3636699036192163e-06
Position 144: 8.808113537730699e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2651: 0.8978972455369297
Position 2876: 0.8882786649163231
Position 832: 0.5511013297729024
Position 3251: 0.10570474941799028
Position 2923: 0.07813676313973392
Position 2673: 0.06892907007269651
Position 3101: 0.0278241540275533
Position 431: 0.017261978616087182
Position 769: 0.01679919739918625
Position 3839: 0.012281409781278453
Position 3776: 0.01135390150679971
Position 261: 0.00834386561000537
Position 2484: 0.007267134507699566
Position 519: 0.005734940456012345
Position 2679: 0.004365168014702287
Position 2770: 0.00422488091838211
Position 3804: 0.0035860024580639345
Position 624: 0.003585999751250554
Position 3255: 0.0032628695949200055
Position 242: 0.0030161626086347656
Position 3357: 0.0028806501877692093
Position 813: 0.002854628791776131
Position 1024: 0.0019352108096746393
Position 2963: 0.0017176723742198456
Position 396: 0.0015061300839980132
Position 341: 0.0014192238581811159
Position 2325: 0.0012529321414644638
Position 919: 0.0012307783830680138
Position 2319: 0.0012205455402953236
Position 548: 0.0011826900997156968
Position 792: 0.0006412676815897823
Position 3189: 0.0006358898178513594
Position 4085: 0.00048238937007282287
Position 845: 8.617782391039181e-07
