Gene = Ero1L
index = 1155
Annotated 5SS: [ 389 1074 2507 2873]
Annotated 3SS: [ 809 1820 2563 2933]
SMsplice 5SS: [ 389 1074 2507 2873]
SMsplice 3SS: [ 809 1820 2563 2933]
top_k =  100
Partition function (log Z): 10.500960184299222

Sorted 5' Splice Sites (High to Low Probability):
Position 2873: 0.9993619480543234
Position 2507: 0.9927171006862547
Position 1074: 0.9594958513800862
Position 389: 0.9568794177816775
Position 2003: 0.09598753919693032
Position 15: 0.06582642620367354
Position 424: 0.03478016744714518
Position 42: 0.0339718562057724
Position 2298: 0.02845569957144087
Position 1086: 0.02751143407923239
Position 2033: 0.012783944944893376
Position 3048: 0.006024361074881561
Position 1519: 0.005892197214894211
Position 2469: 0.00457214051442453
Position 570: 0.0043316844846688456
Position 2163: 0.0025922718758528045
Position 3116: 0.002509166302315605
Position 393: 0.0024012322943478023
Position 1321: 0.002232532883641128
Position 1404: 0.0020564909812877067
Position 1182: 0.0018697337006510903
Position 2679: 0.0017806929958349843
Position 115: 0.0016848466175357945
Position 648: 0.0016032748494754954
Position 3145: 0.0015779939400326183
Position 1628: 0.0011402325592952804
Position 2702: 0.0008899255406663128
Position 202: 0.0008438562348195979
Position 3277: 0.0007614835479082214
Position 2693: 0.000731009703224679
Position 930: 0.0006289622873077288
Position 2982: 0.0005867402287224731
Position 852: 0.0005834581309141672
Position 2511: 0.0005623745178793084
Position 3200: 0.00037423883665455525
Position 418: 0.0003419868211331741
Position 2847: 0.0003223117711992706
Position 2970: 0.0002495854015518123
Position 411: 0.00018306673038932396
Position 131: 0.00014921976524165322
Position 3120: 0.00010529232395398058
Position 3215: 9.01430318215042e-05
Position 55: 8.098471687164658e-05
Position 214: 6.290667623339979e-05
Position 1301: 5.4492687111419756e-05
Position 1258: 3.213647079254092e-05
Position 1343: 2.7801274299331486e-05
Position 2341: 1.352915911975155e-05
Position 159: 1.015523236719497e-05
Position 21: 1.5685979783075005e-06
Position 90: 7.518871392286535e-07
Position 293: 5.612264146320895e-07
Position 2731: 3.6206475138164025e-07
Position 2877: 3.0171918326452313e-07
Position 19: 2.932492134532579e-07
Position 277: 2.6827091242589005e-07
Position 263: 2.179704238743023e-07
Position 296: 7.684777917208016e-08
Position 2347: 6.363707012239537e-08
Position 2786: 3.5871391132041795e-08
Position 2789: 6.6292350216627764e-09
Position 2648: 5.603478066477332e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2933: 0.9915988098748143
Position 2563: 0.9908027112203351
Position 1820: 0.8503515153387434
Position 809: 0.6355350899266266
Position 893: 0.2889001116115712
Position 2388: 0.21971183121320947
Position 114: 0.08891173327138946
Position 1181: 0.03909563165121088
Position 929: 0.02044582402711856
Position 527: 0.01776197551912934
Position 639: 0.015216377244094878
Position 2215: 0.015164081982358583
Position 268: 0.00825891457035154
Position 2945: 0.008086303768119392
Position 2279: 0.007287967854778291
Position 3116: 0.005873358897409607
Position 835: 0.00579997618020189
Position 2550: 0.005407234361271204
Position 1709: 0.0053979881326197444
Position 446: 0.004901792505197692
Position 720: 0.0044190834881820224
Position 3192: 0.003279941928990859
Position 2757: 0.0031307958849277635
Position 1614: 0.0030416019176367354
Position 1633: 0.002834919062574169
Position 1753: 0.0018554626305122726
Position 1470: 0.0017136435642546041
Position 2744: 0.001620542310384578
Position 1533: 0.001284532286091788
Position 3260: 0.0012346926108927976
Position 995: 0.0011216529835162297
Position 3208: 0.0009792212665495756
Position 1582: 0.0008473396628104622
Position 3360: 0.0007614835479082214
Position 2624: 0.0007272968931246462
Position 1387: 0.0006172244956121821
Position 202: 0.0005470480698804674
Position 479: 0.0005278378296654393
Position 208: 0.0004818103947961378
Position 731: 0.000408992881642827
Position 970: 0.00040170069658433997
Position 302: 0.00022071309500308197
Position 149: 0.00021488355608981116
Position 214: 0.000177968847617313
Position 2602: 0.00017540566291195193
Position 2630: 0.00015823196158529652
Position 3044: 0.0001503076782637273
Position 226: 0.000149822720750654
Position 482: 5.567880958403197e-05
Position 347: 2.657025352788735e-05
Position 540: 1.662500268105682e-05
Position 815: 1.0894989602219932e-05
Position 738: 7.852642017242753e-06
Position 570: 7.610797302312975e-06
Position 644: 3.172336281738329e-06
Position 622: 2.8960427395333195e-06
Position 1219: 2.6782279848993676e-06
Position 1390: 2.5105914438244995e-06
Position 168: 5.119118154808703e-07
Position 270: 1.8778301847107917e-08
