Gene = l(2)k05819
index = 1748
Annotated 5SS: [ 294  983 1755 1977 2711 4879 5104 5405]
Annotated 3SS: [ 348 1039 1813 2613 2772 4940 5157 5464]
SMsplice 5SS: [ 294  983 1755 2711 4879 5104 5405]
SMsplice 3SS: [ 348 1039 1813 2772 4940 5157 5464]
top_k =  100
Partition function (log Z): 4.472796443720505

Sorted 5' Splice Sites (High to Low Probability):
Position 294: 0.9999478236335851
Position 4879: 0.9992752402422188
Position 2711: 0.996760580466278
Position 5405: 0.9787511937543831
Position 5104: 0.9637829593665631
Position 983: 0.9055052667082885
Position 1755: 0.53230751190804
Position 1977: 0.16536290793420375
Position 3645: 0.053226501801932564
Position 2234: 0.05038823911190028
Position 3307: 0.04170021663460498
Position 1494: 0.040619202383842465
Position 2833: 0.03737372557696128
Position 3355: 0.03268366412144416
Position 1932: 0.03252280918767872
Position 3560: 0.019394402087303916
Position 2003: 0.014894581573483334
Position 5409: 0.00946292071109528
Position 5684: 0.00790080372991387
Position 2839: 0.006566927436052402
Position 3322: 0.006033532560892939
Position 5908: 0.0034945265263868724
Position 5791: 0.0033359304438611297
Position 3110: 0.00260273608742032
Position 5580: 0.002216490655710379
Position 5642: 0.002101753822419979
Position 6213: 0.0013018244381458961
Position 1445: 0.0006879802365688361
Position 1451: 0.0005052554087791963
Position 1529: 0.0005013003398219482
Position 2859: 4.636801254665989e-05
Position 1581: 3.3279582437138135e-05
Position 385: 2.1348125187852804e-05
Position 1938: 1.0758042679867854e-05
Position 5266: 9.727251463755763e-06
Position 5365: 8.69354035751197e-06
Position 1915: 6.708970715650464e-06
Position 298: 5.156610637872949e-06
Position 2573: 3.339985819315496e-06
Position 91: 4.249912973658005e-13
Position 217: 4.241123572275181e-13
Position 256: 1.4168470454658546e-13
Position 230: 4.959687808353704e-14
Position 79: 3.9038325122883516e-14
Position 164: 3.2971900051162264e-14
Position 95: 1.6124902564165232e-14
Position 182: 8.377170989858208e-15
Position 5: 2.5186734704175036e-15
Position 11: 2.3842547667851007e-15
Position 132: 8.303485794842202e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2772: 0.9999697376309172
Position 5464: 0.988991912798295
Position 4940: 0.9831073486822913
Position 5157: 0.9448872798132617
Position 348: 0.9161633548779923
Position 1813: 0.6798053129950261
Position 1039: 0.6531150025591204
Position 2613: 0.1006011802938678
Position 2070: 0.07736120357036572
Position 3407: 0.0680712781876911
Position 2312: 0.060515731372433886
Position 1550: 0.056743791676605745
Position 670: 0.04885812436937049
Position 3727: 0.047656234984611974
Position 1377: 0.04422903293544541
Position 2910: 0.04401728339464213
Position 3706: 0.03972881675028153
Position 5253: 0.03384516611399607
Position 2260: 0.030415601541074408
Position 2475: 0.0231849159064544
Position 2451: 0.02311814204783802
Position 2007: 0.014953654990393833
Position 5975: 0.0076888660670673655
Position 5732: 0.005487911870692507
Position 6246: 0.004115264043059236
Position 5636: 0.0022164906557103803
Position 845: 0.0021603971744963
Position 423: 0.0018434240022409793
Position 6274: 0.0013018244381458961
Position 455: 0.001297790920392987
Position 639: 0.0011124184489446167
Position 897: 0.0009090414523107138
Position 1276: 0.0006715663594825215
Position 542: 0.0004966701156514013
Position 1354: 0.0004305873812391215
Position 393: 0.000348700494229246
Position 382: 0.0003439263909310362
Position 946: 0.0003194688080302552
Position 616: 0.0003095752789735363
Position 587: 0.0003014649454079629
Position 3189: 0.00018472337101425933
Position 973: 0.0001580476855278912
Position 420: 0.00014923659791076126
Position 970: 4.626630460283533e-05
Position 435: 2.5583974251660956e-05
Position 523: 2.3071541920102624e-05
Position 821: 1.9793778876554952e-05
Position 784: 1.9611041961578258e-05
Position 595: 1.662354998461594e-05
Position 556: 1.5734827736907884e-05
