Gene = sty
index = 1901
Annotated 5SS: [511]
Annotated 3SS: [20013]
SMsplice 5SS: [511]
SMsplice 3SS: [20013]
top_k =  100
Partition function (log Z): -13.517883492999264

Sorted 5' Splice Sites (High to Low Probability):
Position 511: 0.9990521653296468
Position 1957: 0.09292708041465189
Position 260: 0.04614540156172256
Position 176: 0.041732624484888126
Position 10103: 0.03571684831085478
Position 182: 0.01676783689019784
Position 1603: 0.005625091311485187
Position 166: 0.004664856629476004
Position 218: 0.0042423760296773985
Position 151: 0.004036725691481359
Position 157: 0.00291550996568398
Position 101: 0.0022394074349956013
Position 1789: 0.0006533754622090582
Position 15: 0.00016256819877120374
Position 327: 0.00013593021155847853
Position 188: 9.979874891105666e-05
Position 51: 4.890764644640172e-05
Position 190: 3.104108678934648e-05
Position 98: 2.538200450904156e-05
Position 32: 1.9073783034644678e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 20013: 0.9998497429926774
Position 314: 0.0670407075101276
Position 9983: 0.03571730827727429
Position 1828: 0.030562016246985367
Position 258: 0.02971945354469588
Position 564: 0.022250100563360756
Position 1875: 0.016288587202646258
Position 1667: 0.014784002092009972
Position 1692: 0.012558525626490779
Position 377: 0.010956014468825544
Position 327: 0.005500452484840426
Position 332: 0.005239867263917057
Position 218: 0.003091890598657971
Position 946: 0.002297754888307397
Position 342: 0.0012255042949767465
Position 15482: 0.00014833767381767168
Position 264: 7.474391290300241e-06
Position 98: 1.0874075111703822e-06
Position 388: 9.222939981226605e-07
Position 11533: 8.181148465761084e-07
Position 11815: 6.350203312102824e-07
Position 479: 2.888495735862185e-07
Position 166: 1.9260027493614677e-07
Position 494: 1.6445899618668274e-07
Position 458: 1.4637783416671921e-07
Position 4834: 2.2302700455021455e-09
Position 6696: 1.7822316925240592e-09
Position 4663: 5.896155615947612e-10
Position 6050: 4.987984849804133e-10
Position 5641: 4.3983833469393504e-10
Position 3534: 1.7245601100983473e-10
Position 4041: 9.604673015887528e-11
Position 2096: 3.318574637284555e-11
Position 3754: 3.1101865018900475e-11
Position 2694: 2.4215584837983738e-11
Position 2964: 1.7752378524389165e-11
Position 2159: 1.2448642113686943e-11
Position 2752: 6.4998830195969125e-12
Position 1298: 3.797166626230278e-12
Position 1017: 2.0412414304511585e-12
Position 1731: 1.9403328584397772e-12
Position 570: 1.870583423941028e-12
Position 1099: 1.831446217013107e-12
Position 1800: 1.826051413066963e-12
Position 589: 1.3455305140597962e-12
Position 1281: 1.0585452942266785e-12
Position 663: 1.0210486249168588e-12
Position 644: 7.433175058318152e-13
Position 904: 7.086978912783765e-13
Position 1491: 7.966716446573037e-14
