Gene = Fic
index = 1167
Annotated 5SS: [1071 1334]
Annotated 3SS: [1129 1392]
SMsplice 5SS: [1071 1334]
SMsplice 3SS: [1129 1392]
top_k =  100
Partition function (log Z): 3.282325729220694

Sorted 5' Splice Sites (High to Low Probability):
Position 1334: 0.9991187276132509
Position 1071: 0.9987739629457543
Position 257: 0.42792388558199507
Position 30: 0.025221262785613346
Position 1961: 0.003878205468187363
Position 1226: 0.0026617432914525156
Position 1695: 0.002361334509952699
Position 121: 0.0019671109732161463
Position 1918: 0.0014139255626016865
Position 1508: 0.0013516790573540691
Position 46: 0.0012955441002975693
Position 1224: 0.0011518458532209963
Position 364: 0.0010337121083093485
Position 573: 0.0009124543028423704
Position 1537: 0.0007920467248616848
Position 1555: 0.0007014776995318929
Position 128: 0.0006082062774661771
Position 1738: 0.0005283506277990212
Position 1044: 0.0004231331194133768
Position 1837: 0.0002955617437416704
Position 1063: 0.0002594408855493026
Position 1530: 0.00024122708755824237
Position 1216: 0.000224144367056962
Position 6: 0.00019495552251982504
Position 336: 0.0001539439531887437
Position 1853: 0.00010691280076990359
Position 1783: 9.706412627479983e-05
Position 1818: 8.598505402450541e-05
Position 37: 8.238069890416109e-05
Position 144: 7.601052917873963e-05
Position 298: 6.300466905208235e-05
Position 34: 2.836396624641577e-05
Position 1058: 1.5486910659037244e-05
Position 919: 1.0067199860140143e-05
Position 1237: 3.855150696431557e-06
Position 108: 2.347530082483423e-06
Position 98: 1.0860241594628022e-06
Position 1338: 8.485323680152963e-07
Position 1292: 1.7305787094941148e-07
Position 159: 1.1141958015938145e-07
Position 1312: 3.3939721943724556e-08
Position 960: 3.110781537068451e-08
Position 1252: 2.709217600308098e-08
Position 137: 2.1121048269023527e-08
Position 139: 1.4516110743972268e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1392: 0.9952329099230985
Position 1129: 0.9952100155634441
Position 320: 0.3840024220521971
Position 414: 0.038577725199158155
Position 74: 0.008690882050593983
Position 2015: 0.007886035994713035
Position 106: 0.006339929345135254
Position 922: 0.005208581380495628
Position 723: 0.0045556764652478
Position 1280: 0.0040755576690128595
Position 1148: 0.003819684021563106
Position 631: 0.003696516360896918
Position 1400: 0.0026079189536117797
Position 350: 0.0024481377952435533
Position 171: 0.002080722424375673
Position 1559: 0.0016707792531002986
Position 1660: 0.0016409377006534076
Position 2001: 0.0015905335538781977
Position 737: 0.0013703929528273136
Position 954: 0.0008592081351970632
Position 1171: 0.0006634886863017177
Position 181: 0.00050899914141873
Position 466: 0.00035356602263062197
Position 1890: 0.00028655763851493694
Position 381: 0.000212665021397876
Position 144: 0.0001417899365120096
Position 480: 0.00011407652971715829
Position 261: 0.00010776110258238596
Position 1940: 5.814974433584225e-05
Position 1223: 2.7091760556936422e-05
Position 1200: 1.1408401554752249e-05
Position 228: 5.880787811187616e-06
Position 231: 3.6905369444989315e-06
Position 205: 1.4996442698888842e-06
Position 202: 5.158603432189535e-07
