Gene = Nufip
index = 1335
Annotated 5SS: [251 592]
Annotated 3SS: [310 648]
SMsplice 5SS: [251 592]
SMsplice 3SS: [310 648]
top_k =  100
Partition function (log Z): -3.0709094321146235

Sorted 5' Splice Sites (High to Low Probability):
Position 251: 0.9913553327357189
Position 592: 0.8978634162582291
Position 797: 0.10118585787285116
Position 533: 0.03869938248179428
Position 1158: 0.017873601105852937
Position 43: 0.00579914797873637
Position 47: 0.004505196929115583
Position 1142: 0.003791455336354069
Position 103: 0.000831748634572324
Position 873: 0.0007382693423336711
Position 1122: 0.0006945940238439043
Position 1057: 0.0006866154538864951
Position 71: 0.0006104887320579721
Position 199: 0.00021191766610743044
Position 86: 0.0002093568370007441
Position 34: 6.76499843867761e-05
Position 527: 3.504617122420511e-05
Position 204: 2.444700327934557e-05
Position 269: 1.4509993452419058e-05
Position 7: 1.4451940169406123e-05
Position 596: 8.849136808459987e-06
Position 94: 8.54335276064445e-06
Position 255: 4.847786688761541e-06
Position 542: 2.338106518485493e-06
Position 17: 3.0270654946940503e-07
Position 221: 2.410923782798278e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 310: 0.8566345719018703
Position 648: 0.7482951973904692
Position 1331: 0.2507481880881153
Position 315: 0.09136195895482123
Position 344: 0.03415722234707787
Position 636: 0.015059169173509307
Position 1244: 0.01223151132451368
Position 681: 0.010597796491592317
Position 103: 0.010170771281944477
Position 1178: 0.0086203683142165
Position 1044: 0.004478463854674056
Position 697: 0.003963900918123333
Position 1277: 0.0031442975119323428
Position 1067: 0.0029794563411873892
Position 1308: 0.002371917665271619
Position 156: 0.0018681009485038591
Position 518: 0.0017861411185638503
Position 409: 0.0013726768806013828
Position 1556: 0.0012210847438004874
Position 932: 0.000938344634274328
Position 633: 0.0006772513015398758
Position 1594: 0.0006600618623963125
Position 500: 0.0005493985446201957
Position 430: 0.0005258829355405542
Position 904: 0.0004018923346166247
Position 394: 0.00018523994264233793
Position 532: 0.00012772596485647705
Position 320: 7.332486898875773e-05
Position 312: 1.6622593903307556e-05
Position 112: 6.11432153068775e-06
Position 578: 4.732786951203028e-06
Position 538: 4.190900309339617e-06
Position 686: 1.0671594700318381e-06
Position 184: 8.411757877146694e-07
Position 70: 6.578752168665883e-07
Position 245: 5.915996407865866e-07
Position 673: 5.232869755142252e-07
Position 65: 3.3634303977619285e-07
Position 221: 9.870069031679608e-09
Position 227: 2.433659747488485e-09
Position 212: 6.597359248164551e-10
Position 269: 1.611724288632992e-11
