Gene = serp
index = 1869
Annotated 5SS: [ 596 1791 2207]
Annotated 3SS: [1617 1956 5516]
SMsplice 5SS: [ 596 1791 2207]
SMsplice 3SS: [1617 1956 5516]
top_k =  100
Partition function (log Z): 8.485334283013769

Sorted 5' Splice Sites (High to Low Probability):
Position 2207: 0.9998364186571999
Position 1791: 0.9982516978505079
Position 596: 0.9254452907877925
Position 5304: 0.22862173200305272
Position 5237: 0.11084951427615897
Position 785: 0.08533456375173612
Position 2652: 0.03634130345657866
Position 443: 0.03362579615394059
Position 855: 0.019389888414845482
Position 1200: 0.015449991376062787
Position 375: 0.013022366179711
Position 3550: 0.01098685697507763
Position 5327: 0.009387191817032075
Position 2563: 0.009353846031450813
Position 287: 0.0043000752593680735
Position 255: 0.0015451368643767756
Position 851: 0.0013778029161311284
Position 1780: 0.0012211772843337297
Position 339: 0.0005083774023787903
Position 1048: 0.0004867632128065457
Position 1063: 0.0004131591546705346
Position 426: 0.00040116704683128165
Position 1819: 0.0003536350205877267
Position 552: 0.00032921270904237625
Position 2479: 0.0002463106352605597
Position 601: 0.0002319102405873947
Position 351: 0.00019137630348541802
Position 363: 9.291551912351437e-05
Position 447: 7.875365500877852e-05
Position 328: 7.733602341415953e-05
Position 1812: 7.554823055295619e-05
Position 445: 4.844507637542672e-05
Position 373: 4.1843210041618076e-05
Position 1795: 3.982099005255735e-05
Position 2309: 3.3834351434290084e-05
Position 428: 3.12940490023967e-05
Position 1815: 2.7969776404702712e-05
Position 2297: 1.935923184860107e-05
Position 1831: 1.7752739970391272e-05
Position 2316: 1.4998069049337863e-05
Position 188: 1.4893441007652622e-05
Position 160: 1.3031251589092788e-05
Position 2615: 8.412105833631658e-06
Position 559: 5.960703777074552e-06
Position 270: 4.904922965008477e-06
Position 204: 4.807680572636776e-06
Position 326: 4.80311178106753e-06
Position 1740: 4.547112857039879e-06
Position 31: 4.371328622895854e-06
Position 1770: 3.1659135076696583e-06
Position 1727: 3.033204019605868e-06
Position 285: 2.820685538089182e-06
Position 1730: 9.855949408209445e-07
Position 2251: 9.164044757487089e-07
Position 490: 1.4614597527230021e-07
Position 2032: 1.8491229458090357e-08
Position 2211: 1.826597944098445e-08
Position 2204: 1.5125274847558048e-08
Position 2307: 1.166872447815264e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1956: 0.9979593630349131
Position 1617: 0.9851436095457391
Position 5516: 0.9562829261673292
Position 5119: 0.36335881129787934
Position 528: 0.04191360942516007
Position 2380: 0.027307114778280878
Position 639: 0.023411984365562643
Position 1000: 0.01604811807595785
Position 731: 0.01395849303115042
Position 5437: 0.01358361310996287
Position 1459: 0.010081869813070176
Position 5382: 0.007258340928197755
Position 2525: 0.006402443217136797
Position 443: 0.005810334618537916
Position 2499: 0.005696075080143631
Position 2798: 0.004632291504414804
Position 5325: 0.004198548082922981
Position 2538: 0.004105353939559837
Position 3316: 0.002681207324895202
Position 2387: 0.0025831118575013697
Position 3389: 0.0020090455662983703
Position 2007: 0.001619059079059943
Position 949: 0.0013493345019117457
Position 3550: 0.0012123982920712228
Position 2261: 0.0011332995106147052
Position 455: 0.0010291664796146657
Position 2278: 0.0009814881475386933
Position 2590: 0.0009390643148747603
Position 1621: 0.0007979481704557295
Position 1430: 0.0006715517279732508
Position 497: 0.0005489603822643087
Position 1649: 0.0005394684969847589
Position 646: 0.00042690311404772305
Position 2010: 0.00041432153964046555
Position 2999: 0.0002973739006290462
Position 2807: 0.0002942139540700337
Position 490: 0.0002809517690750896
Position 3342: 0.00024292339113914755
Position 1655: 0.000152671974794952
Position 4222: 0.0001493900961718794
Position 4277: 0.00014459293158781373
Position 1244: 0.0001313040626711561
Position 2535: 9.190303292196338e-05
Position 922: 6.720958942596837e-05
Position 1395: 5.153701223966297e-05
Position 2838: 4.381932680555071e-05
Position 3036: 3.1514566513014685e-05
Position 2695: 3.0569227076232e-05
Position 910: 2.926795630816622e-05
Position 878: 1.9894653454621335e-05
Position 2326: 8.245114836355589e-06
Position 1834: 4.544464209518824e-06
Position 254: 3.801218409539478e-06
Position 507: 3.4695623105568073e-06
Position 782: 2.4312017744484065e-06
Position 366: 2.0310363919075976e-06
Position 540: 1.2982181086680584e-06
Position 1966: 9.98375832445444e-07
Position 2608: 8.931785852344334e-07
Position 2004: 8.352650281034297e-07
Position 2025: 6.693861048475649e-07
Position 478: 6.467918784678777e-07
Position 332: 2.6867677426002645e-07
Position 393: 2.6747363359693005e-07
Position 2316: 1.2780265200015038e-07
Position 463: 1.1184470872839784e-07
Position 1874: 9.7153708613145e-08
Position 1850: 9.355083940867721e-08
Position 2250: 3.943181824819815e-08
Position 698: 2.8728640954105068e-08
Position 2106: 1.8491229458090264e-08
Position 830: 1.2927929719936086e-08
