Gene = NaPi-III
index = 1308
Annotated 5SS: [  119  5397  6533  7202  9677 10250]
Annotated 3SS: [ 5343  5463  6604  9299  9746 10318]
SMsplice 5SS: [  119  5397  6533  7202  9677 10250]
SMsplice 3SS: [ 5343  5463  6604  9299  9746 10318]
top_k =  100
Partition function (log Z): 9.21917068184512

Sorted 5' Splice Sites (High to Low Probability):
Position 10250: 0.9999483414738927
Position 9677: 0.9994864753936235
Position 6533: 0.9907549530431152
Position 7202: 0.9724765430649471
Position 5397: 0.9677393570520084
Position 119: 0.8907561186153516
Position 1794: 0.2801577073120978
Position 5768: 0.11411506005581598
Position 9816: 0.06266489153765804
Position 7916: 0.051952567176884734
Position 10431: 0.045963739313141495
Position 10607: 0.04244294096492664
Position 333: 0.023826384040434523
Position 8678: 0.023516112479672977
Position 87: 0.01811748657210715
Position 9819: 0.012949959391229565
Position 329: 0.012532518440380535
Position 1403: 0.01097288069943459
Position 10687: 0.008394826320126622
Position 10642: 0.00734372349095878
Position 309: 0.00685490888405028
Position 726: 0.006154212684875199
Position 7198: 0.005889881550047368
Position 520: 0.005217021586302196
Position 10404: 0.004922796575255251
Position 9949: 0.00482398290427674
Position 7254: 0.004761900151366879
Position 6886: 0.004047612220753312
Position 7823: 0.0040044052335200305
Position 576: 0.002705441711068538
Position 243: 0.0026758299363946634
Position 245: 0.0026186146818157983
Position 247: 0.002589538517900658
Position 1017: 0.0025675064750336485
Position 560: 0.0021833419030667265
Position 249: 0.0020734781053873353
Position 992: 0.0018266020587045066
Position 5934: 0.0017339310623170957
Position 239: 0.0016779038578069842
Position 911: 0.0015651298096081695
Position 1374: 0.001546018068882824
Position 457: 0.0015378867478365232
Position 11093: 0.0013572999218178989
Position 10059: 0.0010021591038180172
Position 1944: 0.0003292098487386457
Position 9882: 0.00028827920536045597
Position 1788: 0.0002759623488170412
Position 10254: 3.4752301860806827e-05
Position 10176: 1.504080021496878e-05
Position 10422: 1.341308613574424e-05
Position 10783: 8.268445872801643e-06
Position 241: 1.1766035582007405e-06
Position 10180: 3.49277048031476e-07
Position 10190: 6.752016513730956e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 10318: 0.999959974438281
Position 9746: 0.998232307293271
Position 9299: 0.9963597200767386
Position 6604: 0.9951859252053108
Position 5343: 0.9827097379597485
Position 5463: 0.9613461276353193
Position 1651: 0.27588893240749573
Position 5855: 0.11358314147684827
Position 9877: 0.07602043957058674
Position 11029: 0.06890286129651899
Position 7474: 0.03922208583734296
Position 5580: 0.01672639100129395
Position 8594: 0.014559030218903219
Position 10829: 0.010945598956730676
Position 10936: 0.009100536800497343
Position 11283: 0.005567451978850522
Position 10013: 0.005502414507574672
Position 10764: 0.0054970412999139785
Position 10487: 0.005306542244302169
Position 8547: 0.005129922841005269
Position 676: 0.0048739471021580025
Position 7247: 0.004205016380958572
Position 10594: 0.0033204291930816364
Position 7253: 0.0031942622846335127
Position 7533: 0.0031364940017544283
Position 8730: 0.002828279112661466
Position 10890: 0.001762775566475605
Position 7582: 0.001305055610499293
Position 6936: 0.0009818215035790347
Position 10127: 0.0007623195065116597
Position 9881: 0.0006199559235387166
Position 10109: 0.00023835161845511192
Position 8059: 0.0002181907830774467
Position 9748: 0.00013957130003504494
Position 10292: 3.98350384796078e-05
Position 10475: 3.446630255863214e-05
Position 10500: 9.304479305653792e-06
Position 10335: 1.901050385803378e-07
