Gene = TfIIEbeta
index = 1554
Annotated 5SS: [174 351 589 940]
Annotated 3SS: [245 425 648 995]
SMsplice 5SS: [174 351 599 940]
SMsplice 3SS: [245 425 648 995]
top_k =  100
Partition function (log Z): 4.507971618105515

Sorted 5' Splice Sites (High to Low Probability):
Position 351: 0.9963101178753857
Position 174: 0.9433263222215956
Position 940: 0.7778826302500048
Position 599: 0.5188166709955736
Position 589: 0.46700924460403864
Position 844: 0.059333137269947954
Position 880: 0.010770977711159277
Position 620: 0.0032104563359499753
Position 1237: 0.0029132250216707288
Position 580: 0.0012154397991016126
Position 877: 0.000939176946352338
Position 603: 0.0007300085327702471
Position 178: 0.0003470238581381408
Position 1250: 0.00034275854439157156
Position 1206: 0.0002732513154621626
Position 944: 0.00025483248492729626
Position 711: 0.0001983831809302525
Position 685: 0.0001782464650444115
Position 42: 0.00012846916910569413
Position 355: 6.712834671936012e-05
Position 388: 6.511558717898473e-05
Position 610: 3.145194096660404e-05
Position 1239: 2.2403039008350537e-05
Position 31: 7.6026595598491035e-06
Position 49: 3.3877413549462553e-06
Position 189: 3.099654630790855e-06
Position 70: 2.5018465175426538e-06
Position 5: 1.702822681249569e-06
Position 80: 2.484763880603405e-07
Position 481: 1.8877732886567296e-07
Position 453: 1.2086293878360516e-07
Position 761: 8.513173715971397e-08
Position 247: 1.5959811912108538e-08
Position 258: 6.414686714553827e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 648: 0.9795371339984423
Position 425: 0.9787796367370535
Position 245: 0.929377404166421
Position 995: 0.8339872670751133
Position 972: 0.017360720267991868
Position 446: 0.010723066790715274
Position 272: 0.008306039624223195
Position 684: 0.005354714961620954
Position 923: 0.004424029113437778
Position 659: 0.004193535233247047
Position 1303: 0.003516685439170868
Position 507: 0.0024205531547654797
Position 305: 0.0020839901238489
Position 258: 0.0012111447168842316
Position 453: 0.0008307213544225192
Position 255: 0.0006483829392785479
Position 432: 0.0005911500866510352
Position 293: 0.0005496854389444081
Position 1100: 0.00013836731739613376
Position 277: 0.00010546607730322127
Position 121: 5.900697244493964e-05
Position 335: 5.791255172603105e-05
Position 477: 5.393799581104277e-05
Position 1267: 3.495248136194612e-05
Position 264: 3.0998462786511184e-05
Position 466: 4.416239065367948e-06
Position 83: 2.9587393785161248e-06
Position 66: 1.0830568776731955e-06
Position 63: 3.263137446172512e-07
Position 153: 8.220055028268533e-08
Position 206: 6.22123709063765e-08
Position 141: 8.801995639584712e-15
Position 70: 1.2154597710706453e-15
Position 85: 8.333610449322308e-18
