Gene = obst-E
index = 1829
Annotated 5SS: [182]
Annotated 3SS: [2773]
SMsplice 5SS: [182]
SMsplice 3SS: [2773]
top_k =  100
Partition function (log Z): -6.891387531043234

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.4878008432356928
Position 870: 0.37643003602477293
Position 1746: 0.36573604333951365
Position 308: 0.17357165432299998
Position 599: 0.14785747032634264
Position 1039: 0.11558639442051546
Position 285: 0.07791846089468925
Position 633: 0.04211373774940955
Position 382: 0.04146861999804834
Position 156: 0.038760515768733655
Position 590: 0.03342170668128832
Position 1811: 0.031988065570856566
Position 1988: 0.02343617973103019
Position 471: 0.004051226910475842
Position 3294: 0.003978449487521309
Position 3245: 0.003593053806352093
Position 400: 0.0025274988847642315
Position 531: 0.0015046524684811807
Position 648: 0.00041016699511369506
Position 186: 0.00024362045795477493
Position 1614: 0.00023001061210470395
Position 275: 0.0002263349838680125
Position 168: 0.00021597413442949782
Position 1652: 0.0001701225941026513
Position 312: 0.00012041675918789563
Position 71: 3.68769084739676e-05
Position 250: 1.2104987645736224e-05
Position 196: 3.719133492488636e-06
Position 57: 2.5976925971645284e-06
Position 32: 1.8077296187216424e-06
Position 23: 9.632143726683297e-07
Position 83: 4.4738929565742e-07
Position 6: 2.9330643819614823e-07
Position 160: 2.40416435504117e-07
Position 40: 2.1947271217786043e-08
Position 146: 1.1330736119670096e-08
Position 265: 7.14599702396588e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2773: 0.8400870991249114
Position 696: 0.3338534725387951
Position 444: 0.2826233225177172
Position 927: 0.2359241008557907
Position 1870: 0.1422997152902223
Position 1808: 0.06268775713211443
Position 365: 0.03204983984024072
Position 265: 0.02762470315250923
Position 3354: 0.007571503293873402
Position 613: 0.0033202098041102837
Position 1081: 0.0018792024049086532
Position 1381: 0.001518371733839202
Position 717: 0.0006841116329762923
Position 704: 0.0004876375695892117
Position 561: 0.0004717438694876335
Position 329: 0.00020678210316887253
Position 373: 0.00010708899025233688
Position 275: 1.2559931233549314e-05
Position 316: 7.151416092026862e-06
Position 83: 2.8522741169497216e-06
Position 146: 1.0628925679502768e-06
Position 284: 2.266334630472117e-08
Position 186: 1.9464826598985103e-08
Position 196: 1.6863932516666804e-08
