Gene = CYLD
index = 1049
Annotated 5SS: [ 101  804 1067 2143 2417 2632 2910 3223 3424 3676]
Annotated 3SS: [ 626  857 1910 2240 2476 2690 2987 3281 3478 3736]
SMsplice 5SS: [ 804 1378 1825 2143 2417 2632 2910 3223 3424 3676]
SMsplice 3SS: [ 857 1448 1910 2240 2476 2690 2987 3281 3478 3736]
top_k =  100
Partition function (log Z): 23.575738454631804

Sorted 5' Splice Sites (High to Low Probability):
Position 2632: 0.9979616930438477
Position 3424: 0.997686389191888
Position 804: 0.9762591961758663
Position 3223: 0.970855496960432
Position 2143: 0.9684403891513688
Position 2417: 0.9624180744888303
Position 2910: 0.959555660063668
Position 1378: 0.9549063232682289
Position 1825: 0.9350625408789051
Position 420: 0.24046786355317293
Position 1067: 0.18490017008810378
Position 416: 0.12216952125182705
Position 983: 0.05223412263780187
Position 3644: 0.04663916986595132
Position 86: 0.03152237630063502
Position 507: 0.02929428020003789
Position 3192: 0.025600537574704395
Position 3706: 0.018463535998838567
Position 2919: 0.014955869524900092
Position 998: 0.012434831563485581
Position 101: 0.01163654614954516
Position 2081: 0.01126188183312313
Position 191: 0.010626975693279096
Position 2181: 0.010616975350189965
Position 157: 0.008109827508735129
Position 206: 0.007479587558838208
Position 336: 0.007274044300530962
Position 2900: 0.006622623354371281
Position 1454: 0.005915650483034734
Position 203: 0.0054278327921242825
Position 3691: 0.005160314391635412
Position 2138: 0.004686354516774958
Position 408: 0.0037637874258590297
Position 808: 0.0035258972161489282
Position 2820: 0.0031484311377901627
Position 1382: 0.002810227169804463
Position 1572: 0.0025790676271267706
Position 2869: 0.0024238670004165124
Position 3617: 0.0021187717710302195
Position 3557: 0.002050614198812476
Position 3227: 0.0017476161584697837
Position 1704: 0.001546054449763906
Position 3727: 0.0014941560877761231
Position 760: 0.0014260686801874879
Position 2108: 0.0013114734629634745
Position 237: 0.0011180479039239399
Position 584: 0.0010786111581670636
Position 2892: 0.0009230827498793996
Position 1605: 0.0009064545439382634
Position 109: 0.0008278846928479851
Position 493: 0.0008092285284700765
Position 1370: 0.0007832267499738022
Position 266: 0.0007781549273439765
Position 2037: 0.0006507317491452767
Position 105: 0.0006412398618969611
Position 253: 0.000629479296658293
Position 400: 0.0006094998451174706
Position 2858: 0.0005852166553995981
Position 485: 0.00047607818424887143
Position 468: 0.00044723351798266593
Position 128: 0.00040904964488861883
Position 811: 0.0003354925481591043
Position 2000: 0.000254643978242007
Position 3114: 0.0001938154697925158
Position 2351: 0.00015181877943239297
Position 2636: 5.3758742076599194e-05
Position 3167: 4.4152665808431236e-05
Position 149: 4.031906326652726e-05
Position 3071: 1.542598522948641e-05
Position 1682: 8.76466749488669e-06
Position 90: 5.915893090484046e-06
Position 216: 3.881048902980231e-06
Position 2815: 1.8449632771881218e-06
Position 1167: 1.7654325887923103e-06
Position 3411: 1.1407869061805532e-06
Position 103: 8.951126787431989e-07
Position 275: 6.92506383860925e-07
Position 3393: 2.7296692586588224e-07
Position 2610: 1.4527526960738406e-07
Position 2827: 8.549987160969026e-09
Position 3384: 4.0324037941050385e-09
Position 2317: 8.354740148978125e-12
Position 2024: 1.1117650564056127e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 3281: 0.9960411710922579
Position 3478: 0.9930003268031875
Position 2987: 0.9892107123811384
Position 2240: 0.9794931064923265
Position 2690: 0.9768427753479645
Position 1910: 0.9740669964991923
Position 2476: 0.966861413507907
Position 857: 0.9668236519140992
Position 1448: 0.9247534496580194
Position 626: 0.42479912329081054
Position 1122: 0.06657118257838078
Position 1048: 0.053930033430722016
Position 1129: 0.04927686517972775
Position 3781: 0.04265611401974092
Position 3736: 0.037592381108095034
Position 1520: 0.029513514261081324
Position 1166: 0.028853103480729354
Position 878: 0.019627533856152575
Position 670: 0.017094461304263092
Position 2707: 0.016411327981600218
Position 493: 0.013055143475408195
Position 230: 0.007207537608486175
Position 1270: 0.0071603043379617655
Position 633: 0.006031388936278849
Position 2342: 0.00469716530074311
Position 2288: 0.004604128345705995
Position 667: 0.00460270427960922
Position 1365: 0.004390189625257522
Position 1249: 0.004105123975606277
Position 1227: 0.003994111316081517
Position 165: 0.0028046537202408195
Position 1099: 0.0027056164263800277
Position 2281: 0.002642631586993827
Position 701: 0.0026336252061825655
Position 3292: 0.0025588628910286713
Position 1874: 0.002297626661812931
Position 2992: 0.001570851505915888
Position 292: 0.001428477752352587
Position 1782: 0.0011486276596048537
Position 1488: 0.0010846509112488025
Position 2720: 0.0010628680944950368
Position 373: 0.0009343277284317078
Position 2504: 0.0008559437779887048
Position 3035: 0.0007635179483939322
Position 2615: 0.00043266616518229634
Position 3500: 0.00037097397163887507
Position 3314: 0.0002926655365832608
Position 2591: 0.00019346194696401504
Position 194: 0.00010495993816202099
Position 2444: 8.71658090027864e-05
Position 3345: 8.444842830259873e-05
Position 836: 4.791953033797106e-05
Position 3352: 7.082001199648373e-06
