Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  100
Partition function (log Z): 16.371978217075245

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.999692471180211
Position 2355: 0.9990143242154164
Position 2565: 0.9965350199825153
Position 1865: 0.9951897151431904
Position 179: 0.9886455905278085
Position 3018: 0.36550649964324
Position 3474: 0.08509111950335577
Position 2160: 0.044880266040116995
Position 2868: 0.022083823490713927
Position 3528: 0.021118365788788503
Position 2117: 0.018146166164672604
Position 1100: 0.009914943328390694
Position 3573: 0.0065919980061112556
Position 2883: 0.005630676386608155
Position 3167: 0.005271866245692332
Position 3471: 0.004244453083078731
Position 2660: 0.0020816772680712025
Position 3394: 0.0013901763465747655
Position 806: 0.001342030877613484
Position 1103: 0.0009787356593234718
Position 3678: 0.000969452949285368
Position 2872: 0.0008595357290650781
Position 3608: 0.0007488083904556636
Position 1114: 0.000743449964256013
Position 3478: 0.0007128520438663801
Position 1050: 0.0006664732926263528
Position 42: 0.0006546423541739727
Position 3569: 0.0006309586904531788
Position 198: 0.0006011049282233967
Position 1082: 0.0004524217524636124
Position 1417: 0.00034219398947212893
Position 3311: 0.0002747029524820277
Position 2334: 0.00026447400283974905
Position 2328: 0.00023684956409320376
Position 2705: 0.0002214867322192929
Position 2060: 0.000183937160345756
Position 423: 0.00017623998651729498
Position 315: 0.00016905266937320153
Position 2257: 0.00016183685403001993
Position 2198: 0.0001535555202220721
Position 812: 0.00014093732604897357
Position 2544: 0.00011597016565431976
Position 1836: 0.0001135339166063418
Position 2507: 5.729824482088387e-05
Position 2722: 5.660533765464892e-05
Position 2719: 5.5097973979635955e-05
Position 73: 5.482493327631284e-05
Position 24: 3.9663692314460645e-05
Position 4: 3.2934565567327387e-05
Position 2485: 1.8334106920060205e-05
Position 3282: 1.7442455887677964e-05
Position 2339: 1.449417237810674e-05
Position 27: 1.220746957473735e-05
Position 2379: 1.0689116396043549e-05
Position 18: 7.22464221079782e-06
Position 3250: 3.9652172424404265e-07
Position 1560: 1.5953248053013237e-07
Position 208: 1.1320283729398932e-07
Position 2100: 1.5418269203379982e-08
Position 3542: 1.2060741693291623e-08
Position 93: 2.765321430731646e-09
Position 2316: 1.471355629607167e-09
Position 2215: 2.497952879785221e-10
Position 2271: 3.812159414931152e-11
Position 242: 1.9021970879833026e-11
Position 110: 3.507652579405464e-12
Position 124: 2.8076441887321226e-12
Position 233: 1.2442259041350786e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3372: 0.9957598789369998
Position 1922: 0.9931832614970136
Position 2412: 0.9652230103216612
Position 265: 0.8718348668501681
Position 3215: 0.7006502067082415
Position 2946: 0.5219411010746147
Position 3589: 0.09064051066116827
Position 2871: 0.06949894958888796
Position 1163: 0.04757735346860353
Position 2218: 0.03687582734171886
Position 2913: 0.028316357134700244
Position 3637: 0.028104620818075514
Position 2244: 0.02402393011812597
Position 2427: 0.020518060943077836
Position 1469: 0.020097750735719053
Position 3161: 0.01841618151239179
Position 287: 0.018252899205969123
Position 2621: 0.015556507139139565
Position 2447: 0.013775297053240338
Position 2624: 0.013202648980614651
Position 1556: 0.00884542320895104
Position 2799: 0.008353171441239553
Position 303: 0.008006127690723501
Position 3217: 0.007654529062904604
Position 1832: 0.005528138648097258
Position 3737: 0.004880296473297671
Position 649: 0.003651857172523128
Position 2213: 0.003625870456536486
Position 3167: 0.003560974819784752
Position 2695: 0.0034174690393164093
Position 2976: 0.002934013057014285
Position 2907: 0.002395755232343304
Position 1277: 0.002279739091931055
Position 1196: 0.0022348547138441926
Position 1334: 0.002056597386667369
Position 2745: 0.0014981288008780408
Position 1274: 0.001311596233994509
Position 1072: 0.0012716567316320368
Position 2950: 0.0010920103328115975
Position 2253: 0.0010849680580066873
Position 3447: 0.001058892464425632
Position 3608: 0.0010378345883672176
Position 1571: 0.0009105433670975277
Position 1202: 0.000840740459572625
Position 832: 0.0008363898182785227
Position 1945: 0.0008224337328683815
Position 443: 0.0007529273010986789
Position 2180: 0.0007505153780447927
Position 104: 0.0006441481543837407
Position 2198: 0.0006155467032422614
Position 1337: 0.0006054444375731949
Position 1199: 0.0005801710522359171
Position 2001: 0.0005548248768973488
Position 900: 0.00042845137971200305
Position 2130: 0.00036968030478197315
Position 1417: 0.0003343117246603911
Position 670: 0.0003300130224977643
Position 756: 0.00030405655288067937
Position 1306: 0.0002883857301686379
Position 1430: 0.00028813171905135547
Position 423: 0.00027276112323124406
Position 1002: 0.00026861534498988593
Position 1959: 0.0002447827466242532
Position 806: 0.00023064424491955795
Position 601: 0.00017009435722926085
Position 2484: 0.00016491389188142658
Position 1956: 0.00014444657363810789
Position 93: 8.14552874026648e-05
Position 2312: 8.066772683671154e-05
Position 2459: 7.162312889035519e-05
Position 132: 6.128974301560719e-05
Position 2449: 2.17005616448389e-05
Position 82: 1.0133165294944493e-05
Position 3390: 5.839921558420304e-06
Position 120: 2.457478026914195e-06
Position 2456: 1.3694374503585025e-06
Position 2561: 1.2234913979001161e-06
Position 63: 8.985585171563992e-07
Position 73: 8.228790284194535e-07
Position 136: 1.7375903824126213e-07
Position 2496: 1.1813935030380952e-07
Position 139: 3.252929177068688e-08
Position 159: 1.9478451080344977e-09
Position 156: 1.075146705901531e-09
Position 143: 1.9175737637964227e-10
