Gene = heix
index = 1724
Annotated 5SS: [987]
Annotated 3SS: [1664]
SMsplice 5SS: [ 987 1457]
SMsplice 3SS: [1348 1664]
top_k =  100
Partition function (log Z): -9.333094930235571

Sorted 5' Splice Sites (High to Low Probability):
Position 987: 0.8290737436747051
Position 1457: 0.5730452000143531
Position 655: 0.17731167266234912
Position 1817: 0.08357749189647382
Position 616: 0.05804883930554136
Position 1839: 0.05407315902604431
Position 3212: 0.04318758042580116
Position 2561: 0.028477610072559573
Position 1073: 0.02317190517380477
Position 624: 0.017935930786515734
Position 1089: 0.013293107226248508
Position 2396: 0.007164801145403771
Position 1442: 0.006733725504917929
Position 247: 0.006597699558132141
Position 224: 0.005581266974299137
Position 460: 0.002593589900161336
Position 451: 0.0021975129962691427
Position 1220: 0.0019908600931971706
Position 1492: 0.0017361873667326637
Position 1330: 0.0011810087290357028
Position 429: 0.001027901165903164
Position 669: 0.0009122876194630698
Position 1025: 0.0008202795254342097
Position 894: 0.0007819885879387512
Position 257: 0.0003678190619657136
Position 646: 0.0001087708258194956
Position 520: 9.975662382454569e-05
Position 2136: 8.763502483230247e-05
Position 40: 6.96628855773277e-05
Position 347: 6.864010411259294e-05
Position 867: 5.954988902246844e-05
Position 1810: 4.7295436453999935e-05
Position 34: 3.6361765994524645e-05
Position 69: 3.411282749498076e-05
Position 48: 3.2004369878184945e-05
Position 260: 2.2446682887783113e-05
Position 29: 9.732988396113691e-06
Position 526: 1.3357000592274514e-07
Position 15: 2.70855337923682e-08
Position 633: 1.5146998800415502e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1664: 0.9419360515822207
Position 1348: 0.5026887139673308
Position 744: 0.2114960805535888
Position 1896: 0.15120565021511692
Position 3292: 0.0431875804258012
Position 2641: 0.032129791687965814
Position 1542: 0.017867882333143046
Position 1153: 0.015170057641837546
Position 1384: 0.00828151736988749
Position 2588: 0.00351261952999754
Position 1328: 0.0026751615585206704
Position 693: 0.0023926828208110608
Position 339: 0.0019030400863245655
Position 520: 0.0015774933389013195
Position 923: 0.0015655159387992536
Position 1368: 0.001079570037281792
Position 1356: 0.0009196584401439651
Position 818: 0.000737320231580092
Position 772: 0.0005895559770825495
Position 2186: 0.00018373373533693858
Position 116: 0.00018136947111297577
Position 589: 0.00010506582278325934
Position 798: 9.129542221913711e-05
Position 360: 7.655596077035993e-05
Position 497: 2.6955006947209996e-06
Position 376: 1.0865074975786968e-06
Position 938: 9.050008046495755e-07
Position 556: 6.625625286183789e-07
