Gene = Mnn1
index = 1281
Annotated 5SS: [ 856 1374 2025 2898]
Annotated 3SS: [ 922 1562 2091 4664]
SMsplice 5SS: [ 856 1374 2025 2898 4419 4608]
SMsplice 3SS: [1046 1562 2091 4261 4497 4664]
top_k =  100
Partition function (log Z): 1.0528236367301786

Sorted 5' Splice Sites (High to Low Probability):
Position 2898: 0.9987810610772854
Position 2025: 0.997638934064553
Position 856: 0.9686548750982917
Position 1374: 0.901883814558688
Position 4419: 0.768480563057548
Position 4608: 0.5068598862870369
Position 2543: 0.2810658973053255
Position 5217: 0.18627280607205876
Position 4452: 0.15778461184076847
Position 236: 0.10348257891103088
Position 1350: 0.07357541265016825
Position 5464: 0.06615897235838618
Position 5417: 0.05272509741381986
Position 2683: 0.035255292903536926
Position 5480: 0.02781700926259512
Position 644: 0.024701513737640086
Position 3448: 0.021710335201949177
Position 2373: 0.013808790611948446
Position 2604: 0.009078678370353935
Position 2311: 0.006937139774381522
Position 2547: 0.003539826059142227
Position 1378: 0.0034890876433964035
Position 1715: 0.0025642466465327675
Position 2584: 0.002468189663044643
Position 825: 0.0020834106628498336
Position 1703: 0.0020528883445496728
Position 2467: 0.0019012379832556048
Position 2187: 0.0018310132146749278
Position 1491: 0.0017021051055375112
Position 2563: 0.0015886951243038526
Position 2569: 0.0015340292740474327
Position 1724: 0.0010519676640974064
Position 91: 0.0006272791500748421
Position 43: 0.0005035062284115096
Position 1005: 0.0003883259954774887
Position 319: 0.00030744524219598527
Position 860: 0.00028476985855200524
Position 2342: 0.0002713698149550825
Position 877: 0.0002639775096440969
Position 2321: 0.00022705857210570952
Position 559: 0.000174188296274374
Position 590: 0.00013693163373621026
Position 1019: 0.00012550334641979938
Position 1907: 5.160651031879079e-05
Position 247: 2.2305358701959375e-05
Position 330: 1.7613627398430774e-05
Position 353: 1.6016628024032803e-05
Position 1186: 9.283186648689292e-07
Position 1359: 2.9980670687631614e-07
Position 218: 1.4499327634779636e-07
Position 240: 9.764816800409829e-08
Position 229: 7.976319662908701e-08
Position 80: 4.800292307072548e-08
Position 374: 4.6734699905639165e-08
Position 64: 3.50396798461474e-08
Position 17: 2.2749170948055207e-08
Position 864: 6.164144901093136e-09
Position 10: 4.801264208015134e-10
Position 95: 1.5702105952684954e-10
Position 120: 1.087689042593157e-11
Position 19: 1.0836771280452761e-11
Position 183: 1.2920220105489026e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2091: 0.9694694415404294
Position 1562: 0.7917240205931915
Position 4664: 0.7362460923772742
Position 4261: 0.6897201019537508
Position 1046: 0.5467718746471381
Position 922: 0.4152455699462663
Position 4497: 0.390491949467294
Position 2734: 0.3818943677493219
Position 5278: 0.2800111254364886
Position 4515: 0.17782311936240616
Position 5536: 0.13697516501830528
Position 1442: 0.10305565203587062
Position 1604: 0.06532474971830672
Position 3004: 0.06527352354087794
Position 692: 0.0562911839231034
Position 4291: 0.0501509097469443
Position 4037: 0.04702412440778399
Position 5253: 0.041325836549809196
Position 4058: 0.0330406355063857
Position 3537: 0.02792943005422014
Position 4576: 0.02313306328235689
Position 292: 0.020119468730453775
Position 3073: 0.019920898754938802
Position 1522: 0.01911051389518547
Position 424: 0.01454711787753683
Position 3361: 0.014022171258966798
Position 1085: 0.013445694486443553
Position 1788: 0.01144948331417395
Position 3709: 0.009790400519119497
Position 5558: 0.009725914016495826
Position 3926: 0.008046109476043988
Position 3022: 0.006994838382009847
Position 1088: 0.0067840408208386565
Position 3679: 0.0060781007777290855
Position 1122: 0.005799881803162892
Position 3145: 0.004995994987911185
Position 3896: 0.0046084452704543526
Position 315: 0.004236302287595526
Position 4754: 0.00320076589087787
Position 2393: 0.0027355349862690816
Position 2717: 0.002589976925824567
Position 319: 0.002041609386187678
Position 1125: 0.001888557214025782
Position 590: 0.0016796503403150916
Position 1590: 0.000942378301875686
Position 476: 0.0008804601298223748
Position 2173: 0.0008343755440283707
Position 719: 0.0007666799028702211
Position 1538: 0.0007439235716535942
Position 1051: 0.0006133483888136397
Position 479: 0.0005958262517843983
Position 490: 0.0005937568848182685
Position 1186: 0.0005766388673382958
Position 976: 0.0004732869101428336
Position 1642: 0.0003916893786487912
Position 1648: 0.00032255917882723995
Position 139: 0.00031133096657338965
Position 1752: 0.0003005758740810524
Position 722: 0.0002824491535945986
Position 736: 0.000162688969723399
Position 700: 7.5338597543709e-05
Position 3162: 7.218055253305578e-05
Position 602: 4.536301809533616e-05
Position 805: 4.2014132823719784e-05
Position 759: 3.739448011617789e-05
Position 2305: 3.708305727396399e-05
Position 498: 2.2778053870039558e-05
Position 553: 1.972069528505743e-05
Position 933: 1.0667553889442453e-05
Position 948: 7.63107122276792e-06
Position 389: 4.026715415929885e-06
Position 203: 8.397635482344924e-10
Position 218: 2.310525422962865e-10
Position 229: 6.220286445552331e-11
Position 175: 1.0154360629091053e-13
