Gene = pr
index = 1848
Annotated 5SS: [  75  501  688 1268]
Annotated 3SS: [ 138  607 1121 1329]
SMsplice 5SS: [  75  501  688 1268]
SMsplice 3SS: [ 138  607 1121 1329]
top_k =  100
Partition function (log Z): 3.2912472928793686

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.988002857224804
Position 1268: 0.9563721128120308
Position 688: 0.9348856367340724
Position 501: 0.9096889369832138
Position 799: 0.03809428138923225
Position 1650: 0.02966043825660198
Position 326: 0.010621362678234247
Position 340: 0.00956553891704779
Position 1682: 0.006289158040293764
Position 42: 0.005008906606081617
Position 415: 0.0017718632618913394
Position 213: 0.0014191531941459348
Position 1665: 0.0013905188699445238
Position 1411: 0.001167374190683336
Position 294: 0.001103609066948879
Position 1205: 0.0008017216129262377
Position 1247: 0.0004283864303388713
Position 936: 0.00040875974513501426
Position 875: 0.0002167186337332021
Position 815: 0.00019847845012103005
Position 1686: 0.0001701799157191802
Position 227: 0.00016640621902658077
Position 818: 0.0001616948124929527
Position 963: 0.00016051045686792077
Position 954: 0.00015957928612272512
Position 1404: 7.627718198942132e-05
Position 464: 5.852114645501941e-05
Position 1458: 4.390530510889061e-05
Position 32: 3.029511629698457e-05
Position 236: 2.477911158526404e-05
Position 238: 1.7623743269508147e-05
Position 262: 8.175234307530904e-06
Position 79: 3.923724404543141e-06
Position 96: 1.9192514479919668e-06
Position 19: 1.944620613272067e-09
Position 1166: 1.1206352842022223e-09
Position 3: 5.2210677069439347e-11
Position 100: 3.3838977276349684e-13
Position 129: 1.2453628361099298e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 138: 0.982642588781411
Position 1121: 0.9732762076811484
Position 1329: 0.9584834765712811
Position 607: 0.7878433410880089
Position 568: 0.11113378757120386
Position 1732: 0.03859547327703706
Position 395: 0.01736742154609267
Position 777: 0.012722884790249876
Position 1078: 0.0023199591915532016
Position 1334: 0.0022981267381658194
Position 1342: 0.0016848508850018182
Position 479: 0.0016669470499009042
Position 147: 0.0013351654227047906
Position 1383: 0.001246145620278126
Position 875: 0.0010762639234132578
Position 356: 0.0009730182759224743
Position 831: 0.0008606530270241333
Position 294: 0.00041237019649633603
Position 160: 0.00036026719025267326
Position 740: 0.0003341273788097159
Position 401: 0.0003275709866262581
Position 997: 0.0003121856376038875
Position 1008: 0.00028581246881293626
Position 1552: 0.00023255708196309648
Position 189: 0.00011799957328253343
Position 115: 0.00011064188657850873
Position 363: 5.0887400033949463e-05
Position 325: 2.6600280871842944e-05
Position 407: 1.9971190243412003e-05
Position 441: 1.7308452260310613e-05
Position 213: 1.6276498043199406e-05
Position 250: 1.5605688042392297e-05
Position 415: 1.1263517765850841e-05
Position 500: 1.006623653232032e-06
Position 199: 6.664075716577845e-07
Position 720: 1.7682119846906273e-07
