Gene = corn
index = 1655
Annotated 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
Annotated 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
SMsplice 5SS: [ 1138 11107 11483 11843 12111 12337 13014]
SMsplice 3SS: [ 9208 11172 11544 11900 12164 12791 13066]
top_k =  100
Partition function (log Z): 19.196799569146318

Sorted 5' Splice Sites (High to Low Probability):
Position 13014: 0.9954585627998203
Position 12111: 0.9907374608119399
Position 11843: 0.9886145324467797
Position 11107: 0.9659174520678785
Position 11483: 0.9340507366434038
Position 1138: 0.9175485452804606
Position 12337: 0.8491352765779964
Position 696: 0.22293522811876443
Position 12664: 0.17232274451890686
Position 180: 0.13481662905192618
Position 356: 0.06339382430628587
Position 11488: 0.05985721380281524
Position 12342: 0.05831337625487781
Position 700: 0.044727131494380935
Position 495: 0.016032335982232995
Position 702: 0.01250219203755225
Position 13313: 0.01040137675754438
Position 704: 0.009339903915151326
Position 11847: 0.00933110680761488
Position 515: 0.007461538338613445
Position 12103: 0.007305440150204277
Position 501: 0.005691619400252341
Position 12978: 0.0041337187954225835
Position 13303: 0.0038542871339772664
Position 206: 0.003151600191588434
Position 191: 0.0026962805134455674
Position 11625: 0.002614192744616743
Position 13316: 0.0021916829833509106
Position 732: 0.0020430201337216145
Position 505: 0.0020079672377686097
Position 1651: 0.0012048742859928207
Position 12013: 0.0011795015552764963
Position 11459: 0.0007790326058663039
Position 1640: 0.0006947039219024544
Position 13301: 0.000530049964443142
Position 13006: 0.0004051817179284809
Position 13627: 0.0003681559349514269
Position 1776: 0.0002763926012510629
Position 12064: 0.00027429069715825176
Position 11716: 0.0002496809542206791
Position 12034: 0.00018099825147466943
Position 11622: 0.00017060005711064128
Position 12434: 0.00016924276089620862
Position 11710: 0.00013982097842809855
Position 12052: 9.440202006231757e-05
Position 11982: 2.907603727650559e-05
Position 11749: 1.3717571763039503e-05
Position 12115: 7.840002829420374e-06
Position 12004: 6.150927151049552e-06
Position 12684: 5.390657846609652e-06
Position 12022: 5.266852118176134e-06
Position 155: 4.023301294874735e-06
Position 12692: 3.943427159683892e-06
Position 12001: 3.835227137972632e-06
Position 555: 2.8205817121842317e-06
Position 323: 2.619616583164819e-06
Position 12121: 2.1616483688584415e-06
Position 157: 9.311247430609209e-08
Position 11416: 7.44306676183233e-08
Position 11297: 7.17216950047279e-08
Position 150: 6.414053218154697e-08
Position 77: 4.333136013115474e-08
Position 44: 3.322530406390562e-08
Position 344: 4.630654148821614e-09
Position 100: 1.998279530322814e-09
Position 11610: 1.897857419186854e-09
Position 35: 9.443679681960373e-10
Position 255: 7.276780183472793e-13
Position 241: 1.0839582523807751e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 11172: 0.9999999999999951
Position 12164: 0.998994120332773
Position 11900: 0.9986765235078245
Position 11544: 0.9939870932782214
Position 9208: 0.9659174520678807
Position 13066: 0.9517090173700877
Position 12791: 0.80012861834102
Position 757: 0.30914392142477065
Position 12896: 0.08745858076465739
Position 12566: 0.06839614596204951
Position 449: 0.06732321105405037
Position 12502: 0.042349093207434144
Position 13084: 0.04069733606370471
Position 12507: 0.029654120687804344
Position 255: 0.019562709142005023
Position 12438: 0.01786878399866445
Position 13367: 0.01625999189245289
Position 554: 0.014059498615927606
Position 12402: 0.0111685126591197
Position 406: 0.010974490090311897
Position 12835: 0.010289042080902741
Position 662: 0.010039041077433752
Position 13110: 0.006692247924823385
Position 1045: 0.004133364145719439
Position 12513: 0.0038474503421727113
Position 412: 0.0036361058249388786
Position 12832: 0.003336840472304196
Position 12572: 0.0027751043299304927
Position 12672: 0.0026751446647964488
Position 573: 0.0018991909993851296
Position 434: 0.0018161207877423497
Position 789: 0.0017664037569773245
Position 1518: 0.0017038640646652007
Position 11688: 0.0013520032446201673
Position 11768: 0.001344846664645537
Position 13567: 0.0009013986413823954
Position 13399: 0.0007174049468627974
Position 12177: 0.0007146365954482142
Position 1200: 0.0004721067444811394
Position 13692: 0.0003681559349514269
Position 11579: 0.00021013152844577673
Position 12180: 0.00017269130912762111
Position 11719: 0.0001096174282642122
Position 11780: 7.728979959419957e-05
Position 12069: 7.0458899733774e-06
Position 363: 1.858843052078447e-06
Position 276: 1.3756758637267647e-06
Position 12264: 6.615607896432724e-07
Position 12211: 3.188417831089154e-07
Position 206: 1.612866674223617e-07
Position 12240: 1.4357727480879246e-07
Position 12186: 6.426118685460683e-08
Position 128: 6.298621763770876e-08
Position 12136: 1.902386635881505e-08
Position 336: 5.174483331641465e-09
