Gene = Jon74E
index = 1240
Annotated 5SS: [254 578]
Annotated 3SS: [314 664]
SMsplice 5SS: [254 578]
SMsplice 3SS: [314 664]
top_k =  100
Partition function (log Z): 4.502546865865241

Sorted 5' Splice Sites (High to Low Probability):
Position 254: 0.9969200360466246
Position 578: 0.9968823728259566
Position 448: 0.013986903650687277
Position 955: 0.0059825811201507754
Position 611: 0.0018067153825202591
Position 153: 0.0012940416159912284
Position 950: 0.0011412818416484962
Position 557: 0.0005232582363793237
Position 608: 0.0002899432016753927
Position 394: 0.0002757973035593191
Position 319: 0.0001881802405932911
Position 885: 0.00014565284529122292
Position 258: 9.882191718128893e-05
Position 830: 6.75941000598049e-05
Position 797: 3.302868051297559e-05
Position 194: 3.1559751197740236e-05
Position 185: 2.9511041034729192e-05
Position 246: 2.654432498647062e-05
Position 823: 2.2849173577238596e-05
Position 728: 1.6512863728603736e-05
Position 265: 1.5178061332604117e-05
Position 157: 1.1402845611069292e-05
Position 476: 1.0842491069715865e-05
Position 65: 7.475033296778516e-06
Position 25: 7.405550750527848e-06
Position 205: 6.71933114095889e-06
Position 474: 5.857161619044207e-06
Position 277: 3.383602775133858e-06
Position 913: 1.5492646236027364e-06
Position 286: 1.3759664727844232e-06
Position 88: 2.0065090555311435e-07
Position 54: 1.199934196637368e-07
Position 36: 1.802665263362647e-08
Position 140: 1.008770097675579e-08
Position 865: 1.878400616854815e-09
Position 122: 1.2981403931192467e-09
Position 538: 1.327169129790663e-10
Position 498: 8.332367393554425e-12
Position 196: 2.6672550400963633e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 664: 0.9991612481127068
Position 314: 0.9582705485711125
Position 369: 0.035826763357894455
Position 505: 0.0153787369092234
Position 1012: 0.0071271400645905245
Position 394: 0.0011812504048796552
Position 460: 0.001113657911618899
Position 322: 0.0006703014920267144
Position 843: 0.0003519990224122323
Position 885: 0.00016544071253074511
Position 949: 0.00016284254483675068
Position 316: 0.00015368423105611363
Position 425: 0.00012862489303813385
Position 527: 6.54348023245128e-05
Position 205: 3.2277776000322366e-05
Position 723: 1.689616910408205e-05
Position 830: 9.935565078828197e-06
Position 153: 8.987550132448121e-06
Position 462: 2.6960204819969122e-06
Position 102: 2.525445887953731e-06
Position 978: 1.5492646236027364e-06
Position 140: 7.685280867170934e-07
Position 122: 7.411990545144915e-07
Position 518: 6.616143139140267e-07
Position 784: 1.3132205070679576e-08
Position 132: 2.0682258636297233e-09
Position 170: 1.8753723164631795e-10
