Gene = mTTF
index = 1782
Annotated 5SS: [ 493 1138]
Annotated 3SS: [ 556 1192]
SMsplice 5SS: [ 493 1138]
SMsplice 3SS: [ 556 1192]
top_k =  100
Partition function (log Z): 1.6415100399426912

Sorted 5' Splice Sites (High to Low Probability):
Position 493: 0.9975334862743169
Position 1138: 0.9961076967405637
Position 661: 0.20307456332787086
Position 751: 0.04629704571366336
Position 1018: 0.01981713353664097
Position 958: 0.010496582608611912
Position 185: 0.0020046122627658766
Position 1323: 0.0016766773413772506
Position 1114: 0.0006338208995333447
Position 235: 0.0005230690754761338
Position 1202: 0.0005222851146675775
Position 397: 0.0005222365486025867
Position 1343: 0.0005216483727192296
Position 804: 0.00042279726945606346
Position 202: 0.0003950406601162228
Position 736: 0.00032385256191848414
Position 1481: 0.00022693409261589884
Position 1492: 0.00020223119920716024
Position 1487: 0.00019930677732287315
Position 841: 0.0001903961151180266
Position 64: 0.00011247626948625522
Position 464: 8.729124677548048e-05
Position 665: 8.461752683315445e-05
Position 1369: 8.041058417567856e-05
Position 328: 1.1514308587621136e-05
Position 441: 6.212395003386742e-06
Position 24: 6.150114596504574e-06
Position 223: 5.065212465882182e-06
Position 33: 4.927991244317946e-06
Position 303: 2.5459791332824845e-06
Position 378: 1.7691385462051088e-06
Position 795: 1.3764576655700897e-06
Position 13: 1.1434736265545181e-06
Position 53: 1.1424528189101596e-06
Position 459: 1.1116918843975622e-06
Position 856: 8.994226316007244e-07
Position 479: 2.572862792541506e-07
Position 414: 1.8852085692326904e-07
Position 1123: 1.697148939481794e-07
Position 709: 1.013008111064287e-07
Position 536: 1.008810738505421e-07
Position 521: 7.839270013272869e-08
Position 261: 2.0484865456231097e-08
Position 640: 8.212331035961362e-09
Position 647: 3.42055034867779e-09
Position 588: 2.223474466419952e-09
Position 1142: 1.928857180809846e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 556: 0.995234972963369
Position 1192: 0.9893286623190642
Position 894: 0.13414982190893293
Position 722: 0.08731413449294434
Position 1073: 0.030827545466579287
Position 1017: 0.015829339180835802
Position 1278: 0.005479530597428007
Position 822: 0.005403123950034206
Position 903: 0.004172218979654215
Position 1387: 0.002361638885611095
Position 275: 0.0018967114233775844
Position 813: 0.0018107895365903326
Position 1359: 0.0016538075333236983
Position 1113: 0.001505900139458137
Position 1079: 0.0010287056704720125
Position 1543: 0.0006427085705924141
Position 729: 0.0005732223259362025
Position 771: 0.0005123105147621999
Position 234: 0.000470394433346692
Position 1199: 0.00037402905998837533
Position 603: 0.00026081070440723446
Position 1513: 0.00022287221607235867
Position 400: 0.0002009423150078122
Position 1231: 0.000163390298600886
Position 296: 0.00014318551741026637
Position 864: 0.00013955319515454196
Position 1419: 0.0001144208627360329
Position 1294: 0.00010380117217039997
Position 238: 3.540633427257938e-05
Position 315: 2.4535773109933576e-05
Position 106: 2.4349539135766576e-05
Position 431: 1.829090128418337e-05
Position 163: 1.7882730376549214e-05
Position 113: 1.527412074069619e-05
Position 185: 9.402970725218296e-06
Position 350: 4.494614146384175e-06
Position 573: 4.07582011225169e-06
Position 73: 3.948872987299942e-06
Position 454: 3.906107902780387e-06
Position 588: 3.894935606230455e-06
Position 166: 3.344098170919051e-06
Position 125: 2.8518495282117744e-06
Position 367: 2.474894106710744e-06
Position 579: 2.055585249159666e-06
Position 94: 1.677629159770838e-06
Position 359: 1.5105085486479568e-06
Position 245: 1.0746077983388104e-06
Position 91: 6.844516831500406e-07
Position 223: 4.994855411211198e-07
Position 208: 2.9342603871651685e-07
Position 448: 2.512031236440238e-07
Position 211: 2.5033854595939877e-07
Position 567: 2.809297842156259e-08
