Gene = LKRSDH
index = 1247
Annotated 5SS: [ 185  450 1368 1812 2451 3785 4021]
Annotated 3SS: [ 305 1190 1432 1875 2628 3843 4082]
SMsplice 5SS: [ 185  450  828 1368 1812 2451 3785 4021]
SMsplice 3SS: [ 305  513 1190 1432 1875 2628 3843 4082]
top_k =  100
Partition function (log Z): 36.51620566596858

Sorted 5' Splice Sites (High to Low Probability):
Position 4021: 0.9999606338207021
Position 450: 0.9986828557254958
Position 3785: 0.9976859055182973
Position 2451: 0.9974823366926726
Position 1812: 0.9963760120411663
Position 185: 0.9582540932123752
Position 1368: 0.8040977924445132
Position 4455: 0.5259902143719162
Position 828: 0.336522596304293
Position 605: 0.09550931800582309
Position 629: 0.07212494145372399
Position 591: 0.05065768315891277
Position 906: 0.044977478169586284
Position 242: 0.04160184217210673
Position 618: 0.03844558980089647
Position 2749: 0.037602526393873965
Position 865: 0.028038418694998846
Position 2788: 0.023177118425765558
Position 3193: 0.019326898943698833
Position 820: 0.012725314307373392
Position 2775: 0.012341876565412743
Position 980: 0.0108323373409826
Position 2773: 0.009805043127674308
Position 1263: 0.008614459170839828
Position 568: 0.008362053101461252
Position 4303: 0.007320598620750842
Position 3209: 0.00575415196680407
Position 1523: 0.005752870742860251
Position 599: 0.00453816830211352
Position 1089: 0.004270856265307173
Position 613: 0.003850819488885456
Position 572: 0.003085200867063366
Position 4164: 0.0029340081779757254
Position 4379: 0.002271161689288594
Position 949: 0.0019424689615454317
Position 1387: 0.001614585059194991
Position 2447: 0.0012674418089179452
Position 2729: 0.0012619038478418317
Position 1242: 0.0010437128200790316
Position 1930: 0.0009051323224190243
Position 408: 0.0007340917289013218
Position 2755: 0.0005791546496045055
Position 2736: 0.0005308735202803279
Position 1902: 0.0004210779494347426
Position 4459: 0.00041634695656123083
Position 2134: 0.0004004115101273847
Position 3724: 0.0003751751257648617
Position 3106: 0.00037344190675623576
Position 430: 0.0003315549111919863
Position 1796: 0.0002928009398497182
Position 4648: 0.0002658768427532056
Position 1821: 0.00019762552393017105
Position 3160: 0.00019473942895209347
Position 4432: 0.00018955431461419714
Position 2950: 0.00017352470092374555
Position 414: 0.0001233700070685621
Position 3341: 0.00012208627455227911
Position 2827: 8.293433182949176e-05
Position 1768: 6.663330218157715e-05
Position 3701: 6.0425310694015e-05
Position 386: 5.876055882115139e-05
Position 189: 5.566082664562775e-05
Position 2871: 5.5584273715704495e-05
Position 433: 5.395708096430141e-05
Position 180: 5.164740593483236e-05
Position 3086: 4.172830030232805e-05
Position 3122: 3.039316189398494e-05
Position 68: 2.3453809727503436e-05
Position 4025: 2.2401429068435872e-05
Position 2839: 1.975386639122026e-05
Position 4310: 1.9226140835670832e-05
Position 3978: 1.6896002240863316e-05
Position 4277: 1.668219255212705e-05
Position 2246: 1.5802517806453682e-05
Position 2517: 1.1749843460244742e-05
Position 2501: 9.255121734506771e-06
Position 134: 8.81220641482275e-06
Position 2012: 8.158828703016374e-06
Position 735: 5.506281882729727e-06
Position 2953: 5.3557732588292036e-06
Position 166: 4.297715037443074e-06
Position 402: 1.9730800640906773e-06
Position 422: 1.8448063591452295e-06
Position 390: 1.3928765207537594e-06
Position 2049: 1.0613275509992296e-06
Position 2022: 8.988589468738975e-07
Position 2793: 4.1823469473991747e-07
Position 127: 1.368381978459294e-07
