Gene = CtIP
index = 1111
Annotated 5SS: [ 220  863 1626]
Annotated 3SS: [ 276 1003 1689]
SMsplice 5SS: [ 220  863 1626]
SMsplice 3SS: [ 276  947 1689]
top_k =  100
Partition function (log Z): 0.763884235425326

Sorted 5' Splice Sites (High to Low Probability):
Position 220: 0.9959032294828389
Position 1626: 0.9914429308031086
Position 863: 0.8541426428911432
Position 1331: 0.050553469024017854
Position 10: 0.047263101147664986
Position 1341: 0.024082247695192724
Position 648: 0.009627054506041509
Position 1162: 0.0023690494924886746
Position 1191: 0.0019353419912875704
Position 1607: 0.0016440263797924484
Position 1857: 0.0008044688409266632
Position 658: 5.892297453008231e-05
Position 599: 5.014643486460925e-05
Position 639: 4.75684504921651e-05
Position 891: 3.074465133599623e-05
Position 624: 2.8328606196300744e-05
Position 592: 2.208763907002358e-05
Position 690: 1.766883211209715e-05
Position 105: 9.554402208167297e-06
Position 171: 9.2935460316018e-06
Position 176: 5.437344519936465e-06
Position 997: 1.2583364323685835e-06
Position 1630: 1.7733350340414524e-07
Position 123: 1.6907881355149533e-08
Position 137: 3.0368426849726107e-09
Position 120: 1.8534445375723222e-09
Position 154: 1.3609780506911765e-10
Position 148: 5.497170513038046e-12
Position 276: 5.409900227065894e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 276: 0.9916967646609104
Position 1689: 0.830642671206806
Position 947: 0.5503333408363452
Position 1720: 0.1588521820129448
Position 996: 0.11891030421441379
Position 1003: 0.04923928009417847
Position 1054: 0.0450100824394044
Position 1439: 0.043223970895478525
Position 1386: 0.03847784076921012
Position 87: 0.029167605871385987
Position 1413: 0.02746249133191712
Position 1091: 0.01949804775133392
Position 1032: 0.015882164451293826
Position 120: 0.014788062648801566
Position 927: 0.012123772907345131
Position 1008: 0.0060469312688900155
Position 769: 0.005447771670071543
Position 1248: 0.0052238670631238274
Position 1217: 0.0038401294446389067
Position 1749: 0.0034379884043452442
Position 105: 0.00152824423948545
Position 341: 0.0014611748802369614
Position 1060: 0.0013530587287779478
Position 131: 0.0010150127681589646
Position 762: 0.0010037277442601583
Position 1952: 0.0009669221066578814
Position 1819: 0.000586471216743917
Position 294: 0.00042051436384320007
Position 740: 0.0003851929624562825
Position 1918: 0.0003296850243468877
Position 1728: 0.0002506134418182219
Position 483: 0.0001916483746047763
Position 1982: 0.00016652343146612635
Position 2086: 0.00016118331098747377
Position 719: 0.00014366167812700846
Position 288: 0.00012937413836612162
Position 490: 0.00011100227222056902
Position 518: 0.00010095672016654389
Position 701: 8.288720356226459e-05
Position 568: 5.428426753122118e-05
Position 161: 4.69515673895335e-05
Position 315: 4.5502339787162314e-05
Position 296: 3.80255442208086e-05
Position 498: 3.547984387130955e-05
Position 320: 2.5900441781891942e-05
Position 326: 2.4496292921437357e-05
Position 368: 2.0583492664355115e-05
Position 350: 2.0416826014671226e-05
Position 554: 1.4896826788856856e-05
Position 449: 1.2117941662447123e-05
Position 658: 1.0092561738181101e-05
Position 186: 5.401819444383314e-06
Position 166: 9.030064979998785e-07
Position 207: 4.287712160919808e-07
Position 377: 1.4132069029249695e-07
Position 176: 2.283464206408694e-08
Position 169: 2.4585290679949237e-09
Position 209: 4.4455687751947934e-11
